zone,model,empty_round_trip_feasible,max_payload_kg,empty_energy_kwh,reserve,status
S001,A,True,25.0,1.1649297788361723,0.2,nameplate_limited
S001,B,True,30.0,0.9329264500226642,0.2,nameplate_limited
S001,C,True,80.0,1.9471881026492028,0.2,nameplate_limited
S002,A,True,25.0,2.7496150374342854,0.2,nameplate_limited
S002,B,True,30.0,2.1920723626996805,0.2,nameplate_limited
S002,C,True,68.52669242740262,4.648363990070086,0.2,energy_limited
S003,A,True,25.0,2.788151134628164,0.2,nameplate_limited
S003,B,True,30.0,2.2363171558798234,0.2,nameplate_limited
S003,C,True,68.23410606769698,4.642266754315884,0.2,energy_limited
S004,A,True,25.0,2.9051307967352935,0.2,nameplate_limited
S004,B,True,30.0,2.3214040837491057,0.2,nameplate_limited
S004,C,True,63.2583662254774,4.8830843791478316,0.2,energy_limited
S005,A,True,25.0,1.99618395664405,0.2,nameplate_limited
S005,B,True,30.0,1.5960730519384154,0.2,nameplate_limited
S005,C,True,80.0,3.350111516379706,0.2,nameplate_limited
S006,A,True,25.0,1.2231476828609171,0.2,nameplate_limited
S006,B,True,30.0,0.9812728725270303,0.2,nameplate_limited
S006,C,True,80.0,2.035422132595141,0.2,nameplate_limited
S007,A,True,25.0,1.7719163112580276,0.2,nameplate_limited
S007,B,True,30.0,1.4251366667244318,0.2,nameplate_limited
S007,C,True,80.0,2.9295849765720297,0.2,nameplate_limited
S008,A,True,25.0,3.00856014508747,0.2,nameplate_limited
S008,B,True,28.67897264537163,2.3997748383747703,0.2,energy_limited
S008,C,True,58.51556930186234,5.079464612145538,0.2,energy_limited
S009,A,True,25.0,2.120767033527507,0.2,nameplate_limited
S009,B,True,30.0,1.691325295966151,0.2,nameplate_limited
S009,C,True,80.0,3.58216296754982,0.2,nameplate_limited
S010,A,True,25.0,1.8240816320318256,0.2,nameplate_limited
S010,B,True,30.0,1.4616947551059751,0.2,nameplate_limited
S010,C,True,80.0,3.04427163192333,0.2,nameplate_limited
S011,A,True,25.0,1.0806505253217318,0.2,nameplate_limited
S011,B,True,30.0,0.8666283072930325,0.2,nameplate_limited
S011,C,True,80.0,1.8000117737957044,0.2,nameplate_limited
S012,A,True,25.0,2.7817775358220924,0.2,nameplate_limited
S012,B,True,30.0,2.2237263723600202,0.2,nameplate_limited
S012,C,True,67.84535826929982,4.6710560654111575,0.2,energy_limited
S013,A,True,25.0,1.826628322196149,0.2,nameplate_limited
S013,B,True,30.0,1.4606465701987204,0.2,nameplate_limited
S013,C,True,80.0,3.064795932357634,0.2,nameplate_limited
S014,A,True,25.0,2.126063496112768,0.2,nameplate_limited
S014,B,True,30.0,1.7113862076802966,0.2,nameplate_limited
S014,C,True,80.0,3.507672088379004,0.2,nameplate_limited
S015,A,True,25.0,2.310311036682183,0.2,nameplate_limited
S015,B,True,30.0,1.8529322603816842,0.2,nameplate_limited
S015,C,True,80.0,3.847293109835204,0.2,nameplate_limited
