zone,batch,model,boxes,load_kg,mass_slack_kg,load_m3,volume_slack_m3,energy_kwh,horizontal_kwh,climb_kwh,energy_slack_kwh,return_soc,soc_slack,duration_s
S001,1,C,S001-FOD-01;S001-WAT-04;S001-WAT-05;S001-WAT-06;S001-WAT-07;S001-WAT-08,78.0,2.0,0.163,0.087,3.0046938846697038,2.8997688962921964,0.10492498837750755,3.3953061153302966,0.624413264416287,0.42441326441628696,1495.4261775174655
S001,2,C,S001-FOD-02;S001-FOD-03;S001-HYG-01;S001-HYG-02;S001-MED-01;S001-MED-02;S001-WAT-01;S001-WAT-02;S001-WAT-03,76.0,4.0,0.231,0.01899999999999999,2.92626894731049,2.822444227717823,0.10382471959266665,3.4737310526895104,0.6342163815861888,0.43421638158618875,1693.4261775174655
S002,1,C,S002-FOD-01;S002-HYG-01;S002-WAT-02;S002-WAT-03;S002-WAT-04,56.0,24.0,0.14400000000000002,0.10599999999999998,5.741041008408375,5.629331072388224,0.1117099360201518,0.658958991591625,0.2823698739489531,0.08236987394895307,2049.081641278453
S002,2,B,S002-FOD-02;S002-MED-01;S002-WAT-01,25.0,5.0,0.067,0.0059999999999999915,2.723251007257851,2.638176877460234,0.08507412979761761,0.4767489927421491,0.31918724818553723,0.11918724818553722,1823.208948407359
S003,1,C,S003-FOD-01;S003-HYG-01;S003-WAT-02;S003-WAT-03;S003-WAT-04,56.0,24.0,0.14400000000000002,0.10599999999999998,5.763364795675429,5.497440106163557,0.2659246895118714,0.6366352043245715,0.2795794005405714,0.07957940054057139,2369.8095208576483
S003,2,B,S003-FOD-02;S003-MED-01;S003-WAT-01,25.0,5.0,0.067,0.0059999999999999915,2.7791674808241336,2.5763663900390013,0.20280109078513253,0.4208325191758666,0.3052081297939666,0.1052081297939666,2080.2414747964503
S004,1,C,S004-FOD-01;S004-HYG-01;S004-MED-01;S004-WAT-01;S004-WAT-02;S004-WAT-03,59.0,21.0,0.156,0.094,6.1769107423796425,5.999970261771445,0.17694048060819836,0.2230892576203578,0.22788615720254468,0.02788615720254467,2305.184064967841
S005,1,C,S005-FOD-01;S005-HYG-01;S005-MED-01;S005-WAT-01;S005-WAT-02;S005-WAT-03,59.0,21.0,0.156,0.094,4.2387743677705485,4.107068098367472,0.13170626940307617,2.161225632229452,0.47015320402868144,0.2701532040286814,1880.044640635813
S006,1,C,S006-FOD-01;S006-HYG-01;S006-MED-01;S006-WAT-01;S006-WAT-02;S006-WAT-03,59.0,21.0,0.156,0.094,2.595719692959075,2.464102379284572,0.1316173136745029,3.8042803070409255,0.6755350383801156,0.4755350383801156,1565.0350828779922
S007,1,C,S007-FOD-01;S007-HYG-01;S007-MED-01;S007-WAT-01;S007-WAT-02,45.0,35.0,0.129,0.121,3.403349432146772,3.2000894425263087,0.2032599896204631,2.9966505678532283,0.5745813209816535,0.3745813209816535,1889.224406150507
S008,1,C,S008-FOD-01;S008-HYG-01;S008-MED-01;S008-WAT-01;S008-WAT-02,45.0,35.0,0.129,0.121,5.853746998048225,5.723869566169055,0.12987743187917075,0.5462530019517757,0.2682816252439719,0.06828162524397191,2194.1275609563954
S009,1,B,S009-FOD-01;S009-MED-01;S009-WAT-01,25.0,5.0,0.067,0.0059999999999999915,2.1024528395672246,2.0305148022681743,0.07193803729905024,1.0975471604327756,0.47438679010819385,0.27438679010819383,1560.7787366148573
S010,1,B,S010-FOD-01;S010-MED-01;S010-WAT-01,25.0,5.0,0.067,0.0059999999999999915,1.8210449428989826,1.6954804890894564,0.12556445380952624,1.3789550571010176,0.5447387642752544,0.34473876427525435,1554.5713591276817
S011,1,B,S011-FOD-01;S011-MED-01;S011-WAT-01,25.0,5.0,0.067,0.0059999999999999915,1.077171254529726,0.9995784990785237,0.0775927554512024,2.122828745470274,0.7307071863675685,0.5307071863675685,1189.630285736439
S012,1,B,S012-FOD-01;S012-MED-01;S012-WAT-01,25.0,5.0,0.067,0.0059999999999999915,2.763323564027206,2.62510926974726,0.13821429427994622,0.43667643597279415,0.3091691089931985,0.10916910899319848,1944.0244440219892
S013,1,B,S013-FOD-01;S013-MED-01;S013-WAT-01,25.0,5.0,0.067,0.0059999999999999915,1.82079489466599,1.7204125791913738,0.10038231547461618,1.3792051053340102,0.5448012763335025,0.3448012763335025,1500.9693925601796
S014,1,B,S014-FOD-01;S014-MED-01;S014-WAT-01,25.0,5.0,0.067,0.0059999999999999915,2.127681453260112,1.9198953111185584,0.20778614214155414,1.0723185467398881,0.468079636684972,0.268079636684972,1844.5388901555675
S015,1,B,S015-FOD-01;S015-MED-01;S015-WAT-01,25.0,5.0,0.067,0.0059999999999999915,2.310902613019529,2.135695011648188,0.1752076013713413,0.8890973869804712,0.42227434674511777,0.22227434674511776,1829.5729924903098
