scheme,box,kind,priority,desired_s,hard_deadline_s,delivered_s,hard_slack_s,soft_delay_s
soft_delay_priority,S001-FOD-01,应急食品,10,7200,,1182.8980887587327,,0.0
soft_delay_priority,S001-FOD-02,应急食品,10,7200,,1182.8980887587327,,0.0
soft_delay_priority,S001-FOD-03,应急食品,10,7200,,1182.8980887587327,,0.0
soft_delay_priority,S001-HYG-01,生活卫生用品,8,10800,,3587.4959716690137,,0.0
soft_delay_priority,S001-HYG-02,生活卫生用品,8,10800,,3587.4959716690137,,0.0
soft_delay_priority,S001-MED-01,医疗物资,24,3600,3600,969.3587719896758,2630.641228010324,
soft_delay_priority,S001-MED-02,医疗物资,24,3600,3600,969.3587719896758,2630.641228010324,
soft_delay_priority,S001-WAT-01,饮用水,12,3600,3600,969.3587719896758,2630.641228010324,
soft_delay_priority,S001-WAT-02,饮用水,12,3600,,3587.4959716690137,,0.0
soft_delay_priority,S001-WAT-03,饮用水,12,3600,,3587.4959716690137,,0.0
soft_delay_priority,S001-WAT-04,饮用水,12,3600,,3587.4959716690137,,0.0
soft_delay_priority,S001-WAT-05,饮用水,12,3600,,3587.4959716690137,,0.0
soft_delay_priority,S001-WAT-06,饮用水,12,3600,,1182.8980887587327,,0.0
soft_delay_priority,S001-WAT-07,饮用水,12,3600,,1182.8980887587327,,0.0
soft_delay_priority,S001-WAT-08,饮用水,12,3600,,1182.8980887587327,,0.0
soft_delay_priority,S002-FOD-01,应急食品,10,7200,,2986.376998156692,,0.0
soft_delay_priority,S002-FOD-02,应急食品,10,7200,,2986.376998156692,,0.0
soft_delay_priority,S002-HYG-01,生活卫生用品,8,10800,,2986.376998156692,,0.0
soft_delay_priority,S002-MED-01,医疗物资,24,3600,3600,1557.8743471608939,2042.1256528391061,
soft_delay_priority,S002-WAT-01,饮用水,12,3600,3600,1557.8743471608939,2042.1256528391061,
soft_delay_priority,S002-WAT-02,饮用水,12,3600,,2986.376998156692,,0.0
soft_delay_priority,S002-WAT-03,饮用水,12,3600,,2986.376998156692,,0.0
soft_delay_priority,S002-WAT-04,饮用水,12,3600,,2986.376998156692,,0.0
soft_delay_priority,S003-FOD-01,应急食品,8,10800,,5255.872579224742,,0.0
soft_delay_priority,S003-FOD-02,应急食品,8,10800,,5255.872579224742,,0.0
soft_delay_priority,S003-HYG-01,生活卫生用品,6,14400,,5255.872579224742,,0.0
soft_delay_priority,S003-MED-01,医疗物资,20,7200,7200,3091.5534654670028,4108.446534532997,
soft_delay_priority,S003-WAT-01,饮用水,10,7200,7200,6826.286864397732,373.71313560226827,
soft_delay_priority,S003-WAT-02,饮用水,10,7200,,5255.872579224742,,0.0
soft_delay_priority,S003-WAT-03,饮用水,10,7200,,5255.872579224742,,0.0
soft_delay_priority,S003-WAT-04,饮用水,10,7200,,5255.872579224742,,0.0
soft_delay_priority,S004-FOD-01,应急食品,8,10800,,5852.234221932738,,0.0
soft_delay_priority,S004-HYG-01,生活卫生用品,6,14400,,5852.234221932738,,0.0
soft_delay_priority,S004-MED-01,医疗物资,20,7200,7200,2686.097244465844,4513.902755534156,
soft_delay_priority,S004-WAT-01,饮用水,10,7200,7200,2686.097244465844,4513.902755534156,
soft_delay_priority,S004-WAT-02,饮用水,10,7200,,5852.234221932738,,0.0
soft_delay_priority,S004-WAT-03,饮用水,10,7200,,5852.234221932738,,0.0
soft_delay_priority,S005-FOD-01,应急食品,6,14400,,4780.039299615673,,0.0
soft_delay_priority,S005-HYG-01,生活卫生用品,4,18000,,6488.560475941596,,0.0
soft_delay_priority,S005-MED-01,医疗物资,16,10800,10800,3891.6980563597467,6908.301943640254,
soft_delay_priority,S005-WAT-01,饮用水,8,10800,10800,3891.6980563597467,6908.301943640254,
soft_delay_priority,S005-WAT-02,饮用水,8,10800,,4780.039299615673,,0.0
soft_delay_priority,S005-WAT-03,饮用水,8,10800,,6488.560475941596,,0.0
soft_delay_priority,S006-FOD-01,应急食品,10,7200,,1169.162541438996,,0.0
soft_delay_priority,S006-HYG-01,生活卫生用品,8,10800,,1169.162541438996,,0.0
soft_delay_priority,S006-MED-01,医疗物资,24,3600,3600,883.7532919679674,2716.2467080320325,
soft_delay_priority,S006-WAT-01,饮用水,12,3600,3600,883.7532919679674,2716.2467080320325,
soft_delay_priority,S006-WAT-02,饮用水,12,3600,,1169.162541438996,,0.0
soft_delay_priority,S006-WAT-03,饮用水,12,3600,,1169.162541438996,,0.0
soft_delay_priority,S007-FOD-01,应急食品,10,7200,,1853.9456798350275,,0.0
soft_delay_priority,S007-HYG-01,生活卫生用品,8,10800,,1853.9456798350275,,0.0
soft_delay_priority,S007-MED-01,医疗物资,24,3600,3600,1133.8608178597733,2466.1391821402267,
soft_delay_priority,S007-WAT-01,饮用水,12,3600,3600,1133.8608178597733,2466.1391821402267,
soft_delay_priority,S007-WAT-02,饮用水,12,3600,,1853.9456798350275,,0.0
soft_delay_priority,S008-FOD-01,应急食品,8,10800,,4606.50819270126,,0.0
soft_delay_priority,S008-HYG-01,生活卫生用品,6,14400,,4777.497667992171,,0.0
soft_delay_priority,S008-MED-01,医疗物资,20,7200,7200,4606.50819270126,2593.4918072987402,
soft_delay_priority,S008-WAT-01,饮用水,10,7200,7200,4606.50819270126,2593.4918072987402,
soft_delay_priority,S008-WAT-02,饮用水,10,7200,,4777.497667992171,,0.0
soft_delay_priority,S009-FOD-01,应急食品,6,14400,,6639.372009626485,,0.0
soft_delay_priority,S009-MED-01,医疗物资,16,10800,10800,1127.3572431194746,9672.642756880525,
soft_delay_priority,S009-WAT-01,饮用水,8,10800,10800,5327.839775947942,5472.160224052058,
soft_delay_priority,S010-FOD-01,应急食品,10,7200,,3078.5013526848325,,0.0
soft_delay_priority,S010-MED-01,医疗物资,24,3600,3600,2264.8022634997756,1335.1977365002244,
soft_delay_priority,S010-WAT-01,饮用水,12,3600,3600,2264.8022634997756,1335.1977365002244,
soft_delay_priority,S011-FOD-01,应急食品,6,14400,,6666.225431873894,,0.0
soft_delay_priority,S011-MED-01,医疗物资,16,10800,10800,3072.7429857213783,7727.257014278622,
soft_delay_priority,S011-WAT-01,饮用水,8,10800,10800,3072.7429857213783,7727.257014278622,
soft_delay_priority,S012-FOD-01,应急食品,10,7200,,5046.881614060195,,0.0
soft_delay_priority,S012-MED-01,医疗物资,22,7200,3600,1345.2495443797914,2254.7504556202084,
soft_delay_priority,S012-WAT-01,饮用水,12,3600,3600,1345.2495443797914,2254.7504556202084,
soft_delay_priority,S013-FOD-01,应急食品,10,7200,,4537.2537850514345,,0.0
soft_delay_priority,S013-MED-01,医疗物资,24,3600,3600,998.0180296134231,2601.981970386577,
soft_delay_priority,S013-WAT-01,饮用水,12,3600,3600,998.0180296134231,2601.981970386577,
soft_delay_priority,S014-FOD-01,应急食品,10,7200,,2702.548111879978,,0.0
soft_delay_priority,S014-MED-01,医疗物资,22,7200,3600,2640.79550430463,959.20449569537,
soft_delay_priority,S014-WAT-01,饮用水,12,3600,3600,2640.79550430463,959.20449569537,
soft_delay_priority,S015-FOD-01,应急食品,6,14400,,6090.139933492595,,0.0
soft_delay_priority,S015-MED-01,医疗物资,18,7200,7200,3548.8176093400584,3651.1823906599416,
soft_delay_priority,S015-WAT-01,饮用水,8,10800,10800,6403.528658023246,4396.471341976754,
zero_delay_efficient,S001-FOD-01,应急食品,10,7200,,1182.8980887587327,,0.0
zero_delay_efficient,S001-FOD-02,应急食品,10,7200,,1182.8980887587327,,0.0
zero_delay_efficient,S001-FOD-03,应急食品,10,7200,,1182.8980887587327,,0.0
zero_delay_efficient,S001-HYG-01,生活卫生用品,8,10800,,3297.9797300371856,,0.0
zero_delay_efficient,S001-HYG-02,生活卫生用品,8,10800,,3297.9797300371856,,0.0
zero_delay_efficient,S001-MED-01,医疗物资,24,3600,3600,969.3587719896758,2630.641228010324,
zero_delay_efficient,S001-MED-02,医疗物资,24,3600,3600,969.3587719896758,2630.641228010324,
zero_delay_efficient,S001-WAT-01,饮用水,12,3600,3600,969.3587719896758,2630.641228010324,
zero_delay_efficient,S001-WAT-02,饮用水,12,3600,,3297.9797300371856,,0.0
zero_delay_efficient,S001-WAT-03,饮用水,12,3600,,3297.9797300371856,,0.0
zero_delay_efficient,S001-WAT-04,饮用水,12,3600,,3297.9797300371856,,0.0
zero_delay_efficient,S001-WAT-05,饮用水,12,3600,,3297.9797300371856,,0.0
zero_delay_efficient,S001-WAT-06,饮用水,12,3600,,1182.8980887587327,,0.0
zero_delay_efficient,S001-WAT-07,饮用水,12,3600,,1182.8980887587327,,0.0
zero_delay_efficient,S001-WAT-08,饮用水,12,3600,,1182.8980887587327,,0.0
zero_delay_efficient,S002-FOD-01,应急食品,10,7200,,1490.9508206392265,,0.0
zero_delay_efficient,S002-FOD-02,应急食品,10,7200,,1490.9508206392265,,0.0
zero_delay_efficient,S002-HYG-01,生活卫生用品,8,10800,,1490.9508206392265,,0.0
