sortie,drone,model,battery,start_s,visits,return_s,energy_kwh,return_soc_pct,boxes
T001,U07,C,C01,0.0,S006→S007,2404.598,4.285813,46.427,S006-FOD-01;S006-HYG-01;S006-WAT-02;S006-WAT-03;S007-FOD-01;S007-HYG-01;S007-WAT-02
T002,U08,C,C02,0.0,S001,1561.426,3.090883,61.364,S001-FOD-01;S001-FOD-02;S001-FOD-03;S001-WAT-02;S001-WAT-06;S001-WAT-07;S001-WAT-08
T003,U05,B,B01,0.0,S012,1944.024,2.763324,30.917,S012-FOD-01;S012-MED-01;S012-WAT-01
T004,U06,B,B02,0.0,S007→S011,1859.75,1.96567,50.858,S007-MED-01;S007-WAT-01;S011-FOD-01
T005,U01,A,A01,0.0,S001,1312.471,1.268023,71.822,S001-MED-01;S001-MED-02;S001-WAT-01
T006,U02,A,A02,0.0,S014,1964.903,2.277904,49.38,S014-MED-01;S014-WAT-01
T007,U03,A,A03,0.0,S010,1653.852,1.95254,56.61,S010-MED-01;S010-WAT-01
T008,U04,A,A04,0.0,S006,1316.014,1.310961,70.868,S006-MED-01;S006-WAT-01
T009,U08,C,C03,1561.426,S001,2990.852,2.3782,70.272,S001-HYG-01;S001-HYG-02;S001-WAT-03;S001-WAT-04;S001-WAT-05
T010,U01,A,A05,1312.471,S013,2915.064,1.953925,56.579,S013-MED-01;S013-WAT-01
T011,U04,A,A06,1316.014,S002,3327.065,2.930475,34.878,S002-MED-01;S002-WAT-01
T012,U07,C,C04,2404.598,S002,4519.68,6.126766,23.415,S002-FOD-01;S002-FOD-02;S002-HYG-01;S002-WAT-02;S002-WAT-03;S002-WAT-04
T013,U06,B,B03,1859.75,S005→S010,4142.362,2.936175,26.596,S005-MED-01;S005-WAT-01;S010-FOD-01
T014,U05,B,B04,1944.024,S015,3773.597,2.310903,42.227,S015-FOD-01;S015-MED-01;S015-WAT-01
T015,U08,C,C02,3231.874,S003,5667.683,6.14777,23.153,S003-FOD-01;S003-FOD-02;S003-HYG-01;S003-WAT-02;S003-WAT-03;S003-WAT-04
T016,U05,B,B02,3773.597,S008,5731.639,2.982875,25.428,S008-FOD-01;S008-MED-01;S008-WAT-01
T017,U02,A,A01,2178.789,S004,4362.748,3.098647,31.141,S004-MED-01;S004-WAT-01
T018,U03,A,A04,2194.736,S003,4457.013,2.981173,33.752,S003-MED-01;S003-WAT-01
T019,U06,B,B01,4142.362,S009→S014,6609.55,3.148224,21.294,S009-MED-01;S009-WAT-01;S014-FOD-01
T020,U07,C,C01,4519.68,S004,6692.864,5.540004,30.75,S004-FOD-01;S004-HYG-01;S004-WAT-02;S004-WAT-03
T021,U05,B,B04,5731.639,S008,7629.68,2.77042,30.739,S008-HYG-01;S008-WAT-02
T022,U01,A,A03,2915.064,S013,4457.656,1.867438,58.501,S013-FOD-01
T023,U08,C,C03,5667.683,S005,7415.728,3.801932,52.476,S005-FOD-01;S005-HYG-01;S005-WAT-02;S005-WAT-03
T024,U04,A,A02,3327.065,S011,4550.601,1.15549,74.322,S011-MED-01;S011-WAT-01
T025,U02,A,A05,4362.748,S009,5994.283,2.164473,51.901,S009-FOD-01
