box,sortie,zone,delivered_s
S001-FOD-01,T006,S001,2615.933
S001-FOD-02,T006,S001,2615.933
S001-FOD-03,T006,S001,2615.933
S001-HYG-01,T002,S001,1182.898
S001-HYG-02,T002,S001,1182.898
S001-MED-01,T005,S001,969.359
S001-MED-02,T005,S001,969.359
S001-WAT-01,T005,S001,969.359
S001-WAT-02,T002,S001,1182.898
S001-WAT-03,T002,S001,1182.898
S001-WAT-04,T002,S001,1182.898
S001-WAT-05,T002,S001,1182.898
S001-WAT-06,T006,S001,2615.933
S001-WAT-07,T006,S001,2615.933
S001-WAT-08,T006,S001,2615.933
S002-FOD-01,T010,S002,4419.412
S002-FOD-02,T010,S002,4419.412
S002-HYG-01,T010,S002,4419.412
S002-MED-01,T012,S002,3377.673
S002-WAT-01,T012,S002,3377.673
S002-WAT-02,T010,S002,4419.412
S002-WAT-03,T010,S002,4419.412
S002-WAT-04,T010,S002,4419.412
S003-FOD-01,T015,S003,7224.143
S003-FOD-02,T015,S003,7224.143
S003-HYG-01,T015,S003,7224.143
S003-MED-01,T017,S003,1409.112
S003-WAT-01,T017,S003,1409.112
S003-WAT-02,T015,S003,7224.143
S003-WAT-03,T015,S003,7224.143
S003-WAT-04,T015,S003,7224.143
S004-FOD-01,T014,S004,6909.71
S004-HYG-01,T014,S004,6909.71
S004-MED-01,T018,S004,2686.097
S004-WAT-01,T018,S004,2686.097
S004-WAT-02,T014,S004,6909.71
S004-WAT-03,T014,S004,6909.71
S005-FOD-01,T022,S005,8871.989
S005-HYG-01,T022,S005,8871.989
S005-MED-01,T014,S005,6274.2
S005-WAT-01,T014,S005,6274.2
S005-WAT-02,T022,S005,8871.989
S005-WAT-03,T022,S005,8871.989
S006-FOD-01,T004,S006,1079.163
S006-HYG-01,T004,S006,1079.163
S006-MED-01,T011,S006,936.77
S006-WAT-01,T011,S006,936.77
S006-WAT-02,T004,S006,1079.163
S006-WAT-03,T004,S006,1079.163
S007-FOD-01,T008,S007,2833.998
S007-HYG-01,T008,S007,2833.998
S007-MED-01,T008,S007,2833.998
S007-WAT-01,T008,S007,2833.998
S007-WAT-02,T008,S007,2833.998
S008-FOD-01,T013,S008,4879.554
S008-HYG-01,T013,S008,4879.554
S008-MED-01,T013,S008,4879.554
S008-WAT-01,T013,S008,4879.554
S008-WAT-02,T013,S008,4879.554
S009-FOD-01,T012,S009,2976.004
S009-MED-01,T019,S009,5039.317
S009-WAT-01,T019,S009,5039.317
S010-FOD-01,T001,S010,964.822
S010-MED-01,T009,S010,1104.463
S010-WAT-01,T009,S010,1104.463
S011-FOD-01,T023,S011,3096.231
S011-MED-01,T021,S011,3072.743
S011-WAT-01,T021,S011,3072.743
S012-FOD-01,T003,S012,1281.942
S012-MED-01,T003,S012,1281.942
S012-WAT-01,T003,S012,1281.942
S013-FOD-01,T019,S013,5491.141
S013-MED-01,T020,S013,2394.844
S013-WAT-01,T020,S013,2394.844
S014-FOD-01,T007,S014,2664.397
S014-MED-01,T007,S014,2664.397
S014-WAT-01,T007,S014,2664.397
S015-FOD-01,T016,S015,4497.337
S015-MED-01,T016,S015,4497.337
S015-WAT-01,T016,S015,4497.337
