sortie,drone,model,battery,start_s,visits,return_s,energy_kwh,return_soc_pct,boxes
T001,U07,C,C01,0.0,S002,2115.082,6.126766,23.415,S002-FOD-01;S002-FOD-02;S002-HYG-01;S002-WAT-02;S002-WAT-03;S002-WAT-04
T002,U08,C,C02,0.0,S001,1495.426,2.672703,66.591,S001-HYG-01;S001-HYG-02;S001-WAT-02;S001-WAT-03;S001-WAT-04;S001-WAT-05
T003,U05,B,B01,0.0,S012,1944.024,2.763324,30.917,S012-FOD-01;S012-MED-01;S012-WAT-01
T004,U08,C,C03,1495.426,S007,3384.651,3.403349,57.458,S007-FOD-01;S007-HYG-01;S007-MED-01;S007-WAT-01;S007-WAT-02
T005,U06,B,B02,0.0,S001,1210.357,1.077085,73.073,S001-MED-01;S001-MED-02;S001-WAT-01
T006,U06,B,B03,1210.357,S014,3054.896,2.127681,46.808,S014-FOD-01;S014-MED-01;S014-WAT-01
T007,U01,A,A01,0.0,S010,1653.852,1.95254,56.61,S010-MED-01;S010-WAT-01
T008,U02,A,A02,0.0,S006,1316.014,1.310961,70.868,S006-MED-01;S006-WAT-01
T009,U07,C,C04,2115.082,S006,3548.117,2.325812,70.927,S006-FOD-01;S006-HYG-01;S006-WAT-02;S006-WAT-03
T010,U03,A,A03,0.0,S013,1602.593,1.953925,56.579,S013-MED-01;S013-WAT-01
T011,U08,C,C02,3384.651,S001,4880.077,2.621086,67.236,S001-FOD-01;S001-FOD-02;S001-FOD-03;S001-WAT-06;S001-WAT-07;S001-WAT-08
T012,U05,B,B04,1944.024,S009→S002,3977.337,2.687208,32.82,S009-FOD-01;S002-MED-01;S002-WAT-01
T013,U07,C,C01,4607.747,S008,6801.875,5.853747,26.828,S008-FOD-01;S008-HYG-01;S008-MED-01;S008-WAT-01;S008-WAT-02
T014,U06,B,B02,3054.896,S015,4884.469,2.310903,42.227,S015-FOD-01;S015-MED-01;S015-WAT-01
T015,U04,A,A04,0.0,S003,2262.277,2.981173,33.752,S003-MED-01;S003-WAT-01
T016,U02,A,A05,1316.014,S004,3499.974,3.098647,31.141,S004-MED-01;S004-WAT-01
T017,U05,B,B01,3977.337,S009→S013,5934.092,2.5007,37.482,S009-MED-01;S009-WAT-01;S013-FOD-01
T018,U08,C,C04,5011.357,S005→S004,7597.147,6.085657,23.929,S005-MED-01;S005-WAT-01;S004-FOD-01;S004-HYG-01;S004-WAT-02;S004-WAT-03
T019,U07,C,C02,6801.875,S003,9237.684,6.14777,23.153,S003-FOD-01;S003-FOD-02;S003-HYG-01;S003-WAT-02;S003-WAT-03;S003-WAT-04
T020,U03,A,A06,1602.593,S010,3196.445,1.865715,58.54,S010-FOD-01
T021,U01,A,A02,2194.736,S011,3418.272,1.15549,74.322,S011-MED-01;S011-WAT-01
T022,U08,C,C03,7597.147,S005,9345.191,3.801932,52.476,S005-FOD-01;S005-HYG-01;S005-WAT-02;S005-WAT-03
T023,U04,A,A03,2667.06,S011,3830.595,1.104775,75.449,S011-FOD-01
