box,sortie,zone,delivered_s
S001-FOD-01,T002,S001,1182.898
S001-FOD-02,T002,S001,1182.898
S001-FOD-03,T002,S001,1182.898
S001-HYG-01,T009,S001,3587.496
S001-HYG-02,T009,S001,3587.496
S001-MED-01,T004,S001,969.359
S001-MED-02,T004,S001,969.359
S001-WAT-01,T004,S001,969.359
S001-WAT-02,T009,S001,3587.496
S001-WAT-03,T009,S001,3587.496
S001-WAT-04,T009,S001,3587.496
S001-WAT-05,T009,S001,3587.496
S001-WAT-06,T002,S001,1182.898
S001-WAT-07,T002,S001,1182.898
S001-WAT-08,T002,S001,1182.898
S002-FOD-01,T007,S002,2986.377
S002-FOD-02,T007,S002,2986.377
S002-HYG-01,T007,S002,2986.377
S002-MED-01,T006,S002,1557.874
S002-WAT-01,T006,S002,1557.874
S002-WAT-02,T007,S002,2986.377
S002-WAT-03,T007,S002,2986.377
S002-WAT-04,T007,S002,2986.377
S003-FOD-01,T017,S003,6044.037
S003-FOD-02,T017,S003,6044.037
S003-HYG-01,T017,S003,6044.037
S003-MED-01,T013,S003,3067.347
S003-WAT-01,T018,S003,5518.015
S003-WAT-02,T017,S003,6044.037
S003-WAT-03,T017,S003,6044.037
S003-WAT-04,T017,S003,6044.037
S004-FOD-01,T016,S004,5064.07
S004-HYG-01,T016,S004,5064.07
S004-MED-01,T014,S004,2689.641
S004-WAT-01,T014,S004,2689.641
S004-WAT-02,T016,S004,5064.07
S004-WAT-03,T016,S004,5064.07
S005-FOD-01,T022,S005,7026.349
S005-HYG-01,T022,S005,7026.349
S005-MED-01,T021,S005,3412.096
S005-WAT-01,T021,S005,3412.096
S005-WAT-02,T022,S005,7026.349
S005-WAT-03,T022,S005,7026.349
S006-FOD-01,T005,S006,1169.163
S006-HYG-01,T005,S006,1169.163
S006-MED-01,T008,S006,936.77
S006-WAT-01,T008,S006,936.77
S006-WAT-02,T005,S006,1169.163
S006-WAT-03,T005,S006,1169.163
S007-FOD-01,T005,S007,1853.946
S007-HYG-01,T005,S007,1853.946
S007-MED-01,T003,S007,1356.733
S007-WAT-01,T003,S007,1356.733
S007-WAT-02,T005,S007,1853.946
S008-FOD-01,T015,S008,4837.498
S008-HYG-01,T019,S008,6735.539
S008-MED-01,T015,S008,4837.498
S008-WAT-01,T015,S008,4837.498
S008-WAT-02,T019,S008,6735.539
S009-FOD-01,T024,S009,4776.761
S009-MED-01,T006,S009,1127.357
S009-WAT-01,T024,S009,4776.761
S010-FOD-01,T011,S010,2884.572
S010-MED-01,T010,S010,2495.792
S010-WAT-01,T010,S010,2495.792
S011-FOD-01,T003,S011,847.002
S011-MED-01,T020,S011,3072.743
S011-WAT-01,T020,S011,3072.743
S012-FOD-01,T023,S012,5046.882
S012-MED-01,T012,S012,1345.25
S012-WAT-01,T012,S012,1345.25
S013-FOD-01,T023,S013,4537.254
S013-MED-01,T001,S013,998.018
S013-WAT-01,T001,S013,998.018
S014-FOD-01,T010,S014,2933.538
S014-MED-01,T011,S014,3352.318
S014-WAT-01,T011,S014,3352.318
S015-FOD-01,T013,S015,2601.016
S015-MED-01,T013,S015,2601.016
S015-WAT-01,T018,S015,5095.257
