sortie,drone,model,battery,start_s,visits,return_s,energy_kwh,return_soc_pct,boxes
T001,U05,B,B01,0.0,S013,1440.969,1.632661,59.183,S013-MED-01;S013-WAT-01
T002,U07,C,C01,0.0,S001,1495.426,2.621086,67.236,S001-FOD-01;S001-FOD-02;S001-FOD-03;S001-WAT-06;S001-WAT-07;S001-WAT-08
T003,U06,B,B02,0.0,S011→S007,1859.75,1.904406,52.39,S011-FOD-01;S007-MED-01;S007-WAT-01
T004,U01,A,A01,0.0,S001,1312.471,1.268023,71.822,S001-MED-01;S001-MED-02;S001-WAT-01
T005,U08,C,C02,0.0,S006→S007,2404.598,4.285813,46.427,S006-FOD-01;S006-HYG-01;S006-WAT-02;S006-WAT-03;S007-FOD-01;S007-HYG-01;S007-WAT-02
T006,U02,A,A02,0.0,S009→S002,2281.46,3.00442,33.235,S009-MED-01;S002-MED-01;S002-WAT-01
T007,U07,C,C03,1495.426,S002,3610.508,6.126766,23.415,S002-FOD-01;S002-FOD-02;S002-HYG-01;S002-WAT-02;S002-WAT-03;S002-WAT-04
T008,U03,A,A03,0.0,S006,1316.014,1.310961,70.868,S006-MED-01;S006-WAT-01
T009,U08,C,C04,2404.598,S001,3900.024,2.672703,66.591,S001-HYG-01;S001-HYG-02;S001-WAT-02;S001-WAT-03;S001-WAT-04;S001-WAT-05
T010,U05,B,B03,1440.969,S010→S014,3548.25,2.265766,43.356,S010-MED-01;S010-WAT-01;S014-FOD-01
T011,U06,B,B04,1859.75,S010→S014,3967.031,2.312723,42.182,S010-FOD-01;S014-MED-01;S014-WAT-01
T012,U04,A,A04,0.0,S012,2130.639,2.969256,34.017,S012-MED-01;S012-WAT-01
T013,U01,A,A05,1312.471,S015→S003,3920.512,3.16972,29.562,S015-FOD-01;S015-MED-01;S003-MED-01
T014,U03,A,A06,1316.014,S004,3499.974,3.098647,31.141,S004-MED-01;S004-WAT-01
T015,U05,B,B01,3548.25,S008,5506.292,2.982875,25.428,S008-FOD-01;S008-MED-01;S008-WAT-01
T016,U07,C,C01,3610.508,S004,5783.692,5.540004,30.75,S004-FOD-01;S004-HYG-01;S004-WAT-02;S004-WAT-03
T017,U08,C,C02,4398.672,S003,6834.482,6.14777,23.153,S003-FOD-01;S003-FOD-02;S003-HYG-01;S003-WAT-02;S003-WAT-03;S003-WAT-04
T018,U06,B,B02,3967.031,S015→S003,6250.163,3.0883,22.792,S015-WAT-01;S003-WAT-01
T019,U05,B,B03,5506.292,S008,7404.333,2.77042,30.739,S008-HYG-01;S008-WAT-02
T020,U04,A,A01,2178.789,S011,3402.324,1.15549,74.322,S011-MED-01;S011-WAT-01
T021,U02,A,A03,2281.46,S005,3977.218,2.129519,52.677,S005-MED-01;S005-WAT-01
T022,U07,C,C04,5783.692,S005,7531.737,3.801932,52.476,S005-FOD-01;S005-HYG-01;S005-WAT-02;S005-WAT-03
T023,U04,A,A04,3488.424,S013→S012,5832.271,2.98926,33.572,S013-FOD-01;S012-FOD-01
T024,U03,A,A02,3649.404,S009,5340.938,2.33825,48.039,S009-FOD-01;S009-WAT-01
