scheme,sortie,model,resource_type,resource_id,activity,start_s,end_s
soft_delay_priority,T001,C,aircraft,U07,flight,0.0,2404.597882910281
soft_delay_priority,T001,C,battery,C01,flight,0.0,2404.597882910281
soft_delay_priority,T001,C,battery,C01,charging,2404.597882910281,4398.672189448818
soft_delay_priority,T002,C,aircraft,U08,flight,0.0,1495.4261775174655
soft_delay_priority,T002,C,battery,C02,flight,0.0,1495.4261775174655
soft_delay_priority,T002,C,battery,C02,charging,1495.4261775174655,3038.637095537719
soft_delay_priority,T003,C,aircraft,U08,flight,1495.4261775174655,3610.5078187959184
soft_delay_priority,T003,C,battery,C03,flight,1495.4261775174655,3610.5078187959184
soft_delay_priority,T003,C,battery,C03,charging,3610.5078187959184,6103.1735362475865
soft_delay_priority,T004,B,aircraft,U05,flight,0.0,1209.979917269268
soft_delay_priority,T004,B,battery,B01,flight,0.0,1209.979917269268
soft_delay_priority,T004,B,battery,B01,charging,1209.979917269268,2352.630298205151
soft_delay_priority,T005,B,aircraft,U06,flight,0.0,1440.9693925601796
soft_delay_priority,T005,B,battery,B02,flight,0.0,1440.9693925601796
soft_delay_priority,T005,B,battery,B02,charging,1440.9693925601796,2815.1225058287064
soft_delay_priority,T006,C,aircraft,U07,flight,2404.597882910281,3900.0240604277465
soft_delay_priority,T006,C,battery,C04,flight,2404.597882910281,3900.0240604277465
soft_delay_priority,T006,C,battery,C04,charging,3900.0240604277465,5457.214436097678
soft_delay_priority,T007,C,aircraft,U08,flight,3610.5078187959184,6046.317339653567
soft_delay_priority,T007,C,battery,C02,flight,3610.5078187959184,6046.317339653567
soft_delay_priority,T007,C,battery,C02,charging,6046.317339653567,8544.67161962808
soft_delay_priority,T008,B,aircraft,U05,flight,1209.979917269268,3317.260890291095
soft_delay_priority,T008,B,battery,B03,flight,1209.979917269268,3317.260890291095
soft_delay_priority,T008,B,battery,B03,charging,3317.260890291095,4965.759383785937
soft_delay_priority,T009,A,aircraft,U01,flight,0.0,2281.4599588363917
soft_delay_priority,T009,A,battery,A01,flight,0.0,2281.4599588363917
soft_delay_priority,T009,A,battery,A01,charging,2281.4599588363917,3649.403580614774
soft_delay_priority,T010,A,aircraft,U02,flight,0.0,1712.4416357195464
soft_delay_priority,T010,A,battery,A02,flight,0.0,1712.4416357195464
soft_delay_priority,T010,A,battery,A02,charging,1712.4416357195464,2761.062337358848
soft_delay_priority,T011,B,aircraft,U06,flight,1440.9693925601796,3548.2503655820065
soft_delay_priority,T011,B,battery,B04,flight,1440.9693925601796,3548.2503655820065
soft_delay_priority,T011,B,battery,B04,charging,3548.2503655820065,5221.432923006688
soft_delay_priority,T012,A,aircraft,U03,flight,0.0,2130.6390887595826
soft_delay_priority,T012,A,battery,A03,flight,0.0,2130.6390887595826
soft_delay_priority,T012,A,battery,A03,charging,2130.6390887595826,3488.424083728015
soft_delay_priority,T013,A,aircraft,U04,flight,0.0,1312.470877312685
soft_delay_priority,T013,A,battery,A04,flight,0.0,1312.470877312685
soft_delay_priority,T013,A,battery,A04,charging,1312.470877312685,2178.7887122874713
soft_delay_priority,T014,C,aircraft,U07,flight,4398.672189448818,6571.85625441666
soft_delay_priority,T014,C,battery,C01,flight,4398.672189448818,6571.85625441666
soft_delay_priority,T014,C,battery,C01,charging,6571.85625441666,8905.60730693794
soft_delay_priority,T015,B,aircraft,U05,flight,3317.260890291095,5275.3021617780905
soft_delay_priority,T015,B,battery,B01,flight,3317.260890291095,5275.3021617780905
soft_delay_priority,T015,B,battery,B01,charging,5275.3021617780905,7234.547789263681
soft_delay_priority,T016,B,aircraft,U06,flight,3548.2503655820065,5446.291637069002
soft_delay_priority,T016,B,battery,B02,flight,3548.2503655820065,5446.291637069002
soft_delay_priority,T016,B,battery,B02,charging,5446.291637069002,7313.473788986611
soft_delay_priority,T017,A,aircraft,U04,flight,1312.470877312685,3496.43027828567
soft_delay_priority,T017,A,battery,A05,flight,1312.470877312685,3496.43027828567
soft_delay_priority,T017,A,battery,A05,charging,3496.43027828567,4891.5950100041855
