scheme,boxes,hard_on_time,hard_total,first_on_time,first_total,medical_on_time,medical_total,min_hard_slack_seconds,min_first_slack_seconds,min_medical_slack_seconds,weighted_soft_delay_seconds,max_soft_lateness_seconds,weighted_delivery_seconds,p90_box_delivery_seconds,latest_box_delivery_seconds,latest_zone_completion_seconds,makespan_seconds,energy_kwh,energy_kwh_per_delivered_kg,sorties,multi_zone_sorties,sorties_A,sorties_B,sorties_C,used_aircraft_A,used_aircraft_B,used_aircraft_C,peak_simultaneous_aircraft,max_sorties_per_drone,min_return_soc_pct,pareto_efficient_5_metrics
28_earliest,80,31,31,30,30,16,16,581.7405873864973,581.7405873864973,1153.6683048275418,0,0,2662962.4802919086,5353.586092911667,6618.259412613503,6618.259412613503,7350.4068166783945,77.05945901639045,0.10166155543059426,28,7,14,8,6,4,2,2,8,4,22.79249226598776,True
25_previous_efficient,80,31,31,30,30,16,16,197.40693520753757,197.40693520753757,630.8280749568867,0,0,2808098.9475167473,6044.036949877643,7026.349204081665,7026.349204081665,7531.736524399572,74.09697341174574,0.0977532630761817,25,8,10,8,7,4,2,2,8,4,22.79249226598776,False
24_fast_efficient,80,31,31,30,30,16,16,454.0627671350985,454.0627671350985,1415.5473680330533,0,0,2774907.904014941,6044.036949877643,7026.349204081665,7026.349204081665,7531.736524399572,71.88817372611516,0.09483927932205166,24,8,9,8,7,4,2,2,8,4,22.79249226598776,True
24_min_energy_same_finish,80,31,31,30,30,16,16,630.8280749568867,630.8280749568867,630.8280749568867,0,0,3162057.2022145567,6785.895779384543,7021.940662194022,7021.940662194022,7531.736524399572,71.84455566683643,0.09478173570822748,24,8,9,8,7,4,2,2,8,4,22.79249226598776,True
23_balanced,80,31,31,30,30,16,16,485.82430944294356,485.82430944294356,2003.930148720161,0,0,2666792.7611074573,5545.38882085657,7158.349204081665,7158.349204081665,7663.736524399572,69.94656474421124,0.09227778990001484,23,8,10,6,7,4,2,2,8,4,22.78861572025447,True
23_min_energy,80,31,31,30,30,16,16,9.211386841700914,9.211386841700914,21.406009059024655,0,0,3265168.2326261112,6768.030406783813,7447.865445713494,7447.865445713494,7953.252766031401,69.10553483166092,0.0911682517568086,23,8,8,8,7,4,2,2,8,4,22.78861572025447,True
22_low_sorties,80,31,31,30,30,16,16,6.366131937975297,6.366131937975297,6.366131937975297,0,0,3398189.023789064,7193.633868062025,7710.490901603302,7710.490901603302,8215.878221921208,67.41726820943816,0.08894098708369151,22,8,7,8,7,4,2,2,7,4,22.78861572025447,True
21_low_sorties,80,31,31,30,30,16,16,292.89291523372276,292.89291523372276,1153.6683048275418,0,0,2948652.2972183637,7193.633868062025,7719.9549469878075,7719.9549469878075,8225.342267305714,66.89089297969177,0.08824656065922397,21,9,6,8,7,4,2,2,8,4,22.78861572025447,True
20_repacked,80,31,31,30,30,16,16,292.89291523372276,292.89291523372276,1937.930148720161,0,0,2967133.7843982372,7193.633868062025,7830.361430190333,7830.361430190333,8335.748750508239,66.27458443139938,0.08743348869577754,20,9,5,8,7,4,2,2,8,4,22.78861572025447,True
19_best_delivery,80,31,31,30,30,16,16,118.62814264750705,118.62814264750705,118.62814264750705,0,0,2958556.1787138567,6371.618069979033,7960.782205114496,7960.782205114496,8466.169525432402,65.60659919024813,0.0865522416757891,19,9,5,7,7,4,2,2,8,4,22.78861572025447,True
19_fast,80,31,31,30,30,16,16,52.62814264750705,52.62814264750705,52.62814264750705,0,0,3038621.665782807,6371.618069979033,7785.9549469878075,7785.9549469878075,8291.342267305714,65.60659919024813,0.0865522416757891,19,9,5,7,7,4,2,2,8,4,22.78861572025447,True
19_min_energy,80,31,31,30,30,16,16,52.62814264750705,52.62814264750705,52.62814264750705,0,0,3060390.6224989914,7144.582585838077,7992.62327528897,7992.62327528897,8498.010595606876,65.21750366168206,0.08603892303651987,19,9,4,8,7,4,2,2,8,4,22.78861572025447,True
