box,sortie,zone,delivered_s
S001-FOD-01,T012,S001,1182.898
S001-FOD-02,T012,S001,1182.898
S001-FOD-03,T012,S001,1182.898
S001-HYG-01,T005,S001,1182.898
S001-HYG-02,T005,S001,1182.898
S001-MED-01,T010,S001,969.359
S001-MED-02,T010,S001,969.359
S001-WAT-01,T010,S001,969.359
S001-WAT-02,T005,S001,1182.898
S001-WAT-03,T005,S001,1182.898
S001-WAT-04,T005,S001,1182.898
S001-WAT-05,T005,S001,1182.898
S001-WAT-06,T012,S001,1182.898
S001-WAT-07,T012,S001,1182.898
S001-WAT-08,T012,S001,1182.898
S002-FOD-01,T006,S002,2986.377
S002-FOD-02,T006,S002,2986.377
S002-HYG-01,T006,S002,2986.377
S002-MED-01,T003,S002,1557.874
S002-WAT-01,T003,S002,1557.874
S002-WAT-02,T006,S002,2986.377
S002-WAT-03,T006,S002,2986.377
S002-WAT-04,T006,S002,2986.377
S003-FOD-01,T020,S003,5545.389
S003-FOD-02,T020,S003,5545.389
S003-HYG-01,T020,S003,5545.389
S003-MED-01,T016,S003,2721.583
S003-WAT-01,T015,S003,5572.615
S003-WAT-02,T020,S003,5545.389
S003-WAT-03,T020,S003,5545.389
S003-WAT-04,T020,S003,5545.389
S004-FOD-01,T013,S004,5196.07
S004-HYG-01,T013,S004,5196.07
S004-MED-01,T013,S004,5196.07
S004-WAT-01,T013,S004,5196.07
S004-WAT-02,T013,S004,5196.07
S004-WAT-03,T013,S004,5196.07
S005-FOD-01,T017,S005,7158.349
S005-HYG-01,T017,S005,7158.349
S005-MED-01,T023,S005,3412.096
S005-WAT-01,T023,S005,3412.096
S005-WAT-02,T017,S005,7158.349
S005-WAT-03,T017,S005,7158.349
S006-FOD-01,T009,S006,2664.589
S006-HYG-01,T009,S006,2664.589
S006-MED-01,T004,S006,936.77
S006-WAT-01,T004,S006,936.77
S006-WAT-02,T009,S006,2664.589
S006-WAT-03,T009,S006,2664.589
S007-FOD-01,T009,S007,3349.372
S007-HYG-01,T009,S007,3349.372
S007-MED-01,T002,S007,1133.861
S007-WAT-01,T002,S007,1133.861
S007-WAT-02,T009,S007,3349.372
S008-FOD-01,T019,S008,3396.528
S008-HYG-01,T021,S008,5294.57
S008-MED-01,T019,S008,3396.528
S008-WAT-01,T019,S008,3396.528
S008-WAT-02,T021,S008,5294.57
S009-FOD-01,T014,S009,4776.761
S009-MED-01,T003,S009,1127.357
S009-WAT-01,T014,S009,4776.761
S010-FOD-01,T008,S010,3551.882
S010-MED-01,T011,S010,1054.822
S010-WAT-01,T011,S010,1054.822
S011-FOD-01,T001,S011,1631.721
S011-MED-01,T022,S011,3072.743
S011-WAT-01,T022,S011,3072.743
S012-FOD-01,T018,S012,4717.573
S012-MED-01,T007,S012,2661.264
S012-WAT-01,T007,S012,2661.264
S013-FOD-01,T018,S013,5222.408
S013-MED-01,T001,S013,1028.018
S013-WAT-01,T001,S013,1028.018
S014-FOD-01,T011,S014,1492.568
S014-MED-01,T008,S014,3114.176
S014-WAT-01,T008,S014,3114.176
S015-FOD-01,T016,S015,3208.847
S015-MED-01,T016,S015,3208.847
S015-WAT-01,T015,S015,5149.857
