box,sortie,zone,delivered_s
S001-FOD-01,T016,S001,1182.898
S001-FOD-02,T016,S001,1182.898
S001-FOD-03,T016,S001,1182.898
S001-HYG-01,T007,S001,3587.496
S001-HYG-02,T007,S001,3587.496
S001-MED-01,T003,S001,969.359
S001-MED-02,T003,S001,969.359
S001-WAT-01,T003,S001,969.359
S001-WAT-02,T007,S001,3587.496
S001-WAT-03,T007,S001,3587.496
S001-WAT-04,T007,S001,3587.496
S001-WAT-05,T007,S001,3587.496
S001-WAT-06,T016,S001,1182.898
S001-WAT-07,T016,S001,1182.898
S001-WAT-08,T016,S001,1182.898
S002-FOD-01,T012,S002,2986.377
S002-FOD-02,T012,S002,2986.377
S002-HYG-01,T012,S002,2986.377
S002-MED-01,T005,S002,1557.874
S002-WAT-01,T005,S002,1557.874
S002-WAT-02,T012,S002,2986.377
S002-WAT-03,T012,S002,2986.377
S002-WAT-04,T012,S002,2986.377
S003-FOD-01,T021,S003,6044.037
S003-FOD-02,T021,S003,6044.037
S003-HYG-01,T021,S003,6044.037
S003-MED-01,T010,S003,2725.126
S003-WAT-01,T022,S003,6745.937
S003-WAT-02,T021,S003,6044.037
S003-WAT-03,T021,S003,6044.037
S003-WAT-04,T021,S003,6044.037
S004-FOD-01,T019,S004,5064.07
S004-HYG-01,T019,S004,5064.07
S004-MED-01,T015,S004,3552.415
S004-WAT-01,T015,S004,3552.415
S004-WAT-02,T019,S004,5064.07
S004-WAT-03,T019,S004,5064.07
S005-FOD-01,T023,S005,7026.349
S005-HYG-01,T023,S005,7026.349
S005-MED-01,T011,S005,3412.096
S005-WAT-01,T011,S005,3412.096
S005-WAT-02,T023,S005,7026.349
S005-WAT-03,T023,S005,7026.349
S006-FOD-01,T004,S006,1169.163
S006-HYG-01,T004,S006,1169.163
S006-MED-01,T006,S006,936.77
S006-WAT-01,T006,S006,936.77
S006-WAT-02,T004,S006,1169.163
S006-WAT-03,T004,S006,1169.163
S007-FOD-01,T004,S007,1853.946
S007-HYG-01,T004,S007,1853.946
S007-MED-01,T002,S007,1133.861
S007-WAT-01,T002,S007,1133.861
S007-WAT-02,T004,S007,1853.946
S008-FOD-01,T020,S008,4526.159
S008-HYG-01,T018,S008,5250.878
S008-MED-01,T020,S008,4526.159
S008-WAT-01,T020,S008,4526.159
S008-WAT-02,T018,S008,5250.878
S009-FOD-01,T024,S009,6951.651
S009-MED-01,T005,S009,1127.357
S009-WAT-01,T024,S009,6951.651
S010-FOD-01,T009,S010,3551.882
S010-MED-01,T013,S010,2184.453
S010-WAT-01,T013,S010,2184.453
S011-FOD-01,T001,S011,1631.721
S011-MED-01,T008,S011,847.002
S011-WAT-01,T008,S011,847.002
S012-FOD-01,T017,S012,4758.36
S012-MED-01,T014,S012,2657.72
S012-WAT-01,T014,S012,2657.72
S013-FOD-01,T017,S013,5263.194
S013-MED-01,T001,S013,1028.018
S013-WAT-01,T001,S013,1028.018
S014-FOD-01,T013,S014,2622.198
S014-MED-01,T009,S014,3114.176
S014-WAT-01,T009,S014,3114.176
S015-FOD-01,T010,S015,3212.39
S015-MED-01,T010,S015,3212.39
S015-WAT-01,T022,S015,6323.179
