sortie,drone,model,battery,start_s,visits,return_s,energy_kwh,return_soc_pct,boxes
T001,U04,A,A06,0.0,S009→S002,2281.46,3.00442,33.235,S009-MED-01;S002-MED-01;S002-WAT-01
T002,U08,C,C03,0.0,S001,1627.426,2.854621,64.317,S001-HYG-01;S001-HYG-02;S001-MED-01;S001-MED-02;S001-WAT-02;S001-WAT-03;S001-WAT-04;S001-WAT-05
T003,U05,B,B04,0.0,S010→S014,2107.281,2.265766,43.356,S010-MED-01;S010-WAT-01;S014-FOD-01
T006,U01,A,A03,0.0,S003→S015,2608.041,3.221111,28.42,S003-MED-01;S015-FOD-01;S015-MED-01
T007,U03,A,A05,0.0,S012,2130.639,2.969256,34.017,S012-MED-01;S012-WAT-01
T008,U07,C,C01,0.0,S002,2115.082,6.126766,23.415,S002-FOD-01;S002-FOD-02;S002-HYG-01;S002-WAT-02;S002-WAT-03;S002-WAT-04
T012,U02,A,A02,0.0,S012→S013,2343.847,3.045875,32.314,S012-FOD-01;S013-FOD-01
T018,U06,B,B01,0.0,S006,1269.98,1.223874,69.403,S006-FOD-01;S006-MED-01;S006-WAT-01
T004,U06,B,B03,1269.98,S013→S011,3184.329,2.341517,41.462,S013-MED-01;S013-WAT-01;S011-FOD-01
T019,U08,C,C04,1627.426,S006→S007,4098.024,4.767366,40.408,S006-HYG-01;S006-WAT-02;S006-WAT-03;S007-FOD-01;S007-HYG-01;S007-MED-01;S007-WAT-01;S007-WAT-02
T010,U05,B,B02,2107.281,S014→S010,4214.562,2.322729,41.932,S014-MED-01;S014-WAT-01;S010-FOD-01
T005,U07,C,C02,2115.082,S001,3676.508,3.090883,61.364,S001-FOD-01;S001-FOD-02;S001-FOD-03;S001-WAT-01;S001-WAT-06;S001-WAT-07;S001-WAT-08
T017,U03,A,A04,2130.639,S009,3822.174,2.33825,48.039,S009-FOD-01;S009-WAT-01
T009,U06,B,B01,3184.329,S008,5142.371,2.982875,25.428,S008-FOD-01;S008-MED-01;S008-WAT-01
T011,U07,C,C03,3676.508,S004,5981.692,6.176911,22.789,S004-FOD-01;S004-HYG-01;S004-MED-01;S004-WAT-01;S004-WAT-02;S004-WAT-03
T014,U05,B,B04,4214.562,S015→S003,6497.694,3.0883,22.792,S015-WAT-01;S003-WAT-01
T013,U08,C,C01,4607.747,S003,7043.557,6.14777,23.153,S003-FOD-01;S003-FOD-02;S003-HYG-01;S003-WAT-02;S003-WAT-03;S003-WAT-04
T015,U06,B,B03,5142.371,S008,7040.412,2.77042,30.739,S008-HYG-01;S008-WAT-02
T016,U07,C,C02,5981.692,S011→S005,8291.342,4.867889,39.151,S011-MED-01;S011-WAT-01;S005-FOD-01;S005-HYG-01;S005-MED-01;S005-WAT-01;S005-WAT-02;S005-WAT-03
