sortie,drone,model,battery,start_s,visits,return_s,energy_kwh,return_soc_pct,boxes
T001,U06,B,B04,0.0,S013→S011,1914.35,2.341517,41.462,S013-MED-01;S013-WAT-01;S011-FOD-01
T002,U01,A,A02,0.0,S007,1712.442,1.899072,57.798,S007-MED-01;S007-WAT-01
T003,U04,A,A06,0.0,S009→S002,2281.46,3.00442,33.235,S009-MED-01;S002-MED-01;S002-WAT-01
T004,U03,A,A05,0.0,S006,1316.014,1.310961,70.868,S006-MED-01;S006-WAT-01
T005,U08,C,C04,0.0,S001,1495.426,2.672703,66.591,S001-HYG-01;S001-HYG-02;S001-WAT-02;S001-WAT-03;S001-WAT-04;S001-WAT-05
T010,U02,A,A04,0.0,S001,1312.471,1.268023,71.822,S001-MED-01;S001-MED-02;S001-WAT-01
T011,U05,B,B03,0.0,S010→S014,2107.281,2.265766,43.356,S010-MED-01;S010-WAT-01;S014-FOD-01
T012,U07,C,C03,0.0,S001,1495.426,2.621086,67.236,S001-FOD-01;S001-FOD-02;S001-FOD-03;S001-WAT-06;S001-WAT-07;S001-WAT-08
T016,U02,A,A03,1312.471,S003→S015,3920.512,3.221111,28.42,S003-MED-01;S015-FOD-01;S015-MED-01
T007,U03,A,A01,1316.014,S012,3446.653,2.969256,34.017,S012-MED-01;S012-WAT-01
T006,U07,C,C02,1495.426,S002,3610.508,6.126766,23.415,S002-FOD-01;S002-FOD-02;S002-HYG-01;S002-WAT-02;S002-WAT-03;S002-WAT-04
T009,U08,C,C01,1495.426,S006→S007,3900.024,4.285813,46.427,S006-FOD-01;S006-HYG-01;S006-WAT-02;S006-WAT-03;S007-FOD-01;S007-HYG-01;S007-WAT-02
T008,U06,B,B02,1914.35,S014→S010,4021.631,2.322729,41.932,S014-MED-01;S014-WAT-01;S010-FOD-01
T019,U05,B,B01,2107.281,S008,4065.322,2.982875,25.428,S008-FOD-01;S008-MED-01;S008-WAT-01
T022,U01,A,A04,2178.789,S011,3402.324,1.15549,74.322,S011-MED-01;S011-WAT-01
T023,U04,A,A05,2281.46,S005,3977.218,2.129519,52.677,S005-MED-01;S005-WAT-01
T018,U01,A,A02,3402.324,S012→S013,5746.171,3.045875,32.314,S012-FOD-01;S013-FOD-01
T013,U07,C,C03,3610.508,S004,5915.692,6.176911,22.789,S004-FOD-01;S004-HYG-01;S004-MED-01;S004-WAT-01;S004-WAT-02;S004-WAT-03
T014,U03,A,A06,3649.404,S009,5340.938,2.33825,48.039,S009-FOD-01;S009-WAT-01
T020,U08,C,C04,3900.024,S003,6335.834,6.14777,23.153,S003-FOD-01;S003-FOD-02;S003-HYG-01;S003-WAT-02;S003-WAT-03;S003-WAT-04
T015,U06,B,B04,4021.631,S015→S003,6304.763,3.0883,22.792,S015-WAT-01;S003-WAT-01
T021,U05,B,B03,4065.322,S008,5963.364,2.77042,30.739,S008-HYG-01;S008-WAT-02
T017,U07,C,C01,5915.692,S005,7663.737,3.801932,52.476,S005-FOD-01;S005-HYG-01;S005-WAT-02;S005-WAT-03
