sortie,drone,model,battery,start_s,visits,return_s,energy_kwh,return_soc_pct,boxes
T001,U06,B,B04,0.0,S013→S011,1914.35,2.341517,41.462,S013-MED-01;S013-WAT-01;S011-FOD-01
T002,U04,A,A06,0.0,S007,1712.442,1.899072,57.798,S007-MED-01;S007-WAT-01
T003,U03,A,A05,0.0,S001,1312.471,1.268023,71.822,S001-MED-01;S001-MED-02;S001-WAT-01
T004,U08,C,C02,0.0,S006→S007,2404.598,4.285813,46.427,S006-FOD-01;S006-HYG-01;S006-WAT-02;S006-WAT-03;S007-FOD-01;S007-HYG-01;S007-WAT-02
T005,U02,A,A04,0.0,S009→S002,2281.46,3.00442,33.235,S009-MED-01;S002-MED-01;S002-WAT-01
T006,U01,A,A03,0.0,S006,1316.014,1.310961,70.868,S006-MED-01;S006-WAT-01
T008,U05,B,B03,0.0,S011,1129.63,0.96745,75.814,S011-MED-01;S011-WAT-01
T016,U07,C,C03,0.0,S001,1495.426,2.621086,67.236,S001-FOD-01;S001-FOD-02;S001-FOD-03;S001-WAT-06;S001-WAT-07;S001-WAT-08
T013,U05,B,B02,1129.63,S010→S014,3236.911,2.265766,43.356,S010-MED-01;S010-WAT-01;S014-FOD-01
T014,U03,A,A01,1312.471,S012,3443.11,2.969256,34.017,S012-MED-01;S012-WAT-01
T010,U01,A,A02,1316.014,S003→S015,3924.055,3.221111,28.42,S003-MED-01;S015-FOD-01;S015-MED-01
T012,U07,C,C04,1495.426,S002,3610.508,6.126766,23.415,S002-FOD-01;S002-FOD-02;S002-HYG-01;S002-WAT-02;S002-WAT-03;S002-WAT-04
T009,U06,B,B01,1914.35,S014→S010,4021.631,2.322729,41.932,S014-MED-01;S014-WAT-01;S010-FOD-01
T015,U04,A,A05,2178.789,S004,4362.748,3.098647,31.141,S004-MED-01;S004-WAT-01
T011,U02,A,A03,2281.46,S005,3977.218,2.129519,52.677,S005-MED-01;S005-WAT-01
T007,U08,C,C01,2404.598,S001,3900.024,2.672703,66.591,S001-HYG-01;S001-HYG-02;S001-WAT-02;S001-WAT-03;S001-WAT-04;S001-WAT-05
T020,U05,B,B03,3236.911,S008,5194.953,2.982875,25.428,S008-FOD-01;S008-MED-01;S008-WAT-01
T017,U03,A,A06,3443.11,S012→S013,5786.957,3.045875,32.314,S012-FOD-01;S013-FOD-01
T019,U07,C,C03,3610.508,S004,5783.692,5.540004,30.75,S004-FOD-01;S004-HYG-01;S004-WAT-02;S004-WAT-03
T018,U06,B,B04,4021.631,S008,5919.672,2.77042,30.739,S008-HYG-01;S008-WAT-02
T021,U08,C,C02,4398.672,S003,6834.482,6.14777,23.153,S003-FOD-01;S003-FOD-02;S003-HYG-01;S003-WAT-02;S003-WAT-03;S003-WAT-04
T022,U05,B,B02,5194.953,S015→S003,7478.085,3.0883,22.792,S015-WAT-01;S003-WAT-01
T023,U07,C,C01,5783.692,S005,7531.737,3.801932,52.476,S005-FOD-01;S005-HYG-01;S005-WAT-02;S005-WAT-03
T024,U06,B,B01,5919.672,S009,7420.451,2.006159,49.846,S009-FOD-01;S009-WAT-01
