box,sortie,zone,delivered_s
S001-FOD-01,T002,S001,1182.898
S001-FOD-02,T002,S001,1182.898
S001-FOD-03,T002,S001,1182.898
S001-HYG-01,T006,S001,1182.898
S001-HYG-02,T006,S001,1182.898
S001-MED-01,T013,S001,969.359
S001-MED-02,T013,S001,969.359
S001-WAT-01,T013,S001,969.359
S001-WAT-02,T006,S001,1182.898
S001-WAT-03,T006,S001,1182.898
S001-WAT-04,T006,S001,1182.898
S001-WAT-05,T006,S001,1182.898
S001-WAT-06,T002,S001,1182.898
S001-WAT-07,T002,S001,1182.898
S001-WAT-08,T002,S001,1182.898
S002-FOD-01,T003,S002,2986.377
S002-FOD-02,T003,S002,2986.377
S002-HYG-01,T003,S002,2986.377
S002-MED-01,T009,S002,1557.874
S002-WAT-01,T009,S002,1557.874
S002-WAT-02,T003,S002,2986.377
S002-WAT-03,T003,S002,2986.377
S002-WAT-04,T003,S002,2986.377
S003-FOD-01,T007,S003,5255.873
S003-FOD-02,T007,S003,5255.873
S003-HYG-01,T007,S003,5255.873
S003-MED-01,T018,S003,2602.647
S003-WAT-01,T020,S003,6618.259
S003-WAT-02,T007,S003,5255.873
S003-WAT-03,T007,S003,5255.873
S003-WAT-04,T007,S003,5255.873
S004-FOD-01,T014,S004,5353.586
S004-HYG-01,T014,S004,5353.586
S004-MED-01,T017,S004,3504.265
S004-WAT-01,T017,S004,3504.265
S004-WAT-02,T014,S004,5353.586
S004-WAT-03,T014,S004,5353.586
S005-FOD-01,T023,S005,4902.212
S005-HYG-01,T024,S005,4590.519
S005-MED-01,T021,S005,3412.096
S005-WAT-01,T021,S005,3412.096
S005-WAT-02,T023,S005,4902.212
S005-WAT-03,T024,S005,4590.519
S006-FOD-01,T001,S006,2664.589
S006-HYG-01,T001,S006,2664.589
S006-MED-01,T004,S006,883.753
S006-WAT-01,T004,S006,883.753
S006-WAT-02,T001,S006,2664.589
S006-WAT-03,T001,S006,2664.589
S007-FOD-01,T001,S007,3349.372
S007-HYG-01,T001,S007,3349.372
S007-MED-01,T010,S007,2446.332
S007-WAT-01,T010,S007,2446.332
S007-WAT-02,T001,S007,3349.372
S008-FOD-01,T015,S008,4606.508
S008-HYG-01,T016,S008,6504.549
S008-MED-01,T015,S008,4606.508
S008-WAT-01,T015,S008,4606.508
S008-WAT-02,T016,S008,6504.549
S009-FOD-01,T027,S009,6534.691
S009-MED-01,T009,S009,1127.357
S009-WAT-01,T025,S009,5140.89
S010-FOD-01,T011,S010,3078.501
S010-MED-01,T008,S010,2264.802
S010-WAT-01,T008,S010,2264.802
S011-FOD-01,T028,S011,6543.717
S011-MED-01,T019,S011,893.954
S011-WAT-01,T019,S011,893.954
S012-FOD-01,T022,S012,5046.882
S012-MED-01,T012,S012,1345.25
S012-WAT-01,T012,S012,1345.25
S013-FOD-01,T022,S013,4537.254
S013-MED-01,T005,S013,998.018
S013-WAT-01,T005,S013,998.018
S014-FOD-01,T008,S014,2702.548
S014-MED-01,T011,S014,2640.796
S014-WAT-01,T011,S014,2640.796
S015-FOD-01,T026,S015,6290.957
S015-MED-01,T018,S015,3059.911
S015-WAT-01,T020,S015,6195.501
