case,metric,original,refined,change,change_pct
main,weighted_soft_delay_seconds,0,0,0,0
main,weighted_delivery_seconds,2735557.495136332,2662962.4802919086,-72595.01484442363,-2.653755769107156
main,makespan,7558.434268462624,7350.4068166783945,-208.02745178422902,-2.7522558825737007
main,energy_kwh,77.05945901639045,77.05945901639045,0.0,0.0
main,sortie_count,28,28,0,0.0
energy,weighted_soft_delay_seconds,0,0,0,0
energy,weighted_delivery_seconds,2809611.6208803034,2808098.9475167473,-1512.673363556154,-0.053839233590662804
energy,makespan,7531.736524399572,7531.736524399572,0.0,0.0
energy,energy_kwh,74.33663568052843,74.09697341174574,-0.2396622687826948,-0.32240128516533256
energy,sortie_count,25,25,0,0.0
