scheme,box,kind,priority,desired_s,hard_deadline_s,delivered_s,hard_slack_s,soft_delay_s
soft_delay_priority,S001-FOD-01,应急食品,10,7200,,1182.8980887587327,,0.0
soft_delay_priority,S001-FOD-02,应急食品,10,7200,,1182.8980887587327,,0.0
soft_delay_priority,S001-FOD-03,应急食品,10,7200,,1182.8980887587327,,0.0
soft_delay_priority,S001-HYG-01,生活卫生用品,8,10800,,1182.8980887587327,,0.0
soft_delay_priority,S001-HYG-02,生活卫生用品,8,10800,,1182.8980887587327,,0.0
soft_delay_priority,S001-MED-01,医疗物资,24,3600,3600,969.3587719896758,2630.641228010324,
soft_delay_priority,S001-MED-02,医疗物资,24,3600,3600,969.3587719896758,2630.641228010324,
soft_delay_priority,S001-WAT-01,饮用水,12,3600,3600,969.3587719896758,2630.641228010324,
soft_delay_priority,S001-WAT-02,饮用水,12,3600,,1182.8980887587327,,0.0
soft_delay_priority,S001-WAT-03,饮用水,12,3600,,1182.8980887587327,,0.0
soft_delay_priority,S001-WAT-04,饮用水,12,3600,,1182.8980887587327,,0.0
soft_delay_priority,S001-WAT-05,饮用水,12,3600,,1182.8980887587327,,0.0
soft_delay_priority,S001-WAT-06,饮用水,12,3600,,1182.8980887587327,,0.0
soft_delay_priority,S001-WAT-07,饮用水,12,3600,,1182.8980887587327,,0.0
soft_delay_priority,S001-WAT-08,饮用水,12,3600,,1182.8980887587327,,0.0
soft_delay_priority,S002-FOD-01,应急食品,10,7200,,2986.376998156692,,0.0
soft_delay_priority,S002-FOD-02,应急食品,10,7200,,2986.376998156692,,0.0
soft_delay_priority,S002-HYG-01,生活卫生用品,8,10800,,2986.376998156692,,0.0
soft_delay_priority,S002-MED-01,医疗物资,24,3600,3600,1557.8743471608939,2042.1256528391061,
soft_delay_priority,S002-WAT-01,饮用水,12,3600,3600,1557.8743471608939,2042.1256528391061,
soft_delay_priority,S002-WAT-02,饮用水,12,3600,,2986.376998156692,,0.0
soft_delay_priority,S002-WAT-03,饮用水,12,3600,,2986.376998156692,,0.0
soft_delay_priority,S002-WAT-04,饮用水,12,3600,,2986.376998156692,,0.0
soft_delay_priority,S003-FOD-01,应急食品,8,10800,,5255.872579224742,,0.0
soft_delay_priority,S003-FOD-02,应急食品,8,10800,,5255.872579224742,,0.0
soft_delay_priority,S003-HYG-01,生活卫生用品,6,14400,,5255.872579224742,,0.0
soft_delay_priority,S003-MED-01,医疗物资,20,7200,7200,2602.647043281937,4597.352956718063,
soft_delay_priority,S003-WAT-01,饮用水,10,7200,7200,6618.259412613503,581.7405873864973,
soft_delay_priority,S003-WAT-02,饮用水,10,7200,,5255.872579224742,,0.0
soft_delay_priority,S003-WAT-03,饮用水,10,7200,,5255.872579224742,,0.0
soft_delay_priority,S003-WAT-04,饮用水,10,7200,,5255.872579224742,,0.0
soft_delay_priority,S004-FOD-01,应急食品,8,10800,,5353.586092911667,,0.0
soft_delay_priority,S004-HYG-01,生活卫生用品,6,14400,,5353.586092911667,,0.0
soft_delay_priority,S004-MED-01,医疗物资,20,7200,7200,3504.265455912742,3695.734544087258,
soft_delay_priority,S004-WAT-01,饮用水,10,7200,7200,3504.265455912742,3695.734544087258,
soft_delay_priority,S004-WAT-02,饮用水,10,7200,,5353.586092911667,,0.0
soft_delay_priority,S004-WAT-03,饮用水,10,7200,,5353.586092911667,,0.0
soft_delay_priority,S005-FOD-01,应急食品,6,14400,,4902.211829644302,,0.0
soft_delay_priority,S005-HYG-01,生活卫生用品,4,18000,,4590.5192044546,,0.0
soft_delay_priority,S005-MED-01,医疗物资,16,10800,10800,3412.0956778372906,7387.904322162709,
soft_delay_priority,S005-WAT-01,饮用水,8,10800,10800,3412.0956778372906,7387.904322162709,
soft_delay_priority,S005-WAT-02,饮用水,8,10800,,4902.211829644302,,0.0
soft_delay_priority,S005-WAT-03,饮用水,8,10800,,4590.5192044546,,0.0
soft_delay_priority,S006-FOD-01,应急食品,10,7200,,2664.5887189564614,,0.0
soft_delay_priority,S006-HYG-01,生活卫生用品,8,10800,,2664.5887189564614,,0.0
soft_delay_priority,S006-MED-01,医疗物资,24,3600,3600,883.7532919679674,2716.2467080320325,
soft_delay_priority,S006-WAT-01,饮用水,12,3600,3600,883.7532919679674,2716.2467080320325,
soft_delay_priority,S006-WAT-02,饮用水,12,3600,,2664.5887189564614,,0.0
soft_delay_priority,S006-WAT-03,饮用水,12,3600,,2664.5887189564614,,0.0
soft_delay_priority,S007-FOD-01,应急食品,10,7200,,3349.371857352493,,0.0
soft_delay_priority,S007-HYG-01,生活卫生用品,8,10800,,3349.371857352493,,0.0
soft_delay_priority,S007-MED-01,医疗物资,24,3600,3600,2446.3316951724582,1153.6683048275418,
soft_delay_priority,S007-WAT-01,饮用水,12,3600,3600,2446.3316951724582,1153.6683048275418,
soft_delay_priority,S007-WAT-02,饮用水,12,3600,,3349.371857352493,,0.0
soft_delay_priority,S008-FOD-01,应急食品,8,10800,,4606.50819270126,,0.0
soft_delay_priority,S008-HYG-01,生活卫生用品,6,14400,,6504.549464188254,,0.0
soft_delay_priority,S008-MED-01,医疗物资,20,7200,7200,4606.50819270126,2593.4918072987402,
soft_delay_priority,S008-WAT-01,饮用水,10,7200,7200,4606.50819270126,2593.4918072987402,
soft_delay_priority,S008-WAT-02,饮用水,10,7200,,6504.549464188254,,0.0
soft_delay_priority,S009-FOD-01,应急食品,6,14400,,6534.691458431342,,0.0
soft_delay_priority,S009-MED-01,医疗物资,16,10800,10800,1127.3572431194746,9672.642756880525,
soft_delay_priority,S009-WAT-01,饮用水,8,10800,10800,5140.890457791007,5659.109542208993,
soft_delay_priority,S010-FOD-01,应急食品,10,7200,,3078.5013526848325,,0.0
soft_delay_priority,S010-MED-01,医疗物资,24,3600,3600,2264.8022634997756,1335.1977365002244,
soft_delay_priority,S010-WAT-01,饮用水,12,3600,3600,2264.8022634997756,1335.1977365002244,
soft_delay_priority,S011-FOD-01,应急食品,6,14400,,6543.717494884991,,0.0
soft_delay_priority,S011-MED-01,医疗物资,16,10800,10800,893.9542734339071,9906.045726566093,
soft_delay_priority,S011-WAT-01,饮用水,8,10800,10800,893.9542734339071,9906.045726566093,
soft_delay_priority,S012-FOD-01,应急食品,10,7200,,5046.881614060195,,0.0
soft_delay_priority,S012-MED-01,医疗物资,22,7200,3600,1345.2495443797914,2254.7504556202084,
soft_delay_priority,S012-WAT-01,饮用水,12,3600,3600,1345.2495443797914,2254.7504556202084,
soft_delay_priority,S013-FOD-01,应急食品,10,7200,,4537.2537850514345,,0.0
soft_delay_priority,S013-MED-01,医疗物资,24,3600,3600,998.0180296134231,2601.981970386577,
soft_delay_priority,S013-WAT-01,饮用水,12,3600,3600,998.0180296134231,2601.981970386577,
soft_delay_priority,S014-FOD-01,应急食品,10,7200,,2702.548111879978,,0.0
soft_delay_priority,S014-MED-01,医疗物资,22,7200,3600,2640.79550430463,959.20449569537,
soft_delay_priority,S014-WAT-01,饮用水,12,3600,3600,2640.79550430463,959.20449569537,
soft_delay_priority,S015-FOD-01,应急食品,6,14400,,6290.957311472965,,0.0
soft_delay_priority,S015-MED-01,医疗物资,18,7200,7200,3059.911187154993,4140.088812845007,
soft_delay_priority,S015-WAT-01,饮用水,8,10800,10800,6195.501206239016,4604.498793760984,
original_main,S001-FOD-01,应急食品,10,7200,,1182.8980887587327,,0.0
original_main,S001-FOD-02,应急食品,10,7200,,1182.8980887587327,,0.0
original_main,S001-FOD-03,应急食品,10,7200,,1182.8980887587327,,0.0
original_main,S001-HYG-01,生活卫生用品,8,10800,,3587.4959716690137,,0.0
original_main,S001-HYG-02,生活卫生用品,8,10800,,3587.4959716690137,,0.0
original_main,S001-MED-01,医疗物资,24,3600,3600,969.3587719896758,2630.641228010324,
original_main,S001-MED-02,医疗物资,24,3600,3600,969.3587719896758,2630.641228010324,
original_main,S001-WAT-01,饮用水,12,3600,3600,969.3587719896758,2630.641228010324,
original_main,S001-WAT-02,饮用水,12,3600,,3587.4959716690137,,0.0
original_main,S001-WAT-03,饮用水,12,3600,,3587.4959716690137,,0.0
original_main,S001-WAT-04,饮用水,12,3600,,3587.4959716690137,,0.0
original_main,S001-WAT-05,饮用水,12,3600,,3587.4959716690137,,0.0
original_main,S001-WAT-06,饮用水,12,3600,,1182.8980887587327,,0.0
original_main,S001-WAT-07,饮用水,12,3600,,1182.8980887587327,,0.0
original_main,S001-WAT-08,饮用水,12,3600,,1182.8980887587327,,0.0
original_main,S002-FOD-01,应急食品,10,7200,,2986.376998156692,,0.0
original_main,S002-FOD-02,应急食品,10,7200,,2986.376998156692,,0.0
original_main,S002-HYG-01,生活卫生用品,8,10800,,2986.376998156692,,0.0
original_main,S002-MED-01,医疗物资,24,3600,3600,1557.8743471608939,2042.1256528391061,
original_main,S002-WAT-01,饮用水,12,3600,3600,1557.8743471608939,2042.1256528391061,
original_main,S002-WAT-02,饮用水,12,3600,,2986.376998156692,,0.0
