scheme,model,available_aircraft,used_aircraft,peak_simultaneous_aircraft,sorties,delivered_kg,average_kg_per_sortie,energy_kwh,occupied_hours,aircraft_occupancy_pct
original_main,A,4,4,4,14,207.0,14.785714285714286,31.662568594535685,7.073534552578526,84.22618853594327
original_main,B,2,2,2,8,177.0,22.125,18.00274894428116,4.034375069428744,96.07644741016973
original_main,C,2,2,2,6,374.0,62.333333333333336,27.394141477573605,3.3665348514025433,80.17219595080405
zero_delay_efficient,A,4,4,4,12,177.0,14.75,27.29663946622031,6.149286610659799,73.4805038873159
zero_delay_efficient,B,2,2,2,8,165.0,20.625,17.908785828081264,4.012640178374022,95.89757020409097
zero_delay_efficient,C,2,2,2,7,416.0,59.42857142857143,31.196073649408298,3.8521028071347128,92.0609082696934
delivery_priority,A,4,4,4,11,172.0,15.636363636363637,22.96104935299144,5.195773026100353,61.289539483478684
delivery_priority,B,2,2,2,7,170.0,24.285714285714285,18.877589881315114,3.955341628963323,93.31472553601586
delivery_priority,C,2,2,2,7,416.0,59.42857142857143,31.371368174351172,3.8521028071347136,90.87910726904879
energy_guarded,A,4,4,4,8,118.0,14.75,15.423226188020783,3.611005197114973,34.77622380590053
energy_guarded,B,2,2,2,6,145.0,24.166666666666668,13.466899923259232,3.0051558699915577,57.88303666244468
energy_guarded,C,2,2,2,9,495.0,55.0,39.03882258970545,4.8311012458965426,93.0530137649723
energy_guarded_timely,A,4,4,4,8,130.0,16.25,14.825534876939265,3.5328436438203643,33.90670270115697
energy_guarded_timely,B,2,2,2,6,133.0,22.166666666666668,13.903647363685177,3.067437551004342,58.87987331576213
energy_guarded_timely,C,2,2,2,9,495.0,55.0,39.03882258970545,4.8311012458965426,92.73363340057982
alns_zero_delay_efficient,A,4,4,4,11,177.0,16.09090909090909,25.774848790888175,5.732630323205067,68.50169644371441
alns_zero_delay_efficient,B,2,2,2,7,165.0,23.571428571428573,17.365713240231962,3.841511228439107,91.80778149620193
alns_zero_delay_efficient,C,2,2,2,7,416.0,59.42857142857143,31.196073649408298,3.8521028071347128,92.0609082696934
refined_main,A,4,4,4,14,207.0,14.785714285714286,31.662568594535685,7.073534552578526,86.60991501688764
refined_main,B,2,2,2,8,177.0,22.125,18.00274894428116,4.034375069428744,98.79555385280482
refined_main,C,2,2,2,6,374.0,62.333333333333336,27.394141477573605,3.3665348514025433,82.44118840843898
refined_energy,A,4,4,4,10,155.0,15.5,24.024709067761297,5.372878360722735,64.20286356254282
refined_energy,B,2,2,2,8,187.0,23.375,18.876190694576145,4.160801341221919,99.43845473002006
refined_energy,C,2,2,2,7,416.0,59.42857142857143,31.196073649408298,3.8521028071347128,92.0609082696934
