scheme,sortie,model,resource_type,resource_id,activity,start_s,end_s
soft_delay_priority,T002,C,aircraft,U07,flight,0.0,1495.4261775174655
soft_delay_priority,T002,C,battery,C03,flight,0.0,1495.4261775174655
soft_delay_priority,T002,C,battery,C03,charging,1495.4261775174655,3038.637095537719
soft_delay_priority,T004,B,aircraft,U05,flight,0.0,1209.979917269268
soft_delay_priority,T004,B,battery,B04,flight,0.0,1209.979917269268
soft_delay_priority,T004,B,battery,B04,charging,1209.979917269268,2352.630298205151
soft_delay_priority,T005,B,aircraft,U06,flight,0.0,1440.9693925601796
soft_delay_priority,T005,B,battery,B03,flight,0.0,1440.9693925601796
soft_delay_priority,T005,B,battery,B03,charging,1440.9693925601796,2815.1225058287064
soft_delay_priority,T006,C,aircraft,U08,flight,0.0,1495.4261775174655
soft_delay_priority,T006,C,battery,C02,flight,0.0,1495.4261775174655
soft_delay_priority,T006,C,battery,C02,charging,1495.4261775174655,3052.6165531873967
soft_delay_priority,T009,A,aircraft,U02,flight,0.0,2281.4599588363917
soft_delay_priority,T009,A,battery,A06,flight,0.0,2281.4599588363917
soft_delay_priority,T009,A,battery,A06,charging,2281.4599588363917,3649.403580614774
soft_delay_priority,T012,A,aircraft,U01,flight,0.0,2130.6390887595826
soft_delay_priority,T012,A,battery,A03,flight,0.0,2130.6390887595826
soft_delay_priority,T012,A,battery,A03,charging,2130.6390887595826,3488.424083728015
soft_delay_priority,T013,A,aircraft,U03,flight,0.0,1312.470877312685
soft_delay_priority,T013,A,battery,A01,flight,0.0,1312.470877312685
soft_delay_priority,T013,A,battery,A01,charging,1312.470877312685,2178.7887122874713
soft_delay_priority,T019,A,aircraft,U04,flight,0.0,1223.5352135344808
soft_delay_priority,T019,A,battery,A05,flight,0.0,1223.5352135344808
soft_delay_priority,T019,A,battery,A05,charging,1223.5352135344808,2057.343520412671
soft_delay_priority,T008,B,aircraft,U05,flight,1209.979917269268,3317.260890291095
soft_delay_priority,T008,B,battery,B02,flight,1209.979917269268,3317.260890291095
soft_delay_priority,T008,B,battery,B02,charging,3317.260890291095,4965.759383785937
