scheme,boxes,hard_on_time,hard_total,first_on_time,first_total,medical_on_time,medical_total,min_hard_slack_seconds,min_first_slack_seconds,min_medical_slack_seconds,weighted_soft_delay_seconds,max_soft_lateness_seconds,weighted_delivery_seconds,p90_box_delivery_seconds,latest_box_delivery_seconds,latest_zone_completion_seconds,makespan_seconds,energy_kwh,energy_kwh_per_delivered_kg,sorties,multi_zone_sorties,sorties_A,sorties_B,sorties_C,used_aircraft_A,used_aircraft_B,used_aircraft_C,peak_simultaneous_aircraft,max_sorties_per_drone,min_return_soc_pct,dominates_28_earliest,pareto_efficient_5_metrics,source_file
research_24__s006_food_to_j002_weighted_plan,80,31,31,30,30,16,16,85.56745076378502,85.56745076378502,85.56745076378502,0,0,2566956.6130721723,5353.586092911667,5609.160014900128,5609.160014900128,6085.915520439389,69.79428389117717,0.09207689167701474,24,7,11,7,6,4,2,2,8,4,23.15287938579167,True,True,results_q2_time\research_24\s006_food_to_j002_weighted_plan.json
tail_repack_24_early__dominance_plan,80,31,31,30,30,16,16,75.96174333273757,75.96174333273757,85.56745076378502,0,0,2633149.4735783963,5353.586092911667,5609.160014900128,5609.160014900128,6085.915520439389,69.79428389117717,0.09207689167701474,24,7,11,7,6,4,2,2,8,4,23.15287938579167,True,False,results_q2_time\tail_repack_24_early\dominance_plan.json
research_24__s006_food_to_j002_plan,80,31,31,30,30,16,16,85.56745076378502,85.56745076378502,85.56745076378502,0,0,2727542.4792099413,5332.078138159943,5609.160014900128,5609.160014900128,6085.915520439389,69.79428389117717,0.09207689167701474,24,7,11,7,6,4,2,2,8,4,23.15287938579167,False,False,results_q2_time\research_24\s006_food_to_j002_plan.json
tail_repack_24_early__fastest_plan,80,31,31,30,30,16,16,75.96174333273757,75.96174333273757,85.56745076378502,0,0,2766236.7265793458,5353.586092911667,5609.160014900128,5609.160014900128,6085.915520439389,69.79428389117717,0.09207689167701474,24,7,11,7,6,4,2,2,8,4,23.15287938579167,False,False,results_q2_time\tail_repack_24_early\fastest_plan.json
tail_repack_24_time__dominance_plan,80,31,31,30,30,16,16,145.56745076378502,145.56745076378502,145.56745076378502,0,0,2644687.640263594,5419.586092911667,5549.160014900128,5549.160014900128,6139.208125395588,69.87903837872776,0.09218870498512896,24,7,11,7,6,4,2,2,8,4,23.15287938579167,True,False,results_q2_time\tail_repack_24_time\dominance_plan.json
research_24__med_to_j015_plan,80,31,31,30,30,16,16,292.89291523372276,292.89291523372276,390.5312099169978,0,0,2722178.874913066,5400.297703577688,5443.809248453817,5443.809248453817,6139.208125395588,69.9006368859487,0.09221719905797982,24,7,11,7,6,4,2,2,8,4,23.15287938579167,False,False,results_q2_time\research_24\med_to_j015_plan.json
tail_repack_24_time__fastest_plan,80,31,31,30,30,16,16,292.89291523372276,292.89291523372276,329.68401711955994,0,0,2792958.492678505,5402.750217625761,5443.809248453817,5443.809248453817,6139.208125395588,69.87903837872776,0.09218870498512896,24,7,11,7,6,4,2,2,8,4,23.15287938579167,False,False,results_q2_time\tail_repack_24_time\fastest_plan.json
research_24__s011_merge_weighted_plan,80,31,31,30,30,16,16,292.89291523372276,292.89291523372276,1150.1249677232381,0,0,2583162.9796543024,5400.297703577688,5485.586092911667,5485.586092911667,6205.208125395588,69.02608569927966,0.09106343759799428,24,6,11,7,6,4,2,2,8,4,22.78861572025447,True,True,results_q2_time\research_24\s011_merge_weighted_plan.json
tail_repack_25__weighted_same_finish__plan,80,31,31,30,30,16,16,270.7768049671786,270.7768049671786,1208.6994213638955,0,0,2608359.3532615486,5469.439198249962,5823.695414869541,5823.695414869541,6205.208125395588,69.91030074978733,0.09222994821871679,25,6,13,6,6,4,2,2,8,4,22.78861572025447,True,False,results_q2_time\tail_repack_25\weighted_same_finish\plan.json
tail_repack_25__dominance_plan,80,31,31,30,30,16,16,326.43396928531456,326.43396928531456,326.43396928531456,0,0,2654488.717084928,5466.160722368537,5695.75050052203,5695.75050052203,6205.208125395588,69.91030074978733,0.09222994821871679,25,6,13,6,6,4,2,2,8,4,22.78861572025447,True,False,results_q2_time\tail_repack_25\dominance_plan.json
