box,zone,kind,desired_s,hard_deadline_s,delivered_s,hard_slack_s,soft_lateness_s
S001-FOD-01,S001,应急食品,7200,,1182.8980887587327,,0
S001-FOD-02,S001,应急食品,7200,,1182.8980887587327,,0
S001-FOD-03,S001,应急食品,7200,,1182.8980887587327,,0
S001-HYG-01,S001,生活卫生用品,10800,,1182.8980887587327,,0
S001-HYG-02,S001,生活卫生用品,10800,,1182.8980887587327,,0
S001-MED-01,S001,医疗物资,3600,3600,969.3587719896758,2630.641228010324,
S001-MED-02,S001,医疗物资,3600,3600,969.3587719896758,2630.641228010324,
S001-WAT-01,S001,饮用水,3600,3600,969.3587719896758,2630.641228010324,
S001-WAT-02,S001,饮用水,3600,,1182.8980887587327,,0
S001-WAT-03,S001,饮用水,3600,,1182.8980887587327,,0
S001-WAT-04,S001,饮用水,3600,,1182.8980887587327,,0
S001-WAT-05,S001,饮用水,3600,,1182.8980887587327,,0
S001-WAT-06,S001,饮用水,3600,,1182.8980887587327,,0
S001-WAT-07,S001,饮用水,3600,,1182.8980887587327,,0
S001-WAT-08,S001,饮用水,3600,,1182.8980887587327,,0
S002-FOD-01,S002,应急食品,7200,,2986.376998156692,,0
S002-FOD-02,S002,应急食品,7200,,2986.376998156692,,0
S002-HYG-01,S002,生活卫生用品,10800,,2986.376998156692,,0
S002-MED-01,S002,医疗物资,3600,3600,1557.8743471608939,2042.1256528391061,
S002-WAT-01,S002,饮用水,3600,3600,1557.8743471608939,2042.1256528391061,
S002-WAT-02,S002,饮用水,3600,,2986.376998156692,,0
S002-WAT-03,S002,饮用水,3600,,2986.376998156692,,0
S002-WAT-04,S002,饮用水,3600,,2986.376998156692,,0
S003-FOD-01,S003,应急食品,10800,,5255.872579224742,,0
S003-FOD-02,S003,应急食品,10800,,5255.872579224742,,0
S003-HYG-01,S003,生活卫生用品,14400,,5255.872579224742,,0
S003-MED-01,S003,医疗物资,7200,7200,1439.111829747456,5760.888170252544,
S003-WAT-01,S003,饮用水,7200,7200,1439.111829747456,5760.888170252544,
S003-WAT-02,S003,饮用水,7200,,5255.872579224742,,0
S003-WAT-03,S003,饮用水,7200,,5255.872579224742,,0
S003-WAT-04,S003,饮用水,7200,,5255.872579224742,,0
S004-FOD-01,S004,应急食品,10800,,5353.586092911667,,0
S004-HYG-01,S004,生活卫生用品,14400,,5353.586092911667,,0
S004-MED-01,S004,医疗物资,7200,7200,3952.0763399570833,3247.9236600429167,
S004-WAT-01,S004,饮用水,7200,7200,5353.586092911667,1846.413907088333,
S004-WAT-02,S004,饮用水,7200,,5353.586092911667,,0
S004-WAT-03,S004,饮用水,7200,,5353.586092911667,,0
S005-FOD-01,S005,应急食品,14400,,5489.2301029367045,,0
S005-HYG-01,S005,生活卫生用品,18000,,5609.160014900128,,0
S005-MED-01,S005,医疗物资,10800,10800,3442.0956778372906,7357.904322162709,
S005-WAT-01,S005,饮用水,10800,10800,3442.0956778372906,7357.904322162709,
S005-WAT-02,S005,饮用水,10800,,5489.2301029367045,,0
S005-WAT-03,S005,饮用水,10800,,5609.160014900128,,0
S006-FOD-01,S006,应急食品,7200,,2133.3835777044064,,0
S006-HYG-01,S006,生活卫生用品,10800,,2598.5887189564614,,0
S006-MED-01,S006,医疗物资,3600,3600,2133.3835777044064,1466.6164222955936,
S006-WAT-01,S006,饮用水,3600,3600,2133.3835777044064,1466.6164222955936,
S006-WAT-02,S006,饮用水,3600,,2598.5887189564614,,0
S006-WAT-03,S006,饮用水,3600,,2598.5887189564614,,0
S007-FOD-01,S007,应急食品,7200,,3283.371857352493,,0
S007-HYG-01,S007,生活卫生用品,10800,,3283.371857352493,,0
S007-MED-01,S007,医疗物资,3600,3600,2446.3316951724582,1153.6683048275418,
S007-WAT-01,S007,饮用水,3600,3600,2446.3316951724582,1153.6683048275418,
S007-WAT-02,S007,饮用水,3600,,3283.371857352493,,0
S008-FOD-01,S008,应急食品,10800,,3396.528275431991,,0
S008-HYG-01,S008,生活卫生用品,14400,,5294.569546918986,,0
S008-MED-01,S008,医疗物资,7200,7200,3396.528275431991,3803.471724568009,
S008-WAT-01,S008,饮用水,7200,7200,3396.528275431991,3803.471724568009,
S008-WAT-02,S008,饮用水,7200,,5294.569546918986,,0
S009-FOD-01,S009,应急食品,14400,,3794.417140816331,,0
S009-MED-01,S009,医疗物资,10800,10800,1127.3572431194746,9672.642756880525,
S009-WAT-01,S009,饮用水,10800,10800,3794.417140816331,7005.582859183669,
S010-FOD-01,S010,应急食品,7200,,1637.5319601246529,,0
S010-MED-01,S010,医疗物资,3600,3600,3514.432549236215,85.56745076378502,
S010-WAT-01,S010,饮用水,3600,3600,3514.432549236215,85.56745076378502,
S011-FOD-01,S011,应急食品,14400,,907.0018095348861,,0
S011-MED-01,S011,医疗物资,10800,10800,907.0018095348861,9892.998190465114,
S011-WAT-01,S011,饮用水,10800,10800,907.0018095348861,9892.998190465114,
S012-FOD-01,S012,应急食品,7200,,5207.861110946954,,0
S012-MED-01,S012,医疗物资,7200,3600,2947.8422803599638,652.1577196400362,
S012-WAT-01,S012,饮用水,3600,3600,2947.8422803599638,652.1577196400362,
S013-FOD-01,S013,应急食品,7200,,4698.233281938194,,0
S013-MED-01,S013,医疗物资,3600,3600,1078.8297013234196,2521.1702986765804,
S013-WAT-01,S013,饮用水,3600,3600,1078.8297013234196,2521.1702986765804,
S014-FOD-01,S014,应急食品,7200,,3952.178397616417,,0
S014-MED-01,S014,医疗物资,7200,3600,1199.8261117444504,2400.1738882555496,
S014-WAT-01,S014,饮用水,3600,3600,1199.8261117444504,2400.1738882555496,
S015-FOD-01,S015,应急食品,14400,,5319.849283680923,,0
S015-MED-01,S015,医疗物资,7200,7200,1896.375973620512,5303.624026379488,
S015-WAT-01,S015,饮用水,10800,10800,5319.849283680923,5480.150716319077,
