box,zone,kind,desired_s,hard_deadline_s,delivered_s,hard_slack_s,soft_lateness_s
S001-FOD-01,S001,应急食品,7200,,1248.8980887587327,,0
S001-FOD-02,S001,应急食品,7200,,1248.8980887587327,,0
S001-FOD-03,S001,应急食品,7200,,1248.8980887587327,,0
S001-HYG-01,S001,生活卫生用品,10800,,1248.8980887587327,,0
S001-HYG-02,S001,生活卫生用品,10800,,1116.8980887587327,,0
S001-MED-01,S001,医疗物资,3600,3600,969.3587719896758,2630.641228010324,
S001-MED-02,S001,医疗物资,3600,3600,969.3587719896758,2630.641228010324,
S001-WAT-01,S001,饮用水,3600,3600,969.3587719896758,2630.641228010324,
S001-WAT-02,S001,饮用水,3600,,1116.8980887587327,,0
S001-WAT-03,S001,饮用水,3600,,1116.8980887587327,,0
S001-WAT-04,S001,饮用水,3600,,1116.8980887587327,,0
S001-WAT-05,S001,饮用水,3600,,1116.8980887587327,,0
S001-WAT-06,S001,饮用水,3600,,1248.8980887587327,,0
S001-WAT-07,S001,饮用水,3600,,1248.8980887587327,,0
S001-WAT-08,S001,饮用水,3600,,1248.8980887587327,,0
S002-FOD-01,S002,应急食品,7200,,3052.376998156692,,0
S002-FOD-02,S002,应急食品,7200,,3052.376998156692,,0
S002-HYG-01,S002,生活卫生用品,10800,,3052.376998156692,,0
S002-MED-01,S002,医疗物资,3600,3600,1557.8743471608939,2042.1256528391061,
S002-WAT-01,S002,饮用水,3600,3600,1557.8743471608939,2042.1256528391061,
S002-WAT-02,S002,饮用水,3600,,3052.376998156692,,0
S002-WAT-03,S002,饮用水,3600,,3052.376998156692,,0
S002-WAT-04,S002,饮用水,3600,,3052.376998156692,,0
S003-FOD-01,S003,应急食品,10800,,5321.872579224742,,0
S003-FOD-02,S003,应急食品,10800,,5321.872579224742,,0
S003-HYG-01,S003,生活卫生用品,14400,,5321.872579224742,,0
S003-MED-01,S003,医疗物资,7200,7200,2751.582707060141,4448.417292939859,
S003-WAT-01,S003,饮用水,7200,7200,2751.582707060141,4448.417292939859,
S003-WAT-02,S003,饮用水,7200,,5321.872579224742,,0
S003-WAT-03,S003,饮用水,7200,,5321.872579224742,,0
S003-WAT-04,S003,饮用水,7200,,5321.872579224742,,0
S004-FOD-01,S004,应急食品,10800,,5353.586092911667,,0
S004-HYG-01,S004,生活卫生用品,14400,,5353.586092911667,,0
S004-MED-01,S004,医疗物资,7200,7200,3801.255469880274,3398.744530119726,
S004-WAT-01,S004,饮用水,7200,7200,5353.586092911667,1846.413907088333,
S004-WAT-02,S004,饮用水,7200,,5353.586092911667,,0
S004-WAT-03,S004,饮用水,7200,,5353.586092911667,,0
S005-FOD-01,S005,应急食品,14400,,3412.0956778372906,,0
S005-HYG-01,S005,生活卫生用品,18000,,5467.302111584029,,0
S005-MED-01,S005,医疗物资,10800,10800,3291.2748077604815,7508.725192239519,
S005-WAT-01,S005,饮用水,10800,10800,3291.2748077604815,7508.725192239519,
S005-WAT-02,S005,饮用水,10800,,3412.0956778372906,,0
S005-WAT-03,S005,饮用水,10800,,5467.302111584029,,0
S006-FOD-01,S006,应急食品,7200,,943.7532919679674,,0
S006-HYG-01,S006,生活卫生用品,10800,,2562.5887189564614,,0
S006-MED-01,S006,医疗物资,3600,3600,943.7532919679674,2656.2467080320325,
S006-WAT-01,S006,饮用水,3600,3600,943.7532919679674,2656.2467080320325,
S006-WAT-02,S006,饮用水,3600,,2562.5887189564614,,0
S006-WAT-03,S006,饮用水,3600,,2562.5887189564614,,0
S007-FOD-01,S007,应急食品,7200,,3283.371857352493,,0
S007-HYG-01,S007,生活卫生用品,10800,,3283.371857352493,,0
S007-MED-01,S007,医疗物资,3600,3600,2019.547372825075,1580.452627174925,
S007-WAT-01,S007,饮用水,3600,3600,3283.371857352493,316.62814264750705,
S007-WAT-02,S007,饮用水,3600,,3283.371857352493,,0
S008-FOD-01,S008,应急食品,10800,,3756.2393036346048,,0
S008-HYG-01,S008,生活卫生用品,14400,,4628.357551693413,,0
S008-MED-01,S008,医疗物资,7200,7200,3756.2393036346048,3443.7606963653952,
S008-WAT-01,S008,饮用水,7200,7200,3756.2393036346048,3443.7606963653952,
S008-WAT-02,S008,饮用水,7200,,4628.357551693413,,0
