box,zone,kind,desired_s,hard_deadline_s,delivered_s,hard_slack_s,soft_lateness_s
S001-FOD-01,S001,应急食品,7200,,1182.8980887587327,,0
S001-FOD-02,S001,应急食品,7200,,1182.8980887587327,,0
S001-FOD-03,S001,应急食品,7200,,1182.8980887587327,,0
S001-HYG-01,S001,生活卫生用品,10800,,5662.162005633742,,0
S001-HYG-02,S001,生活卫生用品,10800,,1116.8980887587327,,0
S001-MED-01,S001,医疗物资,3600,3600,969.3587719896758,2630.641228010324,
S001-MED-02,S001,医疗物资,3600,3600,969.3587719896758,2630.641228010324,
S001-WAT-01,S001,饮用水,3600,3600,969.3587719896758,2630.641228010324,
S001-WAT-02,S001,饮用水,3600,,1116.8980887587327,,0
S001-WAT-03,S001,饮用水,3600,,1116.8980887587327,,0
S001-WAT-04,S001,饮用水,3600,,1116.8980887587327,,0
S001-WAT-05,S001,饮用水,3600,,1116.8980887587327,,0
S001-WAT-06,S001,饮用水,3600,,1182.8980887587327,,0
S001-WAT-07,S001,饮用水,3600,,1182.8980887587327,,0
S001-WAT-08,S001,饮用水,3600,,1182.8980887587327,,0
S002-FOD-01,S002,应急食品,7200,,2986.376998156692,,0
S002-FOD-02,S002,应急食品,7200,,2986.376998156692,,0
S002-HYG-01,S002,生活卫生用品,10800,,2986.376998156692,,0
S002-MED-01,S002,医疗物资,3600,3600,1557.8743471608939,2042.1256528391061,
S002-WAT-01,S002,饮用水,3600,3600,1557.8743471608939,2042.1256528391061,
S002-WAT-02,S002,饮用水,3600,,2986.376998156692,,0
S002-WAT-03,S002,饮用水,3600,,2986.376998156692,,0
S002-WAT-04,S002,饮用水,3600,,2986.376998156692,,0
S003-FOD-01,S003,应急食品,10800,,5255.872579224742,,0
S003-FOD-02,S003,应急食品,10800,,5255.872579224742,,0
S003-HYG-01,S003,生活卫生用品,14400,,5255.872579224742,,0
S003-MED-01,S003,医疗物资,7200,7200,3617.9005420349276,3582.0994579650724,
S003-WAT-01,S003,饮用水,7200,7200,3617.9005420349276,3582.0994579650724,
S003-WAT-02,S003,饮用水,7200,,5255.872579224742,,0
S003-WAT-03,S003,饮用水,7200,,5255.872579224742,,0
S003-WAT-04,S003,饮用水,7200,,5255.872579224742,,0
S004-FOD-01,S004,应急食品,10800,,5287.586092911667,,0
S004-HYG-01,S004,生活卫生用品,14400,,5287.586092911667,,0
S004-MED-01,S004,医疗物资,7200,7200,5159.0404648487065,2040.9595351512935,
S004-WAT-01,S004,饮用水,7200,7200,5287.586092911667,1912.413907088333,
S004-WAT-02,S004,饮用水,7200,,5287.586092911667,,0
S004-WAT-03,S004,饮用水,7200,,5287.586092911667,,0
S005-FOD-01,S005,应急食品,14400,,5489.2301029367045,,0
S005-HYG-01,S005,生活卫生用品,18000,,5467.302111584029,,0
S005-MED-01,S005,医疗物资,10800,10800,4649.059802728914,6150.940197271086,
S005-WAT-01,S005,饮用水,10800,10800,4649.059802728914,6150.940197271086,
S005-WAT-02,S005,饮用水,10800,,5489.2301029367045,,0
S005-WAT-03,S005,饮用水,10800,,5467.302111584029,,0
S006-FOD-01,S006,应急食品,7200,,943.7532919679674,,0
S006-HYG-01,S006,生活卫生用品,10800,,2532.5887189564614,,0
S006-MED-01,S006,医疗物资,3600,3600,943.7532919679674,2656.2467080320325,
S006-WAT-01,S006,饮用水,3600,3600,943.7532919679674,2656.2467080320325,
S006-WAT-02,S006,饮用水,3600,,2532.5887189564614,,0
S006-WAT-03,S006,饮用水,3600,,2532.5887189564614,,0
S007-FOD-01,S007,应急食品,7200,,3217.371857352493,,0
S007-HYG-01,S007,生活卫生用品,10800,,3217.371857352493,,0
S007-MED-01,S007,医疗物资,3600,3600,2446.3316951724582,1153.6683048275418,
S007-WAT-01,S007,饮用水,3600,3600,2446.3316951724582,1153.6683048275418,
S007-WAT-02,S007,饮用水,3600,,3217.371857352493,,0
S008-FOD-01,S008,应急食品,10800,,3756.2393036346048,,0
S008-HYG-01,S008,生活卫生用品,14400,,4628.357551693413,,0
S008-MED-01,S008,医疗物资,7200,7200,3756.2393036346048,3443.7606963653952,
S008-WAT-01,S008,饮用水,7200,7200,3756.2393036346048,3443.7606963653952,
S008-WAT-02,S008,饮用水,7200,,4628.357551693413,,0
S009-FOD-01,S009,应急食品,14400,,3794.417140816331,,0
S009-MED-01,S009,医疗物资,10800,10800,1127.3572431194746,9672.642756880525,
S009-WAT-01,S009,饮用水,10800,10800,3794.417140816331,7005.582859183669,
S010-FOD-01,S010,应急食品,7200,,1084.8223462305075,,0
S010-MED-01,S010,医疗物资,3600,3600,1084.8223462305075,2515.1776537694923,
S010-WAT-01,S010,饮用水,3600,3600,1084.8223462305075,2515.1776537694923,
S011-FOD-01,S011,应急食品,14400,,2176.9817268041543,,0
S011-MED-01,S011,医疗物资,10800,10800,2176.9817268041543,8623.018273195845,
S011-WAT-01,S011,饮用水,10800,10800,2176.9817268041543,8623.018273195845,
S012-FOD-01,S012,应急食品,7200,,5207.861110946954,,0
S012-MED-01,S012,医疗物资,7200,3600,1345.2495443797914,2254.7504556202084,
S012-WAT-01,S012,饮用水,3600,3600,1345.2495443797914,2254.7504556202084,
S013-FOD-01,S013,应急食品,7200,,4698.233281938194,,0
S013-MED-01,S013,医疗物资,3600,3600,1078.8297013234196,2521.1702986765804,
S013-WAT-01,S013,饮用水,3600,3600,1078.8297013234196,2521.1702986765804,
S014-FOD-01,S014,应急食品,7200,,2784.397470872132,,0
S014-MED-01,S014,医疗物资,7200,3600,2784.397470872132,815.6025291278679,
S014-WAT-01,S014,饮用水,3600,3600,2784.397470872132,815.6025291278679,
S015-FOD-01,S015,应急食品,14400,,2861.137659468582,,0
S015-MED-01,S015,医疗物资,7200,7200,4075.1646859079833,3124.8353140920167,
S015-WAT-01,S015,饮用水,10800,10800,2861.137659468582,7938.862340531417,
