scheme,model,available_aircraft,used_aircraft,peak_simultaneous_aircraft,sorties,delivered_kg,average_kg_per_sortie,energy_kwh,occupied_hours,aircraft_occupancy_pct
28_earliest,A,4,4,4,14,207.0,14.785714285714286,31.662568594535685,7.073534552578526,86.60991501688764
28_earliest,B,2,2,2,8,177.0,22.125,18.00274894428116,4.034375069428744,98.79555385280482
28_earliest,C,2,2,2,6,374.0,62.333333333333336,27.394141477573605,3.3665348514025433,82.44118840843898
fast26_research__plan,A,4,4,4,13,227.0,17.46153846153846,29.678080179965278,6.646608747191464,95.2013215460889
fast26_research__plan,B,2,2,2,7,157.0,22.428571428571427,15.266607700666155,3.416890243757226,97.88223713967778
fast26_research__plan,C,2,2,2,6,374.0,62.333333333333336,27.394141477573605,3.3665348514025433,96.43972710742611
fixed28_seed2026__plan,A,4,4,4,14,219.0,15.642857142857142,31.59890951517612,7.1078504555295625,92.29452683987792
fixed28_seed2026__plan,B,2,2,2,7,157.0,22.428571428571427,17.1011304930311,3.6982165768691355,96.041736175807
fixed28_seed2026__plan,C,2,2,2,7,382.0,54.57142857142857,29.214245172038755,3.685271204419248,95.70554817283659
research_24__both_food_plan,A,4,4,4,10,196.0,19.6,25.72867538379194,5.588195134870688,73.3751976484011
research_24__both_food_plan,B,2,2,2,8,190.0,23.75,16.258255039744572,3.7973870234170026,99.72236712064772
research_24__both_food_plan,C,2,2,2,6,372.0,62.0,27.47360797273586,3.3482015180692097,87.92640279219236
research_24__fod_to_j015_plan,A,4,4,4,11,210.0,19.09090909090909,25.79592235121918,5.74028025575847,78.69701549263212
research_24__fod_to_j015_plan,B,2,2,2,7,165.0,23.571428571428573,16.044796611404205,3.6108830437541206,99.00761153650451
research_24__fod_to_j015_plan,C,2,2,2,6,383.0,63.833333333333336,27.6892705267553,3.3848681847358764,92.81045945708094
research_24__fod_to_j020_plan,A,4,4,4,10,185.0,18.5,24.45596142665702,5.375705012060502,58.733178458036136
research_24__fod_to_j020_plan,B,2,2,2,7,160.0,22.857142857142858,14.33761947374573,3.330460118513221,72.77501576041006
research_24__fod_to_j020_plan,C,2,2,2,7,413.0,59.0,32.92359851631744,4.048142984023602,88.45734792771742
research_24__med_to_j005_plan,A,4,4,4,11,207.0,18.818181818181817,24.921020937492965,5.5775852962673795,74.76681645402607
research_24__med_to_j005_plan,B,2,2,2,7,163.0,23.285714285714285,16.320494887651396,3.703923001820362,99.30122679514204
research_24__med_to_j005_plan,C,2,2,2,6,388.0,64.66666666666667,27.892332476584443,3.3848681847358764,90.74744888566117
research_24__med_to_j015_plan,A,4,4,4,11,210.0,19.09090909090909,27.670684935618528,6.064857627321757,88.91003127928433
research_24__med_to_j015_plan,B,2,2,2,7,160.0,22.857142857142858,14.33761947374573,3.330460118513221,97.64823232699109
research_24__med_to_j015_plan,C,2,2,2,6,388.0,64.66666666666667,27.892332476584443,3.3848681847358764,99.24346280623908
research_24__s005_med_food_plan,A,4,4,4,10,188.0,18.8,23.43899501188433,5.243547726438756,61.57822543572651
