sortie,type,resource,start_s,end_s
T001,aircraft,U08,0.0,1495.4261775174655
T001,battery_and_charge,C02,0.0,3038.637095537719
T002,aircraft,U05,0.0,1269.979917269268
T002,battery_and_charge,B04,0.0,2466.9920012244406
T003,aircraft,U04,0.0,1602.5927359801724
T003,battery_and_charge,A06,0.0,2667.0598976968568
T004,aircraft,U07,0.0,1495.4261775174655
T004,battery_and_charge,C01,0.0,3052.6165531873967
T005,aircraft,U01,0.0,2281.4599588363917
T005,battery_and_charge,A02,0.0,3649.403580614774
T007,aircraft,U02,0.0,1312.470877312685
T007,battery_and_charge,A04,0.0,2178.7887122874713
T008,aircraft,U06,0.0,1554.5713591276817
T008,battery_and_charge,B02,0.0,3010.3575010505742
T009,aircraft,U03,0.0,2608.040897108922
T009,battery_and_charge,A01,0.0,4061.304360192513
T024,aircraft,U05,1269.979917269268,2459.6102030057073
T024,battery_and_charge,B01,1269.979917269268,3593.0510799685885
T010,aircraft,U02,1312.470877312685,3024.9125130322313
T010,battery_and_charge,A03,1312.470877312685,4073.5332146715327
T012,aircraft,U07,1495.4261775174655,3834.0240604277465
T012,battery_and_charge,C04,1495.4261775174655,5771.167962200942
T013,aircraft,U08,1495.4261775174655,3610.5078187959184
T013,battery_and_charge,C03,1495.4261775174655,6103.1735362475865
T011,aircraft,U06,1554.5713591276817,3399.1102492832492
T011,battery_and_charge,B03,1554.5713591276817,4987.772212362631
T006,aircraft,U04,1602.5927359801724,3733.231824739755
T006,battery_and_charge,A05,1602.5927359801724,5091.0168197081875
T014,aircraft,U01,2281.4599588363917,4762.409373776909
T014,battery_and_charge,A04,2281.4599588363917,6170.325288689286
T015,aircraft,U05,2466.9920012244406,4425.0332727114355
T015,battery_and_charge,B04,2466.9920012244406,6384.278900197027
T022,aircraft,U03,2667.0598976968568,4358.594383935806
T022,battery_and_charge,A06,2667.0598976968568,5534.088890615261
T021,aircraft,U06,3399.1102492832492,5297.151520770244
T021,battery_and_charge,B02,3399.1102492832492,7164.333672687853
T018,aircraft,U08,3610.5078187959184,6046.317339653567
T018,battery_and_charge,C01,3610.5078187959184,8544.67161962808
T016,aircraft,U02,3649.403580614774,5993.250655326746
T016,battery_and_charge,A02,3649.403580614774,7356.81463857632
T023,aircraft,U07,3834.0240604277465,6073.208125395588
T023,battery_and_charge,C02,3834.0240604277465,8541.885906815636
T020,aircraft,U04,4061.304360192513,6031.514207169332
T020,battery_and_charge,A01,4061.304360192513,7271.514857856408
T019,aircraft,U03,4358.594383935806,6054.352488604271
T019,battery_and_charge,A03,4358.594383935806,7190.328800760472
T017,aircraft,U05,4425.0332727114355,5944.057617123291
T017,battery_and_charge,B01,4425.0332727114355,7408.7397010617815
