sortie,type,resource,start_s,end_s
T001,aircraft,U07,0.0,1561.4261775174655
T001,battery_and_charge,C01,0.0,3150.0928537629516
T002,aircraft,U01,0.0,2598.128190684848
T002,battery_and_charge,A03,0.0,4094.080232101528
T003,aircraft,U08,0.0,1429.4261775174655
T003,battery_and_charge,C03,0.0,2947.606630665684
T004,aircraft,U04,0.0,2281.4599588363917
T004,battery_and_charge,A06,0.0,3649.403580614774
T005,aircraft,U02,0.0,1312.470877312685
T005,battery_and_charge,A02,0.0,2178.7887122874713
T009,aircraft,U05,0.0,1269.979917269268
T009,battery_and_charge,B04,0.0,2466.9920012244406
T011,aircraft,U03,0.0,2130.6390887595826
T011,battery_and_charge,A05,0.0,3488.424083728015
T015,aircraft,U06,0.0,1554.5713591276817
T015,battery_and_charge,B02,0.0,3010.3575010505742
T006,aircraft,U05,1269.979917269268,2459.6102030057073
T006,battery_and_charge,B03,1269.979917269268,3593.0510799685885
T007,aircraft,U02,1312.470877312685,3920.511774421607
T007,battery_and_charge,A01,1312.470877312685,5373.775237505198
T010,aircraft,U08,1429.4261775174655,3834.0240604277465
T010,battery_and_charge,C04,1429.4261775174655,5915.898972127668
T008,aircraft,U06,1554.5713591276817,3399.1102492832492
T008,battery_and_charge,B01,1554.5713591276817,4987.772212362631
T012,aircraft,U07,1561.4261775174655,3676.5078187959184
T012,battery_and_charge,C02,1561.4261775174655,6169.1735362475865
T014,aircraft,U03,2130.6390887595826,4611.5885037001
T014,battery_and_charge,A04,2130.6390887595826,6019.504418612476
T016,aircraft,U04,2281.4599588363917,3977.218063504856
T016,battery_and_charge,A02,2281.4599588363917,5113.194375661058
T013,aircraft,U05,2466.9920012244406,4425.0332727114355
T013,battery_and_charge,B04,2466.9920012244406,6384.278900197027
T021,aircraft,U06,3399.1102492832492,5297.151520770244
T021,battery_and_charge,B02,3399.1102492832492,7164.333672687853
T017,aircraft,U01,3488.424083728015,5832.271158439987
T017,battery_and_charge,A05,3488.424083728015,7195.835141689561
T018,aircraft,U07,3676.5078187959184,6112.317339653567
T018,battery_and_charge,C03,3676.5078187959184,8610.67161962808
T019,aircraft,U08,3834.0240604277465,6073.208125395588
T019,battery_and_charge,C01,3834.0240604277465,8541.885906815636
T022,aircraft,U02,3920.511774421607,5612.046260660556
T022,battery_and_charge,A06,3920.511774421607,6787.540767340011
T020,aircraft,U04,4094.080232101528,6064.290079078348
T020,battery_and_charge,A03,4094.080232101528,7304.290729765424
T023,aircraft,U05,4425.0332727114355,5944.057617123291
T023,battery_and_charge,B03,4425.0332727114355,7408.7397010617815
