sortie,type,resource,start_s,end_s
T001,aircraft,U07,0.0,1495.4261775174655
T001,battery_and_charge,C04,0.0,3038.637095537719
T002,aircraft,U06,0.0,1269.979917269268
T002,battery_and_charge,B01,0.0,2466.9920012244406
T003,aircraft,U04,0.0,1602.5927359801724
T003,battery_and_charge,A06,0.0,2667.0598976968568
T004,aircraft,U08,0.0,1429.4261775174655
T004,battery_and_charge,C03,0.0,2947.606630665684
T005,aircraft,U03,0.0,2130.6390887595826
T005,battery_and_charge,A05,0.0,3488.424083728015
T006,aircraft,U02,0.0,1312.470877312685
T006,battery_and_charge,A04,0.0,2178.7887122874713
T007,aircraft,U05,0.0,1554.5713591276817
T007,battery_and_charge,B04,0.0,3010.3575010505742
T014,aircraft,U01,0.0,2281.4599588363917
T014,battery_and_charge,A02,0.0,3649.403580614774
T009,aircraft,U06,1269.979917269268,2459.6102030057073
T009,battery_and_charge,B02,1269.979917269268,3593.0510799685885
T015,aircraft,U02,1312.470877312685,3024.9125130322313
T015,battery_and_charge,A01,1312.470877312685,4073.5332146715327
T011,aircraft,U08,1429.4261775174655,3768.0240604277465
T011,battery_and_charge,C02,1429.4261775174655,5705.167962200942
T012,aircraft,U07,1495.4261775174655,3610.5078187959184
T012,battery_and_charge,C01,1495.4261775174655,6103.1735362475865
T013,aircraft,U05,1554.5713591276817,3399.1102492832492
T013,battery_and_charge,B03,1554.5713591276817,4987.772212362631
T022,aircraft,U04,1602.5927359801724,3572.8025829569915
T022,battery_and_charge,A03,1602.5927359801724,4812.8032336440665
T017,aircraft,U03,2178.7887122874713,4786.829609396393
T017,battery_and_charge,A04,2178.7887122874713,6240.093072479984
T018,aircraft,U06,2466.9920012244406,4425.0332727114355
T018,battery_and_charge,B01,2466.9920012244406,6384.278900197027
T023,aircraft,U01,2667.0598976968568,4358.594383935806
T023,battery_and_charge,A06,2667.0598976968568,5534.088890615261
T016,aircraft,U05,3399.1102492832492,5297.151520770244
T016,battery_and_charge,B04,3399.1102492832492,7164.333672687853
T008,aircraft,U02,3488.424083728015,5969.373498668532
T008,battery_and_charge,A05,3488.424083728015,7377.289413580909
T020,aircraft,U07,3610.5078187959184,6046.317339653567
T020,battery_and_charge,C04,3610.5078187959184,8544.67161962808
T019,aircraft,U04,3649.403580614774,5993.250655326746
T019,battery_and_charge,A02,3649.403580614774,7356.81463857632
T021,aircraft,U08,3768.0240604277465,6007.208125395588
T021,battery_and_charge,C03,3768.0240604277465,8475.885906815636
T010,aircraft,U01,4358.594383935806,6054.352488604271
T010,battery_and_charge,A01,4358.594383935806,7190.328800760472
T024,aircraft,U06,4425.0332727114355,5944.057617123291
T024,battery_and_charge,B02,4425.0332727114355,7408.7397010617815
T025,aircraft,U03,4812.8032336440665,6005.274110956751
T025,battery_and_charge,A03,4812.8032336440665,6846.599041949379
