box,zone,time,hard_deadline,desired,priority
S001-FOD-01,S001,1248.8980887587327,,7200,10
S001-FOD-02,S001,1248.8980887587327,,7200,10
S001-FOD-03,S001,1248.8980887587327,,7200,10
S001-HYG-01,S001,1248.8980887587327,,10800,8
S001-HYG-02,S001,2554.9332716367244,,10800,8
S001-MED-01,S001,969.3587719896758,3600,3600,24
S001-MED-02,S001,969.3587719896758,3600,3600,24
S001-WAT-01,S001,969.3587719896758,3600,3600,12
S001-WAT-02,S001,2554.9332716367244,,3600,12
S001-WAT-03,S001,2554.9332716367244,,3600,12
S001-WAT-04,S001,2554.9332716367244,,3600,12
S001-WAT-05,S001,2554.9332716367244,,3600,12
S001-WAT-06,S001,1248.8980887587327,,3600,12
S001-WAT-07,S001,1248.8980887587327,,3600,12
S001-WAT-08,S001,1248.8980887587327,,3600,12
S002-FOD-01,S002,3445.0624609271163,,7200,10
S002-FOD-02,S002,3445.0624609271163,,7200,10
S002-HYG-01,S002,3445.0624609271163,,10800,8
S002-MED-01,S002,3561.985987448784,3600,3600,24
S002-WAT-01,S002,3561.985987448784,3600,3600,12
S002-WAT-02,S002,3445.0624609271163,,3600,12
S002-WAT-03,S002,3445.0624609271163,,3600,12
S002-WAT-04,S002,3445.0624609271163,,3600,12
S003-FOD-01,S003,5971.379498508135,,10800,8
S003-FOD-02,S003,5971.379498508135,,10800,8
S003-HYG-01,S003,5971.379498508135,,14400,6
S003-MED-01,S003,5106.186029716723,7200,7200,20
S003-WAT-01,S003,5106.186029716723,7200,7200,10
S003-WAT-02,S003,5971.379498508135,,7200,10
S003-WAT-03,S003,5971.379498508135,,7200,10
S003-WAT-04,S003,5971.379498508135,,7200,10
S004-FOD-01,S004,4740.654986246873,,10800,8
S004-HYG-01,S004,4740.654986246873,,14400,6
S004-MED-01,S004,4740.654986246873,7200,7200,20
S004-WAT-01,S004,4740.654986246873,7200,7200,10
S004-WAT-02,S004,4740.654986246873,,7200,10
S004-WAT-03,S004,4740.654986246873,,7200,10
S005-FOD-01,S005,6600.468123638628,,14400,6
S005-HYG-01,S005,6414.971719767389,,18000,4
S005-MED-01,S005,4899.709918970164,10800,10800,16
S005-WAT-01,S005,4899.709918970164,10800,10800,8
S005-WAT-02,S005,6600.468123638628,,10800,8
S005-WAT-03,S005,6414.971719767389,,10800,8
S006-FOD-01,S006,936.7704405418276,,7200,10
S006-HYG-01,S006,1079.162541438996,,10800,8
S006-MED-01,S006,1079.162541438996,3600,3600,24
S006-WAT-01,S006,936.7704405418276,3600,3600,12
S006-WAT-02,S006,1079.162541438996,,3600,12
S006-WAT-03,S006,1079.162541438996,,3600,12
S007-FOD-01,S007,1133.8608178597733,,7200,10
S007-HYG-01,S007,5328.765584641596,,10800,8
S007-MED-01,S007,1133.8608178597733,3600,3600,24
S007-WAT-01,S007,1133.8608178597733,3600,3600,12
S007-WAT-02,S007,1133.8608178597733,,3600,12
S008-FOD-01,S008,4644.755785125911,,10800,8
S008-HYG-01,S008,6542.797156612905,,14400,6
S008-MED-01,S008,4644.755785125911,7200,7200,20
S008-WAT-01,S008,4644.755785125911,7200,7200,10
S008-WAT-02,S008,6542.797156612905,,7200,10
S009-FOD-01,S009,5417.928942243756,,14400,6
S009-MED-01,S009,3131.468883407364,10800,10800,16
S009-WAT-01,S009,5417.928942243756,10800,10800,8
S010-FOD-01,S010,1084.8223462305075,,7200,10
S010-MED-01,S010,1084.8223462305075,3600,3600,24
S010-WAT-01,S010,1084.8223462305075,3600,3600,12
S011-FOD-01,S011,4415.597812684558,,14400,6
S011-MED-01,S011,4415.597812684558,10800,10800,16
S011-WAT-01,S011,4415.597812684558,10800,10800,8
S012-FOD-01,S012,2841.5136811386765,,7200,10
S012-MED-01,S012,2841.5136811386765,3600,7200,22
S012-WAT-01,S012,2841.5136811386765,3600,3600,12
S013-FOD-01,S013,1058.018029613423,,7200,10
S013-MED-01,S013,1058.018029613423,3600,3600,24
S013-WAT-01,S013,1058.018029613423,3600,3600,12
S014-FOD-01,S014,2735.7956043046297,,7200,10
S014-MED-01,S014,2735.7956043046297,3600,7200,22
S014-WAT-01,S014,2735.7956043046297,3600,3600,12
S015-FOD-01,S015,4945.6191234576745,,14400,6
S015-MED-01,S015,5563.450173589779,7200,7200,18
S015-WAT-01,S015,4945.6191234576745,10800,10800,8
