id,group_count,resource_total,shortage_total,workload_cv,stock_sufficient,assignment_replay_passed,need_A_aircraft,shortage_A_aircraft,need_B_aircraft,shortage_B_aircraft,need_C_aircraft,shortage_C_aircraft,need_A_batteries,shortage_A_batteries,need_B_batteries,shortage_B_batteries,need_C_batteries,shortage_C_batteries,need_relay_aircraft,shortage_relay_aircraft,need_relay_components,shortage_relay_components
P12345_6,2,29,2,0.9580384880926992,False,True,4,0,3,1,2,0,6,0,5,1,4,0,2,0,3,0
P12346_5,2,34,7,0.6349225131752062,False,True,4,0,4,2,2,0,6,0,8,4,4,0,3,1,3,0
P1234_56,2,33,6,0.5929610012679055,False,True,4,0,4,2,2,0,6,0,7,3,4,0,3,1,3,0
P1234_5_6,3,35,8,1.002210216756558,False,True,4,0,5,3,2,0,6,0,8,4,4,0,3,1,3,0
P12356_4,2,31,4,0.9030335170470296,False,True,5,1,2,0,3,1,7,1,4,0,5,1,2,0,3,0
P1235_46,2,33,6,0.8610720051397288,False,True,5,1,3,1,3,1,7,1,5,1,5,1,2,0,3,0
P1235_4_6,3,33,6,1.2673058852185093,False,True,5,1,3,1,3,1,7,1,5,1,5,1,2,0,3,0
P1236_45,2,38,11,0.5379560302222358,False,True,5,1,4,2,3,1,7,1,8,4,5,1,3,1,3,0
P1236_4_5,3,38,11,0.9386131342702573,False,True,5,1,4,2,3,1,7,1,8,4,5,1,3,1,3,0
P123_456,2,37,10,0.495994518314935,False,True,5,1,4,2,3,1,7,1,7,3,5,1,3,1,3,0
P123_45_6,3,39,12,0.9164789948429846,False,True,5,1,5,3,3,1,7,1,8,4,5,1,3,1,3,0
P123_46_5,3,39,12,0.8904698863397367,False,True,5,1,5,3,3,1,7,1,8,4,5,1,3,1,3,0
P123_4_56,3,37,10,0.8998956234475595,False,True,5,1,4,2,3,1,7,1,7,3,5,1,3,1,3,0
P12456_3,2,34,7,0.27975250181637557,False,True,5,1,3,1,3,1,7,1,5,1,5,1,3,1,3,0
P1245_36,2,35,8,0.23779098990907488,False,True,5,1,3,1,3,1,7,1,6,2,5,1,3,1,3,0
P1245_3_6,3,36,9,0.7344949430500207,False,True,5,1,4,2,3,1,7,1,6,2,5,1,3,1,3,0
P1246_35,2,37,10,0.08532498500841827,False,True,5,1,4,2,3,1,7,1,7,3,5,1,3,1,3,0
P1246_3_5,3,39,12,0.34132288204418104,False,True,5,1,5,3,3,1,7,1,8,4,5,1,3,1,3,0
P124_356,2,35,8,0.12728649691571878,False,True,5,1,3,1,3,1,7,1,6,2,5,1,3,1,3,0
P124_35_6,3,37,10,0.6752702884941929,False,True,5,1,4,2,3,1,7,1,7,3,5,1,3,1,3,0
P124_36_5,3,38,11,0.32696292402472754,False,True,5,1,4,2,3,1,7,1,8,4,5,1,3,1,3,0
P124_3_56,3,37,10,0.2907740492129159,False,True,5,1,4,2,3,1,7,1,7,3,5,1,3,1,3,0
P1256_34,2,31,4,0.18278601886340515,False,True,4,0,3,1,3,1,6,0,5,1,4,0,3,1,3,0
P1256_3_4,3,35,8,0.6673502025968724,False,True,5,1,3,1,4,2,7,1,5,1,5,1,3,1,3,0
P125_346,2,32,5,0.14082450695610438,False,True,4,0,3,1,3,1,6,0,6,2,4,0,3,1,3,0
P125_34_6,3,33,6,0.6915996033390499,False,True,4,0,4,2,3,1,6,0,6,2,4,0,3,1,3,0
P125_36_4,3,36,9,0.6472126560596383,False,True,5,1,3,1,4,2,7,1,6,2,5,1,3,1,3,0
P125_3_46,3,37,10,0.61616028884575,False,True,5,1,4,2,4,2,7,1,6,2,5,1,3,1,3,0
P126_345,2,34,7,0.1822914679613887,False,True,4,0,4,2,3,1,6,0,7,3,4,0,3,1,3,0
