partition,group,zones,boxes,cargo_kg,transport_sorties,relay_sorties,work_seconds,energy_kwh,need_A_aircraft,occupancy_A_aircraft,need_B_aircraft,occupancy_B_aircraft,need_C_aircraft,occupancy_C_aircraft,need_A_batteries,occupancy_A_batteries,need_B_batteries,occupancy_B_batteries,need_C_batteries,occupancy_C_batteries,need_relay_aircraft,occupancy_relay_aircraft,need_relay_components,occupancy_relay_components
P12345_6,G1,S001|S002|S003|S004|S005|S006|S007|S008|S009|S010|S012|S013|S014|S015,77,733.0,23,4,55511.39080065879,68.25360366671423,4,0.4824707311995338,2,0.6551866130131613,2,0.6183272006355318,6,0.5247247636935084,4,0.6400694754036308,4,0.6340084492059775,2,0.8023747856712612,3,0.619073751912207
P12345_6,G2,S011,3,25.0,1,0,1189.6302857364394,1.077171254529726,0,0.0,1,0.5120937769095865,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0
P12346_5,G1,S001|S002|S003|S004|S005|S006|S007|S008|S009|S011|S015,68,658.0,20,3,46350.88794708482,59.821733229668446,4,0.4824707311995338,2,0.3519971889506666,2,0.6183272006355318,6,0.5247247636935084,4,0.3482388335908445,4,0.6340084492059775,2,0.598297837493911,2,0.6925454271382944
P12346_5,G2,S010|S012|S013|S014,12,100.0,4,1,10350.133139310403,9.509041691575511,0,0.0,2,0.6375263651170816,0,0.0,0,0.0,4,0.6151764262783745,0,0.0,1,0.7090610655626729,1,0.8202035764785548
P1234_56,G1,S001|S002|S003|S004|S005|S006|S007|S008|S009|S015,65,633.0,19,3,45161.25766134838,58.74456197513872,4,0.4824707311995338,2,0.28820994120154725,2,0.6183272006355318,6,0.5247247636935084,3,0.3812773422589206,4,0.6340084492059775,2,0.598297837493911,2,0.6925454271382944
P1234_56,G2,S010|S011|S012|S013|S014,15,125.0,5,1,11539.763425046844,10.586212946105238,0,0.0,2,0.6888025450636535,0,0.0,0,0.0,4,0.6658219501086539,0,0.0,1,0.6526485386089231,1,0.7549486095753287
P1234_5_6,G1,S001|S002|S003|S004|S005|S006|S007|S008|S009|S015,65,633.0,19,3,45161.25766134838,58.74456197513872,4,0.4824707311995338,2,0.28820994120154725,2,0.6183272006355318,6,0.5247247636935084,3,0.3812773422589206,4,0.6340084492059775,2,0.598297837493911,2,0.6925454271382944
P1234_5_6,G2,S010|S012|S013|S014,12,100.0,4,1,10350.133139310403,9.509041691575511,0,0.0,2,0.6375263651170816,0,0.0,0,0.0,4,0.6151764262783745,0,0.0,1,0.7090610655626729,1,0.8202035764785548
P1234_5_6,G3,S011,3,25.0,1,0,1189.6302857364394,1.077171254529726,0,0.0,1,0.5120937769095865,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0
P12356_4,G1,S001|S002|S003|S004|S005|S007|S008|S009|S010|S011|S012|S013|S014|S015,74,699.0,22,4,53951.971789100244,65.70565343205662,4,0.44718879287681645,2,0.7189738607622806,2,0.5414887366516299,6,0.48526323528685905,4,0.7023503023002848,4,0.5567748609949787,2,0.8023747856712612,3,0.619073751912207
P12356_4,G2,S006,6,59.0,2,0,2749.0492972949805,3.625121489187333,1,0.4568211724972373,0,0.0,1,0.49744201819280065,1,0.766406093269462,0,0.0,1,1.0,0,0.0,0,0.0
P1235_46,G1,S001|S002|S003|S004|S005|S007|S008|S009|S010|S012|S013|S014|S015,71,674.0,21,4,52762.34150336381,64.6284821775269,4,0.44718879287681645,2,0.6551866130131613,2,0.5414887366516299,6,0.48526323528685905,4,0.6400694754036308,4,0.5567748609949787,2,0.8023747856712612,3,0.619073751912207
P1235_46,G2,S006|S011,9,84.0,3,0,3938.67958303142,4.702292743717059,1,0.22566689370129703,1,0.20399488720876774,1,0.24573334556368948,1,0.37859997039194143,1,0.39835455224597344,1,0.4939939461817781,0,0.0,0,0.0
P1235_4_6,G1,S001|S002|S003|S004|S005|S007|S008|S009|S010|S012|S013|S014|S015,71,674.0,21,4,52762.34150336381,64.6284821775269,4,0.44718879287681645,2,0.6551866130131613,2,0.5414887366516299,6,0.48526323528685905,4,0.6400694754036308,4,0.5567748609949787,2,0.8023747856712612,3,0.619073751912207
P1235_4_6,G2,S006,6,59.0,2,0,2749.0492972949805,3.625121489187333,1,0.4568211724972373,0,0.0,1,0.49744201819280065,1,0.766406093269462,0,0.0,1,1.0,0,0.0,0,0.0
P1235_4_6,G3,S011,3,25.0,1,0,1189.6302857364394,1.077171254529726,0,0.0,1,0.5120937769095865,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0
P1236_45,G1,S001|S002|S003|S004|S005|S007|S008|S009|S011|S015,62,599.0,18,3,43601.83864978985,56.19661174048111,4,0.44718879287681645,2,0.3519971889506666,2,0.5414887366516299,6,0.48526323528685905,4,0.3482388335908445,4,0.5567748609949787,2,0.598297837493911,2,0.6925454271382944
P1236_45,G2,S006|S010|S012|S013|S014,18,159.0,6,1,13099.182436605384,13.134163180762846,1,0.2451727057431465,2,0.6375263651170816,1,0.26697362752248094,1,0.41132475221700604,4,0.6151764262783745,1,0.5366929566834585,1,0.7090610655626729,1,0.8202035764785548
P1236_4_5,G1,S001|S002|S003|S004|S005|S007|S008|S009|S011|S015,62,599.0,18,3,43601.83864978985,56.19661174048111,4,0.44718879287681645,2,0.3519971889506666,2,0.5414887366516299,6,0.48526323528685905,4,0.3482388335908445,4,0.5567748609949787,2,0.598297837493911,2,0.6925454271382944
P1236_4_5,G2,S006,6,59.0,2,0,2749.0492972949805,3.625121489187333,1,0.4568211724972373,0,0.0,1,0.49744201819280065,1,0.766406093269462,0,0.0,1,1.0,0,0.0,0,0.0
P1236_4_5,G3,S010|S012|S013|S014,12,100.0,4,1,10350.133139310403,9.509041691575511,0,0.0,2,0.6375263651170816,0,0.0,0,0.0,4,0.6151764262783745,0,0.0,1,0.7090610655626729,1,0.8202035764785548
P123_456,G1,S001|S002|S003|S004|S005|S007|S008|S009|S015,59,574.0,17,3,42412.2083640534,55.11944048595139,4,0.44718879287681645,2,0.28820994120154725,2,0.5414887366516299,6,0.48526323528685905,3,0.3812773422589206,4,0.5567748609949787,2,0.598297837493911,2,0.6925454271382944
P123_456,G2,S006|S010|S011|S012|S013|S014,21,184.0,7,1,14288.812722341823,14.21133443529257,1,0.22566689370129703,2,0.6888025450636535,1,0.24573334556368948,1,0.37859997039194143,4,0.6658219501086539,1,0.4939939461817781,1,0.6526485386089231,1,0.7549486095753287
P123_45_6,G1,S001|S002|S003|S004|S005|S007|S008|S009|S015,59,574.0,17,3,42412.2083640534,55.11944048595139,4,0.44718879287681645,2,0.28820994120154725,2,0.5414887366516299,6,0.48526323528685905,3,0.3812773422589206,4,0.5567748609949787,2,0.598297837493911,2,0.6925454271382944
P123_45_6,G2,S006|S010|S012|S013|S014,18,159.0,6,1,13099.182436605384,13.134163180762846,1,0.2451727057431465,2,0.6375263651170816,1,0.26697362752248094,1,0.41132475221700604,4,0.6151764262783745,1,0.5366929566834585,1,0.7090610655626729,1,0.8202035764785548
P123_45_6,G3,S011,3,25.0,1,0,1189.6302857364394,1.077171254529726,0,0.0,1,0.5120937769095865,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0
P123_46_5,G1,S001|S002|S003|S004|S005|S007|S008|S009|S015,59,574.0,17,3,42412.2083640534,55.11944048595139,4,0.44718879287681645,2,0.28820994120154725,2,0.5414887366516299,6,0.48526323528685905,3,0.3812773422589206,4,0.5567748609949787,2,0.598297837493911,2,0.6925454271382944
P123_46_5,G2,S006|S011,9,84.0,3,0,3938.67958303142,4.702292743717059,1,0.22566689370129703,1,0.20399488720876774,1,0.24573334556368948,1,0.37859997039194143,1,0.39835455224597344,1,0.4939939461817781,0,0.0,0,0.0
