partition,group,resource_type,resource_id,task,start,release,next_task,handoff_slack_seconds,physical_id,inventory_status
P12345_6,G1,A_aircraft,G1-A_aircraft-01,T005,0.0,1312.470877312685,T014_1,2456.60332265658,U01,existing
P12345_6,G1,A_aircraft,G1-A_aircraft-01,T014_1,3769.074199969265,5464.83230463773,T016,5.000099999999293,U01,existing
P12345_6,G1,A_aircraft,G1-A_aircraft-01,T016,5469.832404637729,7165.590509306194,,,U01,existing
P12345_6,G1,A_aircraft,G1-A_aircraft-02,T007_HARD,0.0,1712.4416357195464,T007,1954.6325642497204,U02,existing
P12345_6,G1,A_aircraft,G1-A_aircraft-02,T007,3667.074199969267,6275.115097078189,,,U02,existing
P12345_6,G1,A_aircraft,G1-A_aircraft-03,T007_SOFT,0.0,1712.4416357195464,T004,291.6700045683433,U03,existing
P12345_6,G1,A_aircraft,G1-A_aircraft-03,T004,2004.1116402878897,4285.571599124281,T022,5.000100000000202,U03,existing
P12345_6,G1,A_aircraft,G1-A_aircraft-03,T022,4290.571699124282,5982.106185363231,,,U03,existing
P12345_6,G1,A_aircraft,G1-A_aircraft-04,T009,0.0,1316.0142144169886,T020,2371.059985552276,U04,existing
P12345_6,G1,A_aircraft,G1-A_aircraft-04,T020,3687.0741999692646,5657.284046946083,,,U04,existing
P12345_6,G1,B_aircraft,G1-B_aircraft-01,T002_2,0.0,1500.9693925601796,T008,5.000099999999975,U05,existing
P12345_6,G1,B_aircraft,G1-B_aircraft-01,T008,1505.9694925601796,3350.508382715747,T013,5.0000999999997475,U05,existing
P12345_6,G1,B_aircraft,G1-B_aircraft-01,T013,3355.5084827157466,5313.549754202741,T019_1,59.153126692053775,U05,existing
P12345_6,G1,B_aircraft,G1-B_aircraft-01,T019_1,5372.702880894794,6891.727225306649,,,U05,existing
P12345_6,G1,B_aircraft,G1-B_aircraft-02,T015,0.0,1554.5713591276817,T011,5.000100000000202,U06,existing
P12345_6,G1,B_aircraft,G1-B_aircraft-02,T011,1559.571459127682,3503.5959031496714,T021,1809.9539510530703,U06,existing
P12345_6,G1,B_aircraft,G1-B_aircraft-02,T021,5313.549854202742,7211.591125689736,,,U06,existing
P12345_6,G1,C_aircraft,G1-C_aircraft-01,T001,0.0,1561.4261775174655,T012,392.685462770424,U07,existing
P12345_6,G1,C_aircraft,G1-C_aircraft-01,T012,1954.1116402878895,4069.193281566342,T018,5.000100000000202,U07,existing
P12345_6,G1,C_aircraft,G1-C_aircraft-01,T018,4074.1933815663424,6761.824258936959,,,U07,existing
P12345_6,G1,C_aircraft,G1-C_aircraft-02,T010_2,0.0,1433.035082877992,T003,5.000099999999975,U08,existing
P12345_6,G1,C_aircraft,G1-C_aircraft-02,T003,1438.035182877992,2867.4613603954576,T014_2,287.63159336749413,U08,existing
P12345_6,G1,C_aircraft,G1-C_aircraft-02,T014_2,3155.0929537629518,5460.277018730793,,,U08,existing
P12345_6,G1,A_batteries,G1-A_batteries-01,T005,0.0,2178.7887122874713,T020,1508.2854876817933,A01,existing
P12345_6,G1,A_batteries,G1-A_batteries-01,T020,3687.0741999692646,6897.284697633159,,,A01,existing
P12345_6,G1,A_batteries,G1-A_batteries-02,T007_HARD,0.0,2761.062337358848,T016,2708.7700672788815,A02,existing
P12345_6,G1,A_batteries,G1-A_batteries-02,T016,5469.832404637729,8301.566821462397,,,A02,existing
P12345_6,G1,A_batteries,G1-A_batteries-03,T007_SOFT,0.0,2779.9496716386757,T022,1510.622027485606,A03,existing
P12345_6,G1,A_batteries,G1-A_batteries-03,T022,4290.571699124282,7157.600692042686,,,A03,existing
P12345_6,G1,A_batteries,G1-A_batteries-04,T009,0.0,2207.8690163260853,T014_1,1561.2051836431797,A04,existing
P12345_6,G1,A_batteries,G1-A_batteries-04,T014_1,3769.074199969265,6580.0266291174285,,,A04,existing
