label,weighted_soft_delay,weighted_delivery_seconds,makespan,energy_kwh,transport_energy_kwh,relay_energy_kwh,transport_sorties,relay_sorties,total_sorties
baseline_recertified,1416548.6911612228,5438318.76751968,16304.91681490707,74.85485348124014,69.15451555444506,5.700337926795088,24,9,33
warm_start,0,2709476.5076264874,6659.7581046684645,72.1630352839318,69.15451555444506,3.0085197294867534,24,4,28
baseline_routes_2026,0,2659718.5076264874,6658.7581046684645,72.5153176176905,69.15451555444506,3.3608020632454423,24,3,27
baseline_routes_2027,0,2821260.5076264874,6350.534653380882,71.84772693615166,69.15451555444506,2.6932113817066017,24,5,29
balanced_24_2026,0,2808950.5076264874,6341.040897108922,71.96115327439269,69.15451555444506,2.806637719947629,24,5,29
balanced_24_2027,0,2817738.5076264874,6341.040897108922,71.98529216328157,69.15451555444506,2.830776608836518,24,5,29
delivery_23_2026,0,2634274.0032893578,6390.534653380882,72.79802580771732,69.30723683159759,3.4907889761197355,23,3,26
fastest_25_2026,0,2846434.193092335,7145.470877312685,73.12357501432774,70.19198829395475,2.931586720372985,25,4,29
fastest_25_2027,0,2710734.193092335,6658.7581046684645,73.52969393674115,70.19198829395475,3.3377056427864016,25,3,28
alns_002_merge,65481.544772559035,3122949.268412115,9868.053128909793,72.80140744584085,68.9897167013868,3.811690744454049,22,7,29
q4_compatible,0,2688138.5076264874,7880.847074711972,72.83838994571158,69.15451555444506,3.6838743912665226,24,5,29
