sortie,phase,phase_index,start,end,mode,relay_sortie,margin_lower_db,proof,status
T001,climb,0,510.0,568.1426440429688,direct,,29.982830377148545,obstruction_upper_bound,PASS
T001,cruise,1,568.1426440429688,731.0,direct,,4.176243416504484,obstruction_upper_bound,PASS
T001,cruise,1,731.0,772.3697837050219,direct,,2.2142767659980365,obstruction_upper_bound,PASS
T001,descent,2,772.3697837050219,802.0,direct,,2.2142767659980365,obstruction_upper_bound,PASS
T001,descent,2,802.0,816.8980887587328,direct,,2.2195214966935755,obstruction_upper_bound,PASS
T001,handoff,3,816.8980887587328,1248.8980887587327,direct,,2.2209329737202967,obstruction_upper_bound,PASS
T001,climb,4,1248.8980887587327,1284.5207328017013,direct,,2.2142767659980365,obstruction_upper_bound,PASS
T001,cruise,5,1284.5207328017013,1488.7478724637544,direct,,2.2142767659980365,obstruction_upper_bound,PASS
T001,descent,6,1488.7478724637544,1561.4261775174655,direct,,29.982830377148545,obstruction_upper_bound,PASS
T002,climb,0,1719.0,1807.3506103515624,direct,,24.160616126613668,obstruction_upper_bound,PASS
T002,cruise,1,1807.3506103515624,2211.4089689015445,relay,R002,0.28939259213529667,independent_swept_cells,PASS
T002,descent,2,2211.4089689015445,2227.8297013234196,relay,R002,0.28939259213529667,independent_swept_cells,PASS
T002,handoff,3,2227.8297013234196,2437.8297013234196,relay,R002,0.28939259213529667,independent_swept_cells,PASS
T002,climb,4,2437.8297013234196,2464.775740141779,relay,R002,0.28939259213529667,independent_swept_cells,PASS
T002,cruise,5,2464.775740141779,3051.0,relay,R002,0.28939259213529667,independent_swept_cells,PASS
T002,cruise,5,3051.0,3134.932126243044,relay,R001,3.047011517928251,obstruction_upper_bound,PASS
T002,descent,6,3134.932126243044,3168.547372825075,relay,R001,2.916287346872787,obstruction_upper_bound,PASS
T002,handoff,7,3168.547372825075,3348.547372825075,relay,R001,2.916287346872787,obstruction_upper_bound,PASS
T002,climb,8,3348.547372825075,3399.6575311095803,relay,R001,2.916287346872787,obstruction_upper_bound,PASS
T002,cruise,9,3399.6575311095803,3777.476000743442,relay,R001,5.684936344501038,independent_swept_cells,PASS
T002,descent,10,3777.476000743442,3927.128190684848,direct,,20.962509130395112,obstruction_upper_bound,PASS
T003,climb,0,450.0,508.14264404296875,direct,,29.982830377148545,obstruction_upper_bound,PASS
T003,cruise,1,508.14264404296875,712.3697837050219,direct,,2.2142767659980365,obstruction_upper_bound,PASS
T003,descent,2,712.3697837050219,731.0,direct,,2.2142767659980365,obstruction_upper_bound,PASS
T003,descent,2,731.0,756.8980887587328,direct,,2.217952702313939,obstruction_upper_bound,PASS
T003,handoff,3,756.8980887587328,802.0,direct,,2.2209329737202967,obstruction_upper_bound,PASS
T003,handoff,3,802.0,1116.8980887587327,direct,,2.2209329737202967,obstruction_upper_bound,PASS
T003,climb,4,1116.8980887587327,1152.5207328017013,direct,,2.2142767659980365,obstruction_upper_bound,PASS
T003,cruise,5,1152.5207328017013,1356.7478724637544,direct,,2.2142767659980365,obstruction_upper_bound,PASS
T003,descent,6,1356.7478724637544,1429.4261775174655,direct,,29.982830377148545,obstruction_upper_bound,PASS
T004,climb,0,390.0,445.1763041178385,direct,,28.686789494765073,obstruction_upper_bound,PASS
T004,cruise,1,445.1763041178385,731.0,direct,,1.2321131400606937,obstruction_upper_bound,PASS
T004,cruise,1,731.0,802.0,relay,R003,0.30817822248386584,independent_swept_cells,PASS
T004,cruise,1,802.0,922.0656781780683,relay,R002,0.28939259213529667,obstruction_upper_bound,PASS
T004,descent,2,922.0656781780683,947.3572431194746,relay,R002,0.28939259213529667,obstruction_upper_bound,PASS
T004,handoff,3,947.3572431194746,1127.3572431194746,relay,R002,0.28939259213529667,obstruction_upper_bound,PASS
T004,climb,4,1127.3572431194746,1160.1194603232507,relay,R002,0.28939259213529667,obstruction_upper_bound,PASS
T004,cruise,5,1160.1194603232507,1304.3596865163627,relay,R002,0.28939259213529667,obstruction_upper_bound,PASS
T004,descent,6,1304.3596865163627,1347.8743471608939,relay,R002,0.28939259213529667,obstruction_upper_bound,PASS
T004,handoff,7,1347.8743471608939,1557.8743471608939,relay,R002,0.28939259213529667,obstruction_upper_bound,PASS
T004,climb,8,1557.8743471608939,1588.4470400319876,relay,R002,0.28939259213529667,obstruction_upper_bound,PASS
T004,cruise,9,1588.4470400319876,1608.0,relay,R002,0.28939259213529667,obstruction_upper_bound,PASS
T004,cruise,9,1608.0,2208.0527273910793,relay,R002,0.28939259213529667,independent_swept_cells,PASS
T004,descent,10,2208.0527273910793,2281.4599588363917,direct,,27.67445965789763,obstruction_upper_bound,PASS
T005,climb,0,390.0,438.45220336914065,direct,,29.982830377148545,obstruction_upper_bound,PASS
T005,cruise,1,438.45220336914065,693.736127946707,direct,,2.2142767659980365,obstruction_upper_bound,PASS
T005,descent,2,693.736127946707,729.3587719896758,direct,,2.2142767659980365,obstruction_upper_bound,PASS
T005,handoff,3,729.3587719896758,731.0,direct,,2.2209329737202967,obstruction_upper_bound,PASS
T005,handoff,3,731.0,802.0,direct,,2.2209329737202967,obstruction_upper_bound,PASS
T005,handoff,3,802.0,969.3587719896758,direct,,2.2209329737202967,obstruction_upper_bound,PASS
T005,climb,4,969.3587719896758,999.0443086921498,direct,,2.2142767659980365,obstruction_upper_bound,PASS
