box_id,zone,delivery,desired,hard_deadline,hard_slack,soft_delay
S001-FOD-01,S001,1248.8980887587327,7200,,,0
S001-FOD-02,S001,1248.8980887587327,7200,,,0
S001-FOD-03,S001,1248.8980887587327,7200,,,0
S001-HYG-01,S001,1248.8980887587327,10800,,,0
S001-WAT-06,S001,1248.8980887587327,3600,,,0
S001-WAT-07,S001,1248.8980887587327,3600,,,0
S001-WAT-08,S001,1248.8980887587327,3600,,,0
S013-MED-01,S013,2437.8297013234196,3600,3600,1162.1702986765804,0
S013-WAT-01,S013,2437.8297013234196,3600,3600,1162.1702986765804,0
S007-MED-01,S007,3348.547372825075,3600,3600,251.45262717492506,0
S001-HYG-02,S001,1116.8980887587327,10800,,,0
S001-WAT-02,S001,1116.8980887587327,3600,,,0
S001-WAT-03,S001,1116.8980887587327,3600,,,0
S001-WAT-04,S001,1116.8980887587327,3600,,,0
S001-WAT-05,S001,1116.8980887587327,3600,,,0
S009-MED-01,S009,1127.3572431194746,10800,10800,9672.642756880525,0
S002-MED-01,S002,1557.8743471608939,3600,3600,2042.1256528391061,0
S002-WAT-01,S002,1557.8743471608939,3600,3600,2042.1256528391061,0
S001-MED-01,S001,969.3587719896758,3600,3600,2630.641228010324,0
S001-MED-02,S001,969.3587719896758,3600,3600,2630.641228010324,0
S001-WAT-01,S001,969.3587719896758,3600,3600,2630.641228010324,0
S006-FOD-01,S006,2498.7532919679675,7200,,,0
S006-MED-01,S006,2498.7532919679675,3600,3600,1101.2467080320325,0
S006-WAT-01,S006,2498.7532919679675,3600,3600,1101.2467080320325,0
S012-MED-01,S012,1345.2495443797914,7200,3600,2254.7504556202084,0
S012-WAT-01,S012,1345.2495443797914,3600,3600,2254.7504556202084,0
S010-FOD-01,S010,1084.8223462305075,7200,,,0
S010-MED-01,S010,1084.8223462305075,3600,3600,2515.1776537694923,0
S010-WAT-01,S010,1084.8223462305075,3600,3600,2515.1776537694923,0
S011-FOD-01,S011,3918.001809534886,14400,,,0
S011-MED-01,S011,3918.001809534886,10800,10800,6881.998190465114,0
S011-WAT-01,S011,3918.001809534886,10800,10800,6881.998190465114,0
S003-MED-01,S003,3721.111829747456,7200,7200,3478.888170252544,0
S003-WAT-01,S003,3721.111829747456,7200,7200,3478.888170252544,0
S015-MED-01,S015,4178.375973620512,7200,7200,3021.624026379488,0
S006-HYG-01,S006,2858.162541438996,10800,,,0
S006-WAT-02,S006,2858.162541438996,3600,,,0
S006-WAT-03,S006,2858.162541438996,3600,,,0
S007-FOD-01,S007,3578.9456798350275,7200,,,0
S007-HYG-01,S007,3578.9456798350275,10800,,,0
S007-WAT-01,S007,3578.9456798350275,3600,3600,21.054320164972523,0
S007-WAT-02,S007,3578.9456798350275,3600,,,0
S014-FOD-01,S014,1229.8261117444504,7200,,,0
S014-MED-01,S014,1229.8261117444504,7200,3600,2370.1738882555496,0
S014-WAT-01,S014,1229.8261117444504,3600,3600,2370.1738882555496,0
S002-FOD-01,S002,2920.9508206392265,7200,,,0
S002-FOD-02,S002,2920.9508206392265,7200,,,0
S002-HYG-01,S002,2920.9508206392265,10800,,,0
S002-WAT-02,S002,2920.9508206392265,3600,,,0
S002-WAT-03,S002,2920.9508206392265,3600,,,0
S002-WAT-04,S002,2920.9508206392265,3600,,,0
S005-MED-01,S005,3313.635719000899,10800,10800,7486.3642809991015,0
S005-WAT-01,S005,3313.635719000899,10800,10800,7486.3642809991015,0
S004-MED-01,S004,3823.6163811206916,7200,7200,3376.3836188793084,0
S005-FOD-01,S005,5764.6357190008985,14400,,,0
S005-WAT-02,S005,5764.6357190008985,10800,,,0
S008-FOD-01,S008,3134.247302410164,10800,,,0
S008-MED-01,S008,3134.247302410164,7200,7200,4065.752697589836,0
S008-WAT-01,S008,3134.247302410164,7200,7200,4065.752697589836,0
S008-HYG-01,S008,5033.247302410164,14400,,,0
S008-WAT-02,S008,5033.247302410164,7200,,,0
S013-FOD-01,S013,1048.8297013234196,7200,,,0
S012-FOD-01,S012,1558.45753033218,7200,,,0
S003-FOD-01,S003,5191.364760428824,10800,,,0
S003-FOD-02,S003,5191.364760428824,10800,,,0
S003-HYG-01,S003,5191.364760428824,14400,,,0
S003-WAT-02,S003,5191.364760428824,7200,,,0
S003-WAT-03,S003,5191.364760428824,7200,,,0
S003-WAT-04,S003,5191.364760428824,7200,,,0
S004-FOD-01,S004,5649.56203248392,10800,,,0
S004-HYG-01,S004,5649.56203248392,14400,,,0
S004-WAT-01,S004,5649.56203248392,7200,7200,1550.4379675160799,0
S004-WAT-02,S004,5649.56203248392,7200,,,0
S004-WAT-03,S004,5649.56203248392,7200,,,0
S009-FOD-01,S009,4616.357243119474,14400,,,0
S009-WAT-01,S009,4616.357243119474,10800,10800,6183.642756880526,0
S015-FOD-01,S015,5186.54492348841,14400,,,0
S015-WAT-01,S015,5186.54492348841,10800,10800,5613.45507651159,0
S005-HYG-01,S005,5243.268838872595,18000,,,0
S005-WAT-03,S005,5243.268838872595,10800,,,0
