kind,task,resource,energy_component,start,service_start,service_end,return_time,resource_ready,component_ready,energy_kwh
transport,T001,U07,C04,0.0,0.0,1561.4261775174655,1561.4261775174655,1561.4261775174655,3150.0928537629516,2.788923112291026
transport,T002,U02,A06,1329.0,1329.0,3927.128190684848,3927.128190684848,3927.128190684848,5423.080232101528,3.4475262972115845
transport,T003,U08,C03,0.0,0.0,1429.4261775174655,1429.4261775174655,1429.4261775174655,2947.606630665684,2.52866628854727
transport,T004,U01,A05,0.0,0.0,2281.4599588363917,2281.4599588363917,2281.4599588363917,3649.403580614774,3.0044202292328617
transport,T005,U02,A04,0.0,0.0,1312.470877312685,1312.470877312685,1312.470877312685,2178.7887122874713,1.2680232749127218
transport,T009,U05,B01,1555.0,1555.0,2824.9799172692683,2824.9799172692683,2824.9799172692683,4021.992001224441,1.223874039896552
transport,T011,U03,A03,0.0,0.0,2130.6390887595826,2130.6390887595826,2130.6390887595826,3488.424083728015,2.9692557518138036
transport,T015,U05,B02,0.0,0.0,1554.5713591276817,1554.5713591276817,1554.5713591276817,3010.3575010505742,1.8210449428989826
transport,T006,U05,B02,3011.0,3011.0,4200.630285736439,4200.630285736439,4200.630285736439,5334.07116269932,1.077171254529726
transport,T007,U01,A04,2282.0,2282.0,4890.040897108922,4890.040897108922,4890.040897108922,6343.304360192513,3.299758141443201
transport,T010,U07,C02,1725.0,1725.0,4129.5978829102805,4129.5978829102805,4129.5978829102805,6211.472794610201,4.609999673968939
transport,T008,U06,B04,0.0,0.0,1844.5388901555675,1844.5388901555675,1844.5388901555675,3433.200853234949,2.127681453260112
transport,T012,U08,C01,1430.0,1430.0,3545.081641278453,3545.081641278453,3545.081641278453,6037.747358730121,6.126765725975389
transport,T014,U03,A02,2153.0,2153.0,4633.949414940517,4633.949414940517,4633.949414940517,6041.865329852893,3.142785859312073
transport,T016,U03,A05,4634.0,4634.0,6329.7581046684645,6329.7581046684645,6329.7581046684645,7465.734416824666,2.2014564651560833
transport,T013,U06,B03,1845.0,1845.0,3803.041271486995,3803.041271486995,3803.041271486995,5762.286898972586,2.982874524966748
transport,T021,U06,B04,3804.0,3804.0,5702.041271486994,5702.041271486994,5702.041271486994,7569.223423404604,2.7704203505790983
transport,T017,U04,A01,0.0,0.0,2343.847074711972,2343.847074711972,2343.847074711972,3707.4110579615462,2.9892599420177586
transport,T018,U08,C04,3546.0,3546.0,5981.809520857649,5981.809520857649,5981.809520857649,8480.163800832162,6.1477696491366665
transport,T019,U07,C03,4130.0,4130.0,6369.184064967842,6369.184064967842,6369.184064967842,8837.86184638789,6.038194885243257
transport,T022,U04,A03,3489.0,3489.0,5180.534486238949,5180.534486238949,5180.534486238949,6356.028992918405,2.3382502154288844
transport,T020,U02,A01,3928.0,3928.0,5898.209846976819,5898.209846976819,5898.209846976819,7138.210497663895,2.5615407139167994
transport,T023,U05,B01,4201.0,4201.0,5720.024344411855,5720.024344411855,5720.024344411855,7184.706428350346,1.8415740398580562
relay,R001,R02,RE06,2473.1374190294086,3051.0,5912.0,6331.297538856334,6631.297538856334,7267.893137978243,1.074696859377009
relay,R002,R01,RE03,83.49083744349923,802.0,5847.0,6390.534653380882,6690.534653380882,7640.401271705988,1.8458255220310276
relay,R003,R02,RE05,2.0421667087841797,731.0,1608.0,2172.20132134867,2472.20132134867,2903.8721254502975,0.5702665947116987
