partition,group,resource_type,resource_id,task,start,release,next_task,handoff_slack_seconds,physical_id,inventory_status
P3,G1,A_aircraft,G1-A_aircraft-01,T005,0.0,1312.470877312685,T002,5.376287399288913,U01,existing
P3,G1,A_aircraft,G1-A_aircraft-01,T002,1317.8471647119738,3915.975355396822,T020,5.000100000000657,U01,existing
P3,G1,A_aircraft,G1-A_aircraft-01,T020,3920.975455396823,5891.185302373642,,,U01,existing
P3,G1,A_aircraft,G1-A_aircraft-02,T017,0.0,2343.847074711972,T016,5.0001000000015665,U02,existing
P3,G1,A_aircraft,G1-A_aircraft-02,T016,2348.8471747119734,4044.605279380438,T022,194.83986824181784,U02,existing
P3,G1,A_aircraft,G1-A_aircraft-02,T022,4239.445147622256,5930.979633861205,,,U02,existing
P3,G1,A_aircraft,G1-A_aircraft-03,T011,0.04146730161210144,2130.6805560611947,T007,5.166608650779835,U03,existing
P3,G1,A_aircraft,G1-A_aircraft-03,T007,2135.8471647119745,4743.888061820897,,,U03,existing
P3,G1,A_aircraft,G1-A_aircraft-04,T004,585.0414670074815,2866.501425843873,T014,733.943721778382,U04,existing
P3,G1,A_aircraft,G1-A_aircraft-04,T014,3600.4451476222553,6081.394562562773,,,U04,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T008,0.0,1844.5388901555675,T013,5.00010000000043,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T013,1849.538990155568,3807.5802616425626,T023,5.864885979693099,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T023,3813.4451476222557,5332.469492034111,,,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-02,T015,0.0,1554.5713591276817,T009,5.000100000000202,U06,existing
P3,G1,B_aircraft,G1-B_aircraft-02,T009,1559.571459127682,2829.55137639695,T021,1380.8937712253055,U06,existing
P3,G1,B_aircraft,G1-B_aircraft-02,T021,4210.445147622256,6108.48641910925,,,U06,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T001,0.0,1561.4261775174655,T010,12.420987194508598,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T010,1573.847164711974,3978.445047622255,T019,5.0000999999997475,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T019,3983.445147622255,6222.629212590096,,,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-02,T003,0.0,1429.4261775174655,T012,5.000099999999975,U08,existing
P3,G1,C_aircraft,G1-C_aircraft-02,T012,1434.4262775174655,3549.507918795918,T018,5.000100000000202,U08,existing
P3,G1,C_aircraft,G1-C_aircraft-02,T018,3554.5080187959184,5990.317539653567,,,U08,existing
P3,G1,A_batteries,G1-A_batteries-01,T005,0.0,2178.7887122874713,T016,170.05846242450207,A01,existing
P3,G1,A_batteries,G1-A_batteries-01,T016,2348.8471747119734,5180.58159153664,,,A01,existing
P3,G1,A_batteries,G1-A_batteries-02,T017,0.0,3707.4110579615462,T020,213.56439743527653,A02,existing
P3,G1,A_batteries,G1-A_batteries-02,T020,3920.975455396823,7131.185953060718,,,A02,existing
P3,G1,A_batteries,G1-A_batteries-03,T011,0.04146730161210144,3488.465551029627,T014,111.97959659262824,A03,existing
P3,G1,A_batteries,G1-A_batteries-03,T014,3600.4451476222553,7489.310477475148,,,A03,existing
P3,G1,A_batteries,G1-A_batteries-04,T004,585.0414670074815,4234.4450476222555,T022,5.000100000000202,A04,existing
P3,G1,A_batteries,G1-A_batteries-04,T022,4239.445147622256,7106.47414054066,,,A04,existing
P3,G1,A_batteries,G1-A_batteries-05,T002,1317.8471647119738,5411.927396813502,,,A05,existing
P3,G1,A_batteries,G1-A_batteries-06,T007,2135.8471647119745,6197.151524904488,,,A06,existing
P3,G1,B_batteries,G1-B_batteries-01,T008,0.0,3433.200853234949,T021,777.2442943873066,B01,existing
P3,G1,B_batteries,G1-B_batteries-01,T021,4210.445147622256,7975.668571026859,,,B01,existing
P3,G1,B_batteries,G1-B_batteries-02,T015,0.0,3010.3575010505742,T023,803.0876465716815,B02,existing
P3,G1,B_batteries,G1-B_batteries-02,T023,3813.4451476222557,6797.151575972602,,,B02,existing
P3,G1,B_batteries,G1-B_batteries-03,T009,1559.571459127682,4026.563460352123,,,B03,existing
P3,G1,B_batteries,G1-B_batteries-04,T013,1849.538990155568,5766.825889128154,,,B04,existing
P3,G1,C_batteries,G1-C_batteries-01,T001,0.0,3150.0928537629516,T019,833.3522938593032,C01,existing
P3,G1,C_batteries,G1-C_batteries-01,T019,3983.445147622255,8691.306994010145,,,C01,existing
P3,G1,C_batteries,G1-C_batteries-02,T003,0.0,2947.606630665684,T018,606.9013881302344,C02,existing
P3,G1,C_batteries,G1-C_batteries-02,T018,3554.5080187959184,8488.671819628082,,,C02,existing
P3,G1,C_batteries,G1-C_batteries-03,T012,1434.4262775174655,6042.173636247587,,,C03,existing
P3,G1,C_batteries,G1-C_batteries-04,T010,1573.847164711974,6060.319959322176,,,C04,existing
P3,G1,relay_aircraft,G1-relay_aircraft-01,R004,112.18236555369113,2316.241926438498,R001,5.742557302884961,R01,existing
P3,G1,relay_aircraft,G1-relay_aircraft-01,R001,2321.984483741383,6468.74278647859,,,R01,existing
P3,G1,relay_aircraft,G1-relay_aircraft-02,R002,753.2275656285582,4099.753205861812,R003,57.878040381520805,R02,existing
P3,G1,relay_aircraft,G1-relay_aircraft-02,R003,4157.6312462433325,6556.3511787720945,,,R02,existing
P3,G1,relay_components,G1-relay_components-01,R004,112.18236555369113,2713.9663033051315,R003,1443.664942938201,RE01,existing
P3,G1,relay_components,G1-relay_components-01,R003,4157.6312462433325,6985.859859707326,,,RE01,existing
P3,G1,relay_components,G1-relay_components-02,R002,753.2275656285582,4646.914852249944,,,RE02,existing
P3,G1,relay_components,G1-relay_components-03,R001,2321.984483741383,7103.923055874952,,,RE03,existing
P3,G2,B_aircraft,G2-B_aircraft-01,T006,3015.357601050574,4204.987886787013,,,NEW-B_aircraft-01,procurement_required
P3,G2,B_batteries,G2-B_batteries-01,T006,3015.357601050574,5338.428763749894,,,NEW-B_batteries-01,procurement_required
P2,G1,A_aircraft,G1-A_aircraft-01,T005,0.0,1312.470877312685,,,U01,existing
P2,G1,B_aircraft,G1-B_aircraft-01,T006,3015.357601050574,4204.987886787013,,,U05,existing
P2,G1,C_aircraft,G1-C_aircraft-01,T001,0.0,1561.4261775174655,,,U07,existing
P2,G1,C_aircraft,G1-C_aircraft-02,T003,0.0,1429.4261775174655,,,U08,existing
P2,G1,A_batteries,G1-A_batteries-01,T005,0.0,2178.7887122874713,,,A01,existing
P2,G1,B_batteries,G1-B_batteries-01,T006,3015.357601050574,5338.428763749894,,,B01,existing
P2,G1,C_batteries,G1-C_batteries-01,T001,0.0,3150.0928537629516,,,C01,existing
P2,G1,C_batteries,G1-C_batteries-02,T003,0.0,2947.606630665684,,,C02,existing
P2,G2,A_aircraft,G2-A_aircraft-01,T017,0.0,2343.847074711972,T016,5.0001000000015665,U02,existing
P2,G2,A_aircraft,G2-A_aircraft-01,T016,2348.8471747119734,4044.605279380438,T022,194.83986824181784,U02,existing
P2,G2,A_aircraft,G2-A_aircraft-01,T022,4239.445147622256,5930.979633861205,,,U02,existing
P2,G2,A_aircraft,G2-A_aircraft-02,T011,0.04146730161210144,2130.6805560611947,T007,5.166608650779835,U03,existing
P2,G2,A_aircraft,G2-A_aircraft-02,T007,2135.8471647119745,4743.888061820897,,,U03,existing
P2,G2,A_aircraft,G2-A_aircraft-03,T004,585.0414670074815,2866.501425843873,T014,733.943721778382,U04,existing
P2,G2,A_aircraft,G2-A_aircraft-03,T014,3600.4451476222553,6081.394562562773,,,U04,existing
P2,G2,A_aircraft,G2-A_aircraft-04,T002,1317.8471647119738,3915.975355396822,T020,5.000100000000657,NEW-A_aircraft-01,procurement_required
P2,G2,A_aircraft,G2-A_aircraft-04,T020,3920.975455396823,5891.185302373642,,,NEW-A_aircraft-01,procurement_required
P2,G2,B_aircraft,G2-B_aircraft-01,T008,0.0,1844.5388901555675,T013,5.00010000000043,U06,existing
P2,G2,B_aircraft,G2-B_aircraft-01,T013,1849.538990155568,3807.5802616425626,T023,5.864885979693099,U06,existing
P2,G2,B_aircraft,G2-B_aircraft-01,T023,3813.4451476222557,5332.469492034111,,,U06,existing
P2,G2,B_aircraft,G2-B_aircraft-02,T015,0.0,1554.5713591276817,T009,5.000100000000202,NEW-B_aircraft-01,procurement_required
P2,G2,B_aircraft,G2-B_aircraft-02,T009,1559.571459127682,2829.55137639695,T021,1380.8937712253055,NEW-B_aircraft-01,procurement_required
P2,G2,B_aircraft,G2-B_aircraft-02,T021,4210.445147622256,6108.48641910925,,,NEW-B_aircraft-01,procurement_required
P2,G2,C_aircraft,G2-C_aircraft-01,T012,1434.4262775174655,3549.507918795918,T018,5.000100000000202,NEW-C_aircraft-01,procurement_required
P2,G2,C_aircraft,G2-C_aircraft-01,T018,3554.5080187959184,5990.317539653567,,,NEW-C_aircraft-01,procurement_required
P2,G2,C_aircraft,G2-C_aircraft-02,T010,1573.847164711974,3978.445047622255,T019,5.0000999999997475,NEW-C_aircraft-02,procurement_required
P2,G2,C_aircraft,G2-C_aircraft-02,T019,3983.445147622255,6222.629212590096,,,NEW-C_aircraft-02,procurement_required
P2,G2,A_batteries,G2-A_batteries-01,T017,0.0,3707.4110579615462,T020,213.56439743527653,A02,existing
P2,G2,A_batteries,G2-A_batteries-01,T020,3920.975455396823,7131.185953060718,,,A02,existing
P2,G2,A_batteries,G2-A_batteries-02,T011,0.04146730161210144,3488.465551029627,T014,111.97959659262824,A03,existing
P2,G2,A_batteries,G2-A_batteries-02,T014,3600.4451476222553,7489.310477475148,,,A03,existing
P2,G2,A_batteries,G2-A_batteries-03,T004,585.0414670074815,4234.4450476222555,T022,5.000100000000202,A04,existing
P2,G2,A_batteries,G2-A_batteries-03,T022,4239.445147622256,7106.47414054066,,,A04,existing
P2,G2,A_batteries,G2-A_batteries-04,T002,1317.8471647119738,5411.927396813502,,,A05,existing
P2,G2,A_batteries,G2-A_batteries-05,T007,2135.8471647119745,6197.151524904488,,,A06,existing
P2,G2,A_batteries,G2-A_batteries-06,T016,2348.8471747119734,5180.58159153664,,,NEW-A_batteries-01,procurement_required
P2,G2,B_batteries,G2-B_batteries-01,T008,0.0,3433.200853234949,T021,777.2442943873066,B02,existing
P2,G2,B_batteries,G2-B_batteries-01,T021,4210.445147622256,7975.668571026859,,,B02,existing
P2,G2,B_batteries,G2-B_batteries-02,T015,0.0,3010.3575010505742,T023,803.0876465716815,B03,existing
P2,G2,B_batteries,G2-B_batteries-02,T023,3813.4451476222557,6797.151575972602,,,B03,existing
P2,G2,B_batteries,G2-B_batteries-03,T009,1559.571459127682,4026.563460352123,,,B04,existing
P2,G2,B_batteries,G2-B_batteries-04,T013,1849.538990155568,5766.825889128154,,,NEW-B_batteries-01,procurement_required
P2,G2,C_batteries,G2-C_batteries-01,T012,1434.4262775174655,6042.173636247587,,,C03,existing
P2,G2,C_batteries,G2-C_batteries-02,T010,1573.847164711974,6060.319959322176,,,C04,existing
P2,G2,C_batteries,G2-C_batteries-03,T018,3554.5080187959184,8488.671819628082,,,NEW-C_batteries-01,procurement_required
P2,G2,C_batteries,G2-C_batteries-04,T019,3983.445147622255,8691.306994010145,,,NEW-C_batteries-02,procurement_required
P2,G2,relay_aircraft,G2-relay_aircraft-01,R004,112.18236555369113,2316.241926438498,R001,5.742557302884961,R01,existing
P2,G2,relay_aircraft,G2-relay_aircraft-01,R001,2321.984483741383,6468.74278647859,,,R01,existing
P2,G2,relay_aircraft,G2-relay_aircraft-02,R002,753.2275656285582,4099.753205861812,R003,57.878040381520805,R02,existing
P2,G2,relay_aircraft,G2-relay_aircraft-02,R003,4157.6312462433325,6556.3511787720945,,,R02,existing
P2,G2,relay_components,G2-relay_components-01,R004,112.18236555369113,2713.9663033051315,R003,1443.664942938201,RE01,existing
P2,G2,relay_components,G2-relay_components-01,R003,4157.6312462433325,6985.859859707326,,,RE01,existing
P2,G2,relay_components,G2-relay_components-02,R002,753.2275656285582,4646.914852249944,,,RE02,existing
P2,G2,relay_components,G2-relay_components-03,R001,2321.984483741383,7103.923055874952,,,RE03,existing
P1,G1,A_aircraft,G1-A_aircraft-01,T005,0.0,1312.470877312685,,,U01,existing
P1,G1,C_aircraft,G1-C_aircraft-01,T001,0.0,1561.4261775174655,,,U07,existing
P1,G1,C_aircraft,G1-C_aircraft-02,T003,0.0,1429.4261775174655,,,U08,existing
P1,G1,A_batteries,G1-A_batteries-01,T005,0.0,2178.7887122874713,,,A01,existing
P1,G1,C_batteries,G1-C_batteries-01,T001,0.0,3150.0928537629516,,,C01,existing
P1,G1,C_batteries,G1-C_batteries-02,T003,0.0,2947.606630665684,,,C02,existing
P1,G2,A_aircraft,G2-A_aircraft-01,T017,0.0,2343.847074711972,T016,5.0001000000015665,U02,existing
P1,G2,A_aircraft,G2-A_aircraft-01,T016,2348.8471747119734,4044.605279380438,T022,194.83986824181784,U02,existing
P1,G2,A_aircraft,G2-A_aircraft-01,T022,4239.445147622256,5930.979633861205,,,U02,existing
P1,G2,A_aircraft,G2-A_aircraft-02,T011,0.04146730161210144,2130.6805560611947,T007,5.166608650779835,U03,existing
P1,G2,A_aircraft,G2-A_aircraft-02,T007,2135.8471647119745,4743.888061820897,,,U03,existing
P1,G2,A_aircraft,G2-A_aircraft-03,T004,585.0414670074815,2866.501425843873,T014,733.943721778382,U04,existing
P1,G2,A_aircraft,G2-A_aircraft-03,T014,3600.4451476222553,6081.394562562773,,,U04,existing
P1,G2,A_aircraft,G2-A_aircraft-04,T002,1317.8471647119738,3915.975355396822,T020,5.000100000000657,NEW-A_aircraft-01,procurement_required
P1,G2,A_aircraft,G2-A_aircraft-04,T020,3920.975455396823,5891.185302373642,,,NEW-A_aircraft-01,procurement_required
P1,G2,B_aircraft,G2-B_aircraft-01,T008,0.0,1844.5388901555675,T013,5.00010000000043,U05,existing
P1,G2,B_aircraft,G2-B_aircraft-01,T013,1849.538990155568,3807.5802616425626,T023,5.864885979693099,U05,existing
P1,G2,B_aircraft,G2-B_aircraft-01,T023,3813.4451476222557,5332.469492034111,,,U05,existing
P1,G2,B_aircraft,G2-B_aircraft-02,T015,0.0,1554.5713591276817,T009,5.000100000000202,U06,existing
P1,G2,B_aircraft,G2-B_aircraft-02,T009,1559.571459127682,2829.55137639695,T006,185.80622465362376,U06,existing
P1,G2,B_aircraft,G2-B_aircraft-02,T006,3015.357601050574,4204.987886787013,T021,5.457260835242778,U06,existing
P1,G2,B_aircraft,G2-B_aircraft-02,T021,4210.445147622256,6108.48641910925,,,U06,existing
