partition,group,resource_type,resource_id,task,start,release,next_task,handoff_slack_seconds,physical_id,inventory_status
P3,G1,A_aircraft,G1-A_aircraft-01,T005,0.0,1312.470877312685,T002,5.000099999999975,U01,existing
P3,G1,A_aircraft,G1-A_aircraft-01,T002,1317.470977312685,3915.599167997533,T020,5.000100000001112,U01,existing
P3,G1,A_aircraft,G1-A_aircraft-01,T020,3920.5992679975343,5890.809114974353,,,U01,existing
P3,G1,A_aircraft,G1-A_aircraft-02,T011,0.0,2130.6390887595826,T007,14.323297505126448,U02,existing
P3,G1,A_aircraft,G1-A_aircraft-02,T007,2144.962386264709,4753.003283373631,,,U02,existing
P3,G1,A_aircraft,G1-A_aircraft-03,T017,0.0,2343.847074711972,T022,5.0001000000015665,U03,existing
P3,G1,A_aircraft,G1-A_aircraft-03,T022,2348.8471747119734,4040.3816609509227,,,U03,existing
P3,G1,A_aircraft,G1-A_aircraft-04,T004,664.0000000000011,2945.4599588363926,T016,547.964224891622,U04,existing
P3,G1,A_aircraft,G1-A_aircraft-04,T016,3493.4241837280147,5189.18228839648,,,U04,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T008,0.0,1844.5388901555675,T009,5.000100000000202,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T009,1849.5389901555677,3119.518907424836,T013,5.0000999999997475,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T013,3124.5190074248358,5082.56027891183,T023,5.000099999999293,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T023,5087.5603789118295,6606.584723323685,,,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-02,T015,10.895187918082229,1565.466547045764,T021,5.000100000000202,U06,existing
P3,G1,B_aircraft,G1-B_aircraft-02,T021,1570.4666470457641,3468.507918532759,T014,5.000100000000202,U06,existing
P3,G1,B_aircraft,G1-B_aircraft-02,T014,3473.5080185327593,5693.387856881656,,,U06,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T001,0.0,1561.4261775174655,T010,103.53620874724334,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T010,1664.9623862647088,4069.56026917499,T018,5.000100000000202,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T018,4074.5603691749902,6510.369890032639,,,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-02,T003,0.0,1429.4261775174655,T012,5.000099999999975,U08,existing
P3,G1,C_aircraft,G1-C_aircraft-02,T012,1434.4262775174655,3549.507918795918,T019,5.000100000000202,U08,existing
P3,G1,C_aircraft,G1-C_aircraft-02,T019,3554.5080187959184,5793.69208376376,,,U08,existing
P3,G1,A_batteries,G1-A_batteries-01,T005,0.0,2178.7887122874713,T022,170.05846242450207,A01,existing
P3,G1,A_batteries,G1-A_batteries-01,T022,2348.8471747119734,5215.876167630378,,,A01,existing
P3,G1,A_batteries,G1-A_batteries-02,T011,0.0,3488.424083728015,T016,5.0000999999997475,A02,existing
P3,G1,A_batteries,G1-A_batteries-02,T016,3493.4241837280147,6325.158600552681,,,A02,existing
P3,G1,A_batteries,G1-A_batteries-03,T017,0.0,3707.4110579615462,T020,213.18821003598805,A03,existing
P3,G1,A_batteries,G1-A_batteries-03,T020,3920.5992679975343,7130.809765661429,,,A03,existing
P3,G1,A_batteries,G1-A_batteries-04,T004,664.0000000000011,4313.403580614775,,,A04,existing
P3,G1,A_batteries,G1-A_batteries-05,T002,1317.470977312685,5411.551209414213,,,A05,existing
P3,G1,A_batteries,G1-A_batteries-06,T007,2144.962386264709,6206.266746457222,,,A06,existing
P3,G1,B_batteries,G1-B_batteries-01,T008,0.0,3433.200853234949,T014,40.307165297810116,B01,existing
P3,G1,B_batteries,G1-B_batteries-01,T014,3473.5080185327593,7496.6987132717495,,,B01,existing
P3,G1,B_batteries,G1-B_batteries-02,T015,10.895187918082229,3021.2526889686565,T013,103.2663184561793,B02,existing
P3,G1,B_batteries,G1-B_batteries-02,T013,3124.5190074248358,7041.805906397421,,,B02,existing
P3,G1,B_batteries,G1-B_batteries-03,T021,1570.4666470457641,5335.690070450369,,,B03,existing
P3,G1,B_batteries,G1-B_batteries-04,T009,1849.5389901555677,4316.530991380008,T023,771.0293875318212,B04,existing
P3,G1,B_batteries,G1-B_batteries-04,T023,5087.5603789118295,8071.2668072621755,,,B04,existing
P3,G1,C_batteries,G1-C_batteries-01,T001,0.0,3150.0928537629516,T018,924.4675154120387,C01,existing
P3,G1,C_batteries,G1-C_batteries-01,T018,4074.5603691749902,9008.724170007154,,,C01,existing
P3,G1,C_batteries,G1-C_batteries-02,T003,0.0,2947.606630665684,T019,606.9013881302344,C02,existing
P3,G1,C_batteries,G1-C_batteries-02,T019,3554.5080187959184,8262.36986518381,,,C02,existing
P3,G1,C_batteries,G1-C_batteries-03,T012,1434.4262775174655,6042.173636247587,,,C03,existing
P3,G1,C_batteries,G1-C_batteries-04,T010,1664.9623862647088,6151.435180874911,,,C04,existing
P3,G1,relay_aircraft,G1-relay_aircraft-01,R003,123.07755347177313,2315.2419264384966,R001,97.85777885562084,R01,existing
P3,G1,relay_aircraft,G1-relay_aircraft-01,R001,2413.0997052941175,6937.858017768163,,,R01,existing
P3,G1,relay_aircraft,G1-relay_aircraft-02,R002,832.1860986210777,6127.414049945757,,,R02,existing
P3,G1,relay_components,G1-relay_components-01,R003,123.07755347177313,2711.4897304993265,,,RE01,existing
P3,G1,relay_components,G1-relay_components-02,R002,832.1860986210777,6916.471903353051,,,RE02,existing
P3,G1,relay_components,G1-relay_components-03,R001,2413.0997052941175,7619.960163373179,,,RE03,existing
P3,G2,B_aircraft,G2-B_aircraft-01,T006,5698.387956881657,6888.018242618096,,,NEW-B_aircraft-01,procurement_required
P3,G2,B_batteries,G2-B_batteries-01,T006,5698.387956881657,8021.459119580977,,,NEW-B_batteries-01,procurement_required
P2,G1,A_aircraft,G1-A_aircraft-01,T005,0.0,1312.470877312685,,,U01,existing
P2,G1,B_aircraft,G1-B_aircraft-01,T006,5698.387956881657,6888.018242618096,,,U05,existing
P2,G1,C_aircraft,G1-C_aircraft-01,T001,0.0,1561.4261775174655,,,U07,existing
P2,G1,C_aircraft,G1-C_aircraft-02,T003,0.0,1429.4261775174655,,,U08,existing
P2,G1,A_batteries,G1-A_batteries-01,T005,0.0,2178.7887122874713,,,A01,existing
P2,G1,B_batteries,G1-B_batteries-01,T006,5698.387956881657,8021.459119580977,,,B01,existing
P2,G1,C_batteries,G1-C_batteries-01,T001,0.0,3150.0928537629516,,,C01,existing
P2,G1,C_batteries,G1-C_batteries-02,T003,0.0,2947.606630665684,,,C02,existing
P2,G2,A_aircraft,G2-A_aircraft-01,T011,0.0,2130.6390887595826,T007,14.323297505126448,U02,existing
P2,G2,A_aircraft,G2-A_aircraft-01,T007,2144.962386264709,4753.003283373631,,,U02,existing
P2,G2,A_aircraft,G2-A_aircraft-02,T017,0.0,2343.847074711972,T022,5.0001000000015665,U03,existing
P2,G2,A_aircraft,G2-A_aircraft-02,T022,2348.8471747119734,4040.3816609509227,,,U03,existing
P2,G2,A_aircraft,G2-A_aircraft-03,T004,664.0000000000011,2945.4599588363926,T016,547.964224891622,U04,existing
P2,G2,A_aircraft,G2-A_aircraft-03,T016,3493.4241837280147,5189.18228839648,,,U04,existing
P2,G2,A_aircraft,G2-A_aircraft-04,T002,1317.470977312685,3915.599167997533,T020,5.000100000001112,NEW-A_aircraft-01,procurement_required
P2,G2,A_aircraft,G2-A_aircraft-04,T020,3920.5992679975343,5890.809114974353,,,NEW-A_aircraft-01,procurement_required
P2,G2,B_aircraft,G2-B_aircraft-01,T008,0.0,1844.5388901555675,T009,5.000100000000202,U06,existing
P2,G2,B_aircraft,G2-B_aircraft-01,T009,1849.5389901555677,3119.518907424836,T013,5.0000999999997475,U06,existing
P2,G2,B_aircraft,G2-B_aircraft-01,T013,3124.5190074248358,5082.56027891183,T023,5.000099999999293,U06,existing
P2,G2,B_aircraft,G2-B_aircraft-01,T023,5087.5603789118295,6606.584723323685,,,U06,existing
P2,G2,B_aircraft,G2-B_aircraft-02,T015,10.895187918082229,1565.466547045764,T021,5.000100000000202,NEW-B_aircraft-01,procurement_required
P2,G2,B_aircraft,G2-B_aircraft-02,T021,1570.4666470457641,3468.507918532759,T014,5.000100000000202,NEW-B_aircraft-01,procurement_required
P2,G2,B_aircraft,G2-B_aircraft-02,T014,3473.5080185327593,5693.387856881656,,,NEW-B_aircraft-01,procurement_required
P2,G2,C_aircraft,G2-C_aircraft-01,T012,1434.4262775174655,3549.507918795918,T019,5.000100000000202,NEW-C_aircraft-01,procurement_required
P2,G2,C_aircraft,G2-C_aircraft-01,T019,3554.5080187959184,5793.69208376376,,,NEW-C_aircraft-01,procurement_required
P2,G2,C_aircraft,G2-C_aircraft-02,T010,1664.9623862647088,4069.56026917499,T018,5.000100000000202,NEW-C_aircraft-02,procurement_required
P2,G2,C_aircraft,G2-C_aircraft-02,T018,4074.5603691749902,6510.369890032639,,,NEW-C_aircraft-02,procurement_required
P2,G2,A_batteries,G2-A_batteries-01,T011,0.0,3488.424083728015,T016,5.0000999999997475,A02,existing
P2,G2,A_batteries,G2-A_batteries-01,T016,3493.4241837280147,6325.158600552681,,,A02,existing
P2,G2,A_batteries,G2-A_batteries-02,T017,0.0,3707.4110579615462,T020,213.18821003598805,A03,existing
P2,G2,A_batteries,G2-A_batteries-02,T020,3920.5992679975343,7130.809765661429,,,A03,existing
P2,G2,A_batteries,G2-A_batteries-03,T004,664.0000000000011,4313.403580614775,,,A04,existing
P2,G2,A_batteries,G2-A_batteries-04,T002,1317.470977312685,5411.551209414213,,,A05,existing
P2,G2,A_batteries,G2-A_batteries-05,T007,2144.962386264709,6206.266746457222,,,A06,existing
P2,G2,A_batteries,G2-A_batteries-06,T022,2348.8471747119734,5215.876167630378,,,NEW-A_batteries-01,procurement_required
P2,G2,B_batteries,G2-B_batteries-01,T008,0.0,3433.200853234949,T014,40.307165297810116,B02,existing
P2,G2,B_batteries,G2-B_batteries-01,T014,3473.5080185327593,7496.6987132717495,,,B02,existing
P2,G2,B_batteries,G2-B_batteries-02,T015,10.895187918082229,3021.2526889686565,T013,103.2663184561793,B03,existing
P2,G2,B_batteries,G2-B_batteries-02,T013,3124.5190074248358,7041.805906397421,,,B03,existing
P2,G2,B_batteries,G2-B_batteries-03,T021,1570.4666470457641,5335.690070450369,,,B04,existing
P2,G2,B_batteries,G2-B_batteries-04,T009,1849.5389901555677,4316.530991380008,T023,771.0293875318212,NEW-B_batteries-01,procurement_required
P2,G2,B_batteries,G2-B_batteries-04,T023,5087.5603789118295,8071.2668072621755,,,NEW-B_batteries-01,procurement_required
P2,G2,C_batteries,G2-C_batteries-01,T012,1434.4262775174655,6042.173636247587,,,C03,existing
P2,G2,C_batteries,G2-C_batteries-02,T010,1664.9623862647088,6151.435180874911,,,C04,existing
P2,G2,C_batteries,G2-C_batteries-03,T019,3554.5080187959184,8262.36986518381,,,NEW-C_batteries-01,procurement_required
P2,G2,C_batteries,G2-C_batteries-04,T018,4074.5603691749902,9008.724170007154,,,NEW-C_batteries-02,procurement_required
P2,G2,relay_aircraft,G2-relay_aircraft-01,R003,123.07755347177313,2315.2419264384966,R001,97.85777885562084,R01,existing
P2,G2,relay_aircraft,G2-relay_aircraft-01,R001,2413.0997052941175,6937.858017768163,,,R01,existing
P2,G2,relay_aircraft,G2-relay_aircraft-02,R002,832.1860986210777,6127.414049945757,,,R02,existing
P2,G2,relay_components,G2-relay_components-01,R003,123.07755347177313,2711.4897304993265,,,RE01,existing
P2,G2,relay_components,G2-relay_components-02,R002,832.1860986210777,6916.471903353051,,,RE02,existing
P2,G2,relay_components,G2-relay_components-03,R001,2413.0997052941175,7619.960163373179,,,RE03,existing
P1,G1,A_aircraft,G1-A_aircraft-01,T005,0.0,1312.470877312685,,,U01,existing
P1,G1,C_aircraft,G1-C_aircraft-01,T001,0.0,1561.4261775174655,,,U07,existing
P1,G1,C_aircraft,G1-C_aircraft-02,T003,0.0,1429.4261775174655,,,U08,existing
P1,G1,A_batteries,G1-A_batteries-01,T005,0.0,2178.7887122874713,,,A01,existing
P1,G1,C_batteries,G1-C_batteries-01,T001,0.0,3150.0928537629516,,,C01,existing
P1,G1,C_batteries,G1-C_batteries-02,T003,0.0,2947.606630665684,,,C02,existing
P1,G2,A_aircraft,G2-A_aircraft-01,T011,0.0,2130.6390887595826,T007,14.323297505126448,U02,existing
P1,G2,A_aircraft,G2-A_aircraft-01,T007,2144.962386264709,4753.003283373631,,,U02,existing
P1,G2,A_aircraft,G2-A_aircraft-02,T017,0.0,2343.847074711972,T022,5.0001000000015665,U03,existing
P1,G2,A_aircraft,G2-A_aircraft-02,T022,2348.8471747119734,4040.3816609509227,,,U03,existing
P1,G2,A_aircraft,G2-A_aircraft-03,T004,664.0000000000011,2945.4599588363926,T016,547.964224891622,U04,existing
P1,G2,A_aircraft,G2-A_aircraft-03,T016,3493.4241837280147,5189.18228839648,,,U04,existing
P1,G2,A_aircraft,G2-A_aircraft-04,T002,1317.470977312685,3915.599167997533,T020,5.000100000001112,NEW-A_aircraft-01,procurement_required
P1,G2,A_aircraft,G2-A_aircraft-04,T020,3920.5992679975343,5890.809114974353,,,NEW-A_aircraft-01,procurement_required
P1,G2,B_aircraft,G2-B_aircraft-01,T008,0.0,1844.5388901555675,T009,5.000100000000202,U05,existing
P1,G2,B_aircraft,G2-B_aircraft-01,T009,1849.5389901555677,3119.518907424836,T013,5.0000999999997475,U05,existing
P1,G2,B_aircraft,G2-B_aircraft-01,T013,3124.5190074248358,5082.56027891183,T023,5.000099999999293,U05,existing
P1,G2,B_aircraft,G2-B_aircraft-01,T023,5087.5603789118295,6606.584723323685,,,U05,existing
P1,G2,B_aircraft,G2-B_aircraft-02,T015,10.895187918082229,1565.466547045764,T021,5.000100000000202,U06,existing
P1,G2,B_aircraft,G2-B_aircraft-02,T021,1570.4666470457641,3468.507918532759,T014,5.000100000000202,U06,existing
P1,G2,B_aircraft,G2-B_aircraft-02,T014,3473.5080185327593,5693.387856881656,T006,5.000100000001112,U06,existing
P1,G2,B_aircraft,G2-B_aircraft-02,T006,5698.387956881657,6888.018242618096,,,U06,existing
P1,G2,C_aircraft,G2-C_aircraft-01,T012,1434.4262775174655,3549.507918795918,T019,5.000100000000202,NEW-C_aircraft-01,procurement_required
P1,G2,C_aircraft,G2-C_aircraft-01,T019,3554.5080187959184,5793.69208376376,,,NEW-C_aircraft-01,procurement_required
P1,G2,C_aircraft,G2-C_aircraft-02,T010,1664.9623862647088,4069.56026917499,T018,5.000100000000202,NEW-C_aircraft-02,procurement_required
P1,G2,C_aircraft,G2-C_aircraft-02,T018,4074.5603691749902,6510.369890032639,,,NEW-C_aircraft-02,procurement_required
P1,G2,A_batteries,G2-A_batteries-01,T011,0.0,3488.424083728015,T016,5.0000999999997475,A02,existing
P1,G2,A_batteries,G2-A_batteries-01,T016,3493.4241837280147,6325.158600552681,,,A02,existing
P1,G2,A_batteries,G2-A_batteries-02,T017,0.0,3707.4110579615462,T020,213.18821003598805,A03,existing
P1,G2,A_batteries,G2-A_batteries-02,T020,3920.5992679975343,7130.809765661429,,,A03,existing
P1,G2,A_batteries,G2-A_batteries-03,T004,664.0000000000011,4313.403580614775,,,A04,existing
P1,G2,A_batteries,G2-A_batteries-04,T002,1317.470977312685,5411.551209414213,,,A05,existing
P1,G2,A_batteries,G2-A_batteries-05,T007,2144.962386264709,6206.266746457222,,,A06,existing
P1,G2,A_batteries,G2-A_batteries-06,T022,2348.8471747119734,5215.876167630378,,,NEW-A_batteries-01,procurement_required
P1,G2,B_batteries,G2-B_batteries-01,T008,0.0,3433.200853234949,T014,40.307165297810116,B01,existing
P1,G2,B_batteries,G2-B_batteries-01,T014,3473.5080185327593,7496.6987132717495,,,B01,existing
P1,G2,B_batteries,G2-B_batteries-02,T015,10.895187918082229,3021.2526889686565,T013,103.2663184561793,B02,existing
P1,G2,B_batteries,G2-B_batteries-02,T013,3124.5190074248358,7041.805906397421,,,B02,existing
P1,G2,B_batteries,G2-B_batteries-03,T021,1570.4666470457641,5335.690070450369,T006,362.6978864312887,B03,existing
P1,G2,B_batteries,G2-B_batteries-03,T006,5698.387956881657,8021.459119580977,,,B03,existing
P1,G2,B_batteries,G2-B_batteries-04,T009,1849.5389901555677,4316.530991380008,T023,771.0293875318212,B04,existing
P1,G2,B_batteries,G2-B_batteries-04,T023,5087.5603789118295,8071.2668072621755,,,B04,existing
P1,G2,C_batteries,G2-C_batteries-01,T012,1434.4262775174655,6042.173636247587,,,C03,existing
P1,G2,C_batteries,G2-C_batteries-02,T010,1664.9623862647088,6151.435180874911,,,C04,existing
P1,G2,C_batteries,G2-C_batteries-03,T019,3554.5080187959184,8262.36986518381,,,NEW-C_batteries-01,procurement_required
P1,G2,C_batteries,G2-C_batteries-04,T018,4074.5603691749902,9008.724170007154,,,NEW-C_batteries-02,procurement_required
P1,G2,relay_aircraft,G2-relay_aircraft-01,R003,123.07755347177313,2315.2419264384966,R001,97.85777885562084,R01,existing
P1,G2,relay_aircraft,G2-relay_aircraft-01,R001,2413.0997052941175,6937.858017768163,,,R01,existing
P1,G2,relay_aircraft,G2-relay_aircraft-02,R002,832.1860986210777,6127.414049945757,,,R02,existing
P1,G2,relay_components,G2-relay_components-01,R003,123.07755347177313,2711.4897304993265,,,RE01,existing
P1,G2,relay_components,G2-relay_components-02,R002,832.1860986210777,6916.471903353051,,,RE02,existing
P1,G2,relay_components,G2-relay_components-03,R001,2413.0997052941175,7619.960163373179,,,RE03,existing
P4,G1,A_aircraft,G1-A_aircraft-01,T005,0.0,1312.470877312685,,,U01,existing
P4,G1,C_aircraft,G1-C_aircraft-01,T001,0.0,1561.4261775174655,,,U07,existing
P4,G1,C_aircraft,G1-C_aircraft-02,T003,0.0,1429.4261775174655,,,U08,existing
P4,G1,A_batteries,G1-A_batteries-01,T005,0.0,2178.7887122874713,,,A01,existing
P4,G1,C_batteries,G1-C_batteries-01,T001,0.0,3150.0928537629516,,,C01,existing
P4,G1,C_batteries,G1-C_batteries-02,T003,0.0,2947.606630665684,,,C02,existing
P4,G2,A_aircraft,G2-A_aircraft-01,T011,0.0,2130.6390887595826,T007,14.323297505126448,U02,existing
P4,G2,A_aircraft,G2-A_aircraft-01,T007,2144.962386264709,4753.003283373631,,,U02,existing
P4,G2,A_aircraft,G2-A_aircraft-02,T017,0.0,2343.847074711972,T022,5.0001000000015665,U03,existing
P4,G2,A_aircraft,G2-A_aircraft-02,T022,2348.8471747119734,4040.3816609509227,,,U03,existing
P4,G2,A_aircraft,G2-A_aircraft-03,T004,664.0000000000011,2945.4599588363926,T016,547.964224891622,U04,existing
P4,G2,A_aircraft,G2-A_aircraft-03,T016,3493.4241837280147,5189.18228839648,,,U04,existing
P4,G2,A_aircraft,G2-A_aircraft-04,T002,1317.470977312685,3915.599167997533,T020,5.000100000001112,NEW-A_aircraft-01,procurement_required
P4,G2,A_aircraft,G2-A_aircraft-04,T020,3920.5992679975343,5890.809114974353,,,NEW-A_aircraft-01,procurement_required
P4,G2,B_aircraft,G2-B_aircraft-01,T008,0.0,1844.5388901555675,T009,5.000100000000202,U05,existing
P4,G2,B_aircraft,G2-B_aircraft-01,T009,1849.5389901555677,3119.518907424836,T013,5.0000999999997475,U05,existing
P4,G2,B_aircraft,G2-B_aircraft-01,T013,3124.5190074248358,5082.56027891183,T023,5.000099999999293,U05,existing
P4,G2,B_aircraft,G2-B_aircraft-01,T023,5087.5603789118295,6606.584723323685,,,U05,existing
P4,G2,B_aircraft,G2-B_aircraft-02,T015,10.895187918082229,1565.466547045764,T021,5.000100000000202,U06,existing
P4,G2,B_aircraft,G2-B_aircraft-02,T021,1570.4666470457641,3468.507918532759,T014,5.000100000000202,U06,existing
P4,G2,B_aircraft,G2-B_aircraft-02,T014,3473.5080185327593,5693.387856881656,,,U06,existing
P4,G2,C_aircraft,G2-C_aircraft-01,T012,1434.4262775174655,3549.507918795918,T019,5.000100000000202,NEW-C_aircraft-01,procurement_required
P4,G2,C_aircraft,G2-C_aircraft-01,T019,3554.5080187959184,5793.69208376376,,,NEW-C_aircraft-01,procurement_required
P4,G2,C_aircraft,G2-C_aircraft-02,T010,1664.9623862647088,4069.56026917499,T018,5.000100000000202,NEW-C_aircraft-02,procurement_required
P4,G2,C_aircraft,G2-C_aircraft-02,T018,4074.5603691749902,6510.369890032639,,,NEW-C_aircraft-02,procurement_required
P4,G2,A_batteries,G2-A_batteries-01,T011,0.0,3488.424083728015,T016,5.0000999999997475,A02,existing
P4,G2,A_batteries,G2-A_batteries-01,T016,3493.4241837280147,6325.158600552681,,,A02,existing
P4,G2,A_batteries,G2-A_batteries-02,T017,0.0,3707.4110579615462,T020,213.18821003598805,A03,existing
P4,G2,A_batteries,G2-A_batteries-02,T020,3920.5992679975343,7130.809765661429,,,A03,existing
P4,G2,A_batteries,G2-A_batteries-03,T004,664.0000000000011,4313.403580614775,,,A04,existing
P4,G2,A_batteries,G2-A_batteries-04,T002,1317.470977312685,5411.551209414213,,,A05,existing
P4,G2,A_batteries,G2-A_batteries-05,T007,2144.962386264709,6206.266746457222,,,A06,existing
P4,G2,A_batteries,G2-A_batteries-06,T022,2348.8471747119734,5215.876167630378,,,NEW-A_batteries-01,procurement_required
P4,G2,B_batteries,G2-B_batteries-01,T008,0.0,3433.200853234949,T014,40.307165297810116,B01,existing
P4,G2,B_batteries,G2-B_batteries-01,T014,3473.5080185327593,7496.6987132717495,,,B01,existing
P4,G2,B_batteries,G2-B_batteries-02,T015,10.895187918082229,3021.2526889686565,T013,103.2663184561793,B02,existing
P4,G2,B_batteries,G2-B_batteries-02,T013,3124.5190074248358,7041.805906397421,,,B02,existing
P4,G2,B_batteries,G2-B_batteries-03,T021,1570.4666470457641,5335.690070450369,,,B03,existing
P4,G2,B_batteries,G2-B_batteries-04,T009,1849.5389901555677,4316.530991380008,T023,771.0293875318212,B04,existing
P4,G2,B_batteries,G2-B_batteries-04,T023,5087.5603789118295,8071.2668072621755,,,B04,existing
P4,G2,C_batteries,G2-C_batteries-01,T012,1434.4262775174655,6042.173636247587,,,C03,existing
P4,G2,C_batteries,G2-C_batteries-02,T010,1664.9623862647088,6151.435180874911,,,C04,existing
P4,G2,C_batteries,G2-C_batteries-03,T019,3554.5080187959184,8262.36986518381,,,NEW-C_batteries-01,procurement_required
P4,G2,C_batteries,G2-C_batteries-04,T018,4074.5603691749902,9008.724170007154,,,NEW-C_batteries-02,procurement_required
P4,G2,relay_aircraft,G2-relay_aircraft-01,R003,123.07755347177313,2315.2419264384966,R001,97.85777885562084,R01,existing
P4,G2,relay_aircraft,G2-relay_aircraft-01,R001,2413.0997052941175,6937.858017768163,,,R01,existing
P4,G2,relay_aircraft,G2-relay_aircraft-02,R002,832.1860986210777,6127.414049945757,,,R02,existing
P4,G2,relay_components,G2-relay_components-01,R003,123.07755347177313,2711.4897304993265,,,RE01,existing
P4,G2,relay_components,G2-relay_components-02,R002,832.1860986210777,6916.471903353051,,,RE02,existing
P4,G2,relay_components,G2-relay_components-03,R001,2413.0997052941175,7619.960163373179,,,RE03,existing
P4,G3,B_aircraft,G3-B_aircraft-01,T006,5698.387956881657,6888.018242618096,,,NEW-B_aircraft-01,procurement_required
P4,G3,B_batteries,G3-B_batteries-01,T006,5698.387956881657,8021.459119580977,,,NEW-B_batteries-01,procurement_required
