partition,group,resource_type,resource_id,task,start,release,next_task,handoff_slack_seconds,physical_id,inventory_status
P3,G1,A_aircraft,G1-A_aircraft-01,T005,0.0,1312.470877312685,T002,63.474581686191414,U01,existing
P3,G1,A_aircraft,G1-A_aircraft-01,T002,1375.9454589988763,3974.0736496837244,T022,7.416126158473617,U01,existing
P3,G1,A_aircraft,G1-A_aircraft-01,T022,3981.489775842198,5673.024262081148,,,U01,existing
P3,G1,A_aircraft,G1-A_aircraft-02,T011,21.999999999999545,2152.639088759582,T007,72.30637023929512,U02,existing
P3,G1,A_aircraft,G1-A_aircraft-02,T007,2224.9454589988773,4832.986356107799,,,U02,existing
P3,G1,A_aircraft,G1-A_aircraft-03,T017,32.0,2375.847074711972,T016,5.000100000000657,U03,existing
P3,G1,A_aircraft,G1-A_aircraft-03,T016,2380.8471747119725,4076.605279380437,,,U03,existing
P3,G1,A_aircraft,G1-A_aircraft-04,T004,696.0,2977.4599588363917,T020,537.9642248916239,U04,existing
P3,G1,A_aircraft,G1-A_aircraft-04,T020,3515.4241837280156,5485.634030704834,,,U04,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T008,0.0,1844.5388901555675,T009,5.000100000000202,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T009,1849.5389901555677,3119.518907424836,T023,5.0000999999997475,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T023,3124.5190074248358,4643.543351836691,T021,5.000100000000202,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T021,4648.543451836691,6546.5847233236855,,,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-02,T015,43.85481838978376,1598.4261775174655,T013,5.00010000000043,U06,existing
P3,G1,B_aircraft,G1-B_aircraft-02,T013,1603.426277517466,3561.467549004461,T014,24.022226837736525,U06,existing
P3,G1,B_aircraft,G1-B_aircraft-02,T014,3585.4897758421976,5805.369614191095,,,U06,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T001,0.0,1561.4261775174655,T010,183.51928148141133,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T010,1744.9454589988768,4149.543341909157,T019,5.000100000000202,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T019,4154.543441909157,6393.727506876999,,,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-02,T003,0.0,1429.4261775174655,T012,5.000099999999975,U08,existing
P3,G1,C_aircraft,G1-C_aircraft-02,T012,1434.4262775174655,3549.507918795918,T018,5.000100000000202,U08,existing
P3,G1,C_aircraft,G1-C_aircraft-02,T018,3554.5080187959184,5990.317539653567,,,U08,existing
P3,G1,A_batteries,G1-A_batteries-01,T005,0.0,2178.7887122874713,T007,46.15674671140596,A01,existing
P3,G1,A_batteries,G1-A_batteries-01,T007,2224.9454589988773,6286.24981919139,,,A01,existing
P3,G1,A_batteries,G1-A_batteries-02,T011,21.999999999999545,3510.4240837280145,T020,5.000100000001112,A02,existing
P3,G1,A_batteries,G1-A_batteries-02,T020,3515.4241837280156,6725.63468139191,,,A02,existing
P3,G1,A_batteries,G1-A_batteries-03,T017,32.0,3739.4110579615462,T022,242.07871788065177,A03,existing
P3,G1,A_batteries,G1-A_batteries-03,T022,3981.489775842198,6848.518768760603,,,A03,existing
P3,G1,A_batteries,G1-A_batteries-04,T004,696.0,4345.403580614774,,,A04,existing
P3,G1,A_batteries,G1-A_batteries-05,T002,1375.9454589988763,5470.025691100404,,,A05,existing
P3,G1,A_batteries,G1-A_batteries-06,T016,2380.8471747119725,5212.581591536638,,,A06,existing
P3,G1,B_batteries,G1-B_batteries-01,T008,0.0,3433.200853234949,T014,152.28892260724842,B01,existing
P3,G1,B_batteries,G1-B_batteries-01,T014,3585.4897758421976,7608.680470581188,,,B01,existing
P3,G1,B_batteries,G1-B_batteries-02,T015,43.85481838978376,3054.212319440358,T023,70.30668798447778,B02,existing
P3,G1,B_batteries,G1-B_batteries-02,T023,3124.5190074248358,6108.225435775182,,,B02,existing
P3,G1,B_batteries,G1-B_batteries-03,T013,1603.426277517466,5520.713176490051,,,B03,existing
P3,G1,B_batteries,G1-B_batteries-04,T009,1849.5389901555677,4316.530991380008,T021,332.0124604566827,B04,existing
P3,G1,B_batteries,G1-B_batteries-04,T021,4648.543451836691,8413.766875241296,,,B04,existing
P3,G1,C_batteries,G1-C_batteries-01,T001,0.0,3150.0928537629516,T019,1004.4505881462055,C01,existing
P3,G1,C_batteries,G1-C_batteries-01,T019,4154.543441909157,8862.405288297046,,,C01,existing
P3,G1,C_batteries,G1-C_batteries-02,T003,0.0,2947.606630665684,T018,606.9013881302344,C02,existing
P3,G1,C_batteries,G1-C_batteries-02,T018,3554.5080187959184,8488.671819628082,,,C02,existing
P3,G1,C_batteries,G1-C_batteries-03,T012,1434.4262775174655,6042.173636247587,,,C03,existing
P3,G1,C_batteries,G1-C_batteries-04,T010,1744.9454589988768,6231.4182536090775,,,C04,existing
P3,G1,relay_aircraft,G1-relay_aircraft-01,R004,156.03718394347464,2347.241926438497,R001,145.84085158978905,R01,existing
P3,G1,relay_aircraft,G1-relay_aircraft-01,R001,2493.082778028286,6243.841090693025,,,R01,existing
P3,G1,relay_aircraft,G1-relay_aircraft-02,R002,864.1860986210767,3996.3323086673045,R003,43.34356579597079,R02,existing
P3,G1,relay_aircraft,G1-relay_aircraft-02,R003,4039.6758744632752,7028.449482986529,,,R02,existing
P3,G1,relay_components,G1-relay_components-01,R004,156.03718394347464,2743.3706097029267,R003,1296.3052647603486,RE01,existing
P3,G1,relay_components,G1-relay_components-01,R003,4039.6758744632752,7531.2026740495485,,,RE01,existing
P3,G1,relay_components,G1-relay_components-02,R002,864.1860986210767,4516.8826195374295,,,RE02,existing
P3,G1,relay_components,G1-relay_components-03,R001,2493.082778028286,6829.865111321712,,,RE03,existing
P3,G2,B_aircraft,G2-B_aircraft-01,T006,5810.369714191098,6999.999999927537,,,NEW-B_aircraft-01,procurement_required
P3,G2,B_batteries,G2-B_batteries-01,T006,5810.369714191098,8133.440876890418,,,NEW-B_batteries-01,procurement_required
P2,G1,A_aircraft,G1-A_aircraft-01,T005,0.0,1312.470877312685,,,U01,existing
P2,G1,B_aircraft,G1-B_aircraft-01,T006,5810.369714191098,6999.999999927537,,,U05,existing
P2,G1,C_aircraft,G1-C_aircraft-01,T001,0.0,1561.4261775174655,,,U07,existing
P2,G1,C_aircraft,G1-C_aircraft-02,T003,0.0,1429.4261775174655,,,U08,existing
P2,G1,A_batteries,G1-A_batteries-01,T005,0.0,2178.7887122874713,,,A01,existing
P2,G1,B_batteries,G1-B_batteries-01,T006,5810.369714191098,8133.440876890418,,,B01,existing
P2,G1,C_batteries,G1-C_batteries-01,T001,0.0,3150.0928537629516,,,C01,existing
P2,G1,C_batteries,G1-C_batteries-02,T003,0.0,2947.606630665684,,,C02,existing
P2,G2,A_aircraft,G2-A_aircraft-01,T011,21.999999999999545,2152.639088759582,T007,72.30637023929512,U02,existing
P2,G2,A_aircraft,G2-A_aircraft-01,T007,2224.9454589988773,4832.986356107799,,,U02,existing
P2,G2,A_aircraft,G2-A_aircraft-02,T017,32.0,2375.847074711972,T016,5.000100000000657,U03,existing
P2,G2,A_aircraft,G2-A_aircraft-02,T016,2380.8471747119725,4076.605279380437,,,U03,existing
P2,G2,A_aircraft,G2-A_aircraft-03,T004,696.0,2977.4599588363917,T020,537.9642248916239,U04,existing
P2,G2,A_aircraft,G2-A_aircraft-03,T020,3515.4241837280156,5485.634030704834,,,U04,existing
P2,G2,A_aircraft,G2-A_aircraft-04,T002,1375.9454589988763,3974.0736496837244,T022,7.416126158473617,NEW-A_aircraft-01,procurement_required
P2,G2,A_aircraft,G2-A_aircraft-04,T022,3981.489775842198,5673.024262081148,,,NEW-A_aircraft-01,procurement_required
P2,G2,B_aircraft,G2-B_aircraft-01,T008,0.0,1844.5388901555675,T009,5.000100000000202,U06,existing
P2,G2,B_aircraft,G2-B_aircraft-01,T009,1849.5389901555677,3119.518907424836,T023,5.0000999999997475,U06,existing
P2,G2,B_aircraft,G2-B_aircraft-01,T023,3124.5190074248358,4643.543351836691,T021,5.000100000000202,U06,existing
P2,G2,B_aircraft,G2-B_aircraft-01,T021,4648.543451836691,6546.5847233236855,,,U06,existing
P2,G2,B_aircraft,G2-B_aircraft-02,T015,43.85481838978376,1598.4261775174655,T013,5.00010000000043,NEW-B_aircraft-01,procurement_required
P2,G2,B_aircraft,G2-B_aircraft-02,T013,1603.426277517466,3561.467549004461,T014,24.022226837736525,NEW-B_aircraft-01,procurement_required
P2,G2,B_aircraft,G2-B_aircraft-02,T014,3585.4897758421976,5805.369614191095,,,NEW-B_aircraft-01,procurement_required
P2,G2,C_aircraft,G2-C_aircraft-01,T012,1434.4262775174655,3549.507918795918,T018,5.000100000000202,NEW-C_aircraft-01,procurement_required
P2,G2,C_aircraft,G2-C_aircraft-01,T018,3554.5080187959184,5990.317539653567,,,NEW-C_aircraft-01,procurement_required
P2,G2,C_aircraft,G2-C_aircraft-02,T010,1744.9454589988768,4149.543341909157,T019,5.000100000000202,NEW-C_aircraft-02,procurement_required
P2,G2,C_aircraft,G2-C_aircraft-02,T019,4154.543441909157,6393.727506876999,,,NEW-C_aircraft-02,procurement_required
P2,G2,A_batteries,G2-A_batteries-01,T011,21.999999999999545,3510.4240837280145,T020,5.000100000001112,A02,existing
P2,G2,A_batteries,G2-A_batteries-01,T020,3515.4241837280156,6725.63468139191,,,A02,existing
P2,G2,A_batteries,G2-A_batteries-02,T017,32.0,3739.4110579615462,T022,242.07871788065177,A03,existing
P2,G2,A_batteries,G2-A_batteries-02,T022,3981.489775842198,6848.518768760603,,,A03,existing
P2,G2,A_batteries,G2-A_batteries-03,T004,696.0,4345.403580614774,,,A04,existing
P2,G2,A_batteries,G2-A_batteries-04,T002,1375.9454589988763,5470.025691100404,,,A05,existing
P2,G2,A_batteries,G2-A_batteries-05,T007,2224.9454589988773,6286.24981919139,,,A06,existing
P2,G2,A_batteries,G2-A_batteries-06,T016,2380.8471747119725,5212.581591536638,,,NEW-A_batteries-01,procurement_required
P2,G2,B_batteries,G2-B_batteries-01,T008,0.0,3433.200853234949,T014,152.28892260724842,B02,existing
P2,G2,B_batteries,G2-B_batteries-01,T014,3585.4897758421976,7608.680470581188,,,B02,existing
P2,G2,B_batteries,G2-B_batteries-02,T015,43.85481838978376,3054.212319440358,T023,70.30668798447778,B03,existing
P2,G2,B_batteries,G2-B_batteries-02,T023,3124.5190074248358,6108.225435775182,,,B03,existing
P2,G2,B_batteries,G2-B_batteries-03,T013,1603.426277517466,5520.713176490051,,,B04,existing
P2,G2,B_batteries,G2-B_batteries-04,T009,1849.5389901555677,4316.530991380008,T021,332.0124604566827,NEW-B_batteries-01,procurement_required
P2,G2,B_batteries,G2-B_batteries-04,T021,4648.543451836691,8413.766875241296,,,NEW-B_batteries-01,procurement_required
P2,G2,C_batteries,G2-C_batteries-01,T012,1434.4262775174655,6042.173636247587,,,C03,existing
P2,G2,C_batteries,G2-C_batteries-02,T010,1744.9454589988768,6231.4182536090775,,,C04,existing
P2,G2,C_batteries,G2-C_batteries-03,T018,3554.5080187959184,8488.671819628082,,,NEW-C_batteries-01,procurement_required
P2,G2,C_batteries,G2-C_batteries-04,T019,4154.543441909157,8862.405288297046,,,NEW-C_batteries-02,procurement_required
P2,G2,relay_aircraft,G2-relay_aircraft-01,R004,156.03718394347464,2347.241926438497,R001,145.84085158978905,R01,existing
P2,G2,relay_aircraft,G2-relay_aircraft-01,R001,2493.082778028286,6243.841090693025,,,R01,existing
P2,G2,relay_aircraft,G2-relay_aircraft-02,R002,864.1860986210767,3996.3323086673045,R003,43.34356579597079,R02,existing
P2,G2,relay_aircraft,G2-relay_aircraft-02,R003,4039.6758744632752,7028.449482986529,,,R02,existing
P2,G2,relay_components,G2-relay_components-01,R004,156.03718394347464,2743.3706097029267,R003,1296.3052647603486,RE01,existing
P2,G2,relay_components,G2-relay_components-01,R003,4039.6758744632752,7531.2026740495485,,,RE01,existing
P2,G2,relay_components,G2-relay_components-02,R002,864.1860986210767,4516.8826195374295,,,RE02,existing
P2,G2,relay_components,G2-relay_components-03,R001,2493.082778028286,6829.865111321712,,,RE03,existing
P1,G1,A_aircraft,G1-A_aircraft-01,T005,0.0,1312.470877312685,,,U01,existing
P1,G1,C_aircraft,G1-C_aircraft-01,T001,0.0,1561.4261775174655,,,U07,existing
