box,zone,time,baseline_time,hard_deadline,desired,priority
S001-FOD-01,S001,1248.8980887587327,1248.8980887587327,,7200,10
S001-FOD-02,S001,1248.8980887587327,1248.8980887587327,,7200,10
S001-FOD-03,S001,1248.8980887587327,1248.8980887587327,,7200,10
S001-HYG-01,S001,1248.8980887587327,1248.8980887587327,,10800,8
S001-HYG-02,S001,1116.8980887587327,2554.9332716367244,,10800,8
S001-MED-01,S001,969.3587719896758,969.3587719896758,3600,3600,24
S001-MED-02,S001,969.3587719896758,969.3587719896758,3600,3600,24
S001-WAT-01,S001,969.3587719896758,969.3587719896758,3600,3600,12
S001-WAT-02,S001,1116.8980887587327,2554.9332716367244,,3600,12
S001-WAT-03,S001,1116.8980887587327,2554.9332716367244,,3600,12
S001-WAT-04,S001,1116.8980887587327,2554.9332716367244,,3600,12
S001-WAT-05,S001,1116.8980887587327,2554.9332716367244,,3600,12
S001-WAT-06,S001,1248.8980887587327,1248.8980887587327,,3600,12
S001-WAT-07,S001,1248.8980887587327,1248.8980887587327,,3600,12
S001-WAT-08,S001,1248.8980887587327,1248.8980887587327,,3600,12
S002-FOD-01,S002,3445.062460874484,3445.0624608744824,,7200,10
S002-FOD-02,S002,3445.062460874484,3445.0624608744824,,7200,10
S002-HYG-01,S002,3445.062460874484,3445.0624608744824,,10800,8
S002-MED-01,S002,3561.9859873961514,3561.9859873961504,3600,3600,24
S002-WAT-01,S002,3561.9859873961514,3561.9859873961504,3600,3600,12
S002-WAT-02,S002,3445.062460874484,3445.0624608744824,,3600,12
S002-WAT-03,S002,3445.062460874484,3445.0624608744824,,3600,12
S002-WAT-04,S002,3445.062460874484,3445.0624608744824,,3600,12
S003-FOD-01,S003,5971.3794984555025,5971.379498455502,,10800,8
S003-FOD-02,S003,5971.3794984555025,5971.379498455502,,10800,8
S003-HYG-01,S003,5971.3794984555025,5971.379498455502,,14400,6
S003-MED-01,S003,5341.241081294818,5341.241081294817,7200,7200,20
S003-WAT-01,S003,5341.241081294818,5341.241081294817,7200,7200,10
S003-WAT-02,S003,5971.3794984555025,5971.379498455502,,7200,10
S003-WAT-03,S003,5971.3794984555025,5971.379498455502,,7200,10
S003-WAT-04,S003,5971.3794984555025,5971.379498455502,,7200,10
S004-FOD-01,S004,4538.168763149604,4471.37040856037,,10800,8
S004-HYG-01,S004,4538.168763149604,4471.37040856037,,14400,6
S004-MED-01,S004,4538.168763149604,4471.37040856037,7200,7200,20
S004-WAT-01,S004,4538.168763149604,4471.37040856037,7200,7200,10
S004-WAT-02,S004,4538.168763149604,4471.37040856037,,7200,10
S004-WAT-03,S004,4538.168763149604,4471.37040856037,,7200,10
S005-FOD-01,S005,5421.2074180725485,5421.207418072547,,14400,6
S005-HYG-01,S005,6070.851162047451,6070.851162047451,,18000,4
S005-MED-01,S005,5134.76497054826,5134.764970548259,10800,10800,16
S005-WAT-01,S005,5134.76497054826,5134.764970548259,10800,10800,8
S005-WAT-02,S005,5421.2074180725485,5421.207418072547,,10800,8
S005-WAT-03,S005,6070.851162047451,6070.851162047451,,10800,8
S006-FOD-01,S006,2513.588818956461,936.7704405418276,,7200,10
S006-HYG-01,S006,2513.588818956461,1079.162541438996,,10800,8
S006-MED-01,S006,936.7704405418276,1079.162541438996,3600,3600,24
S006-WAT-01,S006,936.7704405418276,936.7704405418276,3600,3600,12
S006-WAT-02,S006,2513.588818956461,1079.162541438996,,3600,12
S006-WAT-03,S006,2513.588818956461,1079.162541438996,,3600,12
S007-FOD-01,S007,1133.8608178597733,1133.8608178597733,,7200,10
S007-HYG-01,S007,5328.765584588964,5328.765584588962,,10800,8
S007-MED-01,S007,1133.8608178597733,1133.8608178597733,3600,3600,24
S007-WAT-01,S007,1133.8608178597733,1133.8608178597733,3600,3600,12
S007-WAT-02,S007,1133.8608178597733,1133.8608178597733,,3600,12
S008-FOD-01,S008,4354.788254098025,4354.788254098026,,10800,8
S008-HYG-01,S008,5042.378724177277,5042.378724177277,,14400,6
S008-MED-01,S008,4354.788254098025,4354.788254098026,7200,7200,20
S008-WAT-01,S008,4354.788254098025,4354.788254098026,7200,7200,10
S008-WAT-02,S008,5042.378724177277,5042.378724177277,,7200,10
S009-FOD-01,S009,3161.468883354732,3161.4688833547316,,14400,6
S009-MED-01,S009,3131.4688833547316,3131.4688833547307,10800,10800,16
S009-WAT-01,S009,3161.468883354732,3161.4688833547316,10800,10800,8
