partition,group,zones,boxes,cargo_kg,transport_sorties,relay_sorties,work_seconds,energy_kwh,need_A_aircraft,occupancy_A_aircraft,need_B_aircraft,occupancy_B_aircraft,need_C_aircraft,occupancy_C_aircraft,need_A_batteries,occupancy_A_batteries,need_B_batteries,occupancy_B_batteries,need_C_batteries,occupancy_C_batteries,need_relay_aircraft,occupancy_relay_aircraft,need_relay_components,occupancy_relay_components
P12345_6,G1,S001|S002|S003|S004|S005|S006|S007|S008|S009|S010|S012|S013|S014|S015,77,733.0,23,4,53532.722286696626,67.660662227543,4,0.482470731202257,2,0.6551866130168594,2,0.6183272006390219,6,0.524490041484824,4,0.6400694754072436,4,0.6344231299628532,2,0.696279791098491,3,0.5395639035490332
P12345_6,G2,S011,3,25.0,1,0,1279.450870860137,1.9058790476563696,0,0.0,0,0.0,1,0.4866757113547819,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0
P12346_5,G1,S001|S002|S003|S004|S005|S006|S007|S008|S009|S011|S015,68,658.0,20,3,44226.98496678455,59.9856772067883,4,0.482470731202257,2,0.288209941203174,2,0.6869305731837286,6,0.524490041484824,3,0.3812773422610727,4,0.7049047370618928,2,0.4795993349376081,2,0.5591126486571466
P12346_5,G2,S010|S012|S013|S014,12,100.0,4,1,10585.188190772213,9.580864068411065,0,0.0,2,0.6358061564416764,0,0.0,0,0.0,4,0.6135165234362474,0,0.0,1,0.7508203032460034,1,0.8670840713570843
P1234_56,G1,S001|S002|S003|S004|S005|S006|S007|S008|S009|S015,65,633.0,19,3,42947.53409592441,58.07979815913193,4,0.482470731202257,2,0.288209941203174,2,0.6183272006390219,6,0.524490041484824,3,0.3812773422610727,4,0.6344231299628532,2,0.4795993349376081,2,0.5591126486571466
P1234_56,G2,S010|S011|S012|S013|S014,15,125.0,5,1,11864.63906163235,11.486743116067435,0,0.0,2,0.4336239427421181,1,0.16212510043878334,0,0.0,4,0.41842226775334246,1,0.3331275768570166,1,0.5120643405003426,1,0.5913569881345385
P1234_5_6,G1,S001|S002|S003|S004|S005|S006|S007|S008|S009|S015,65,633.0,19,3,42947.53409592441,58.07979815913193,4,0.482470731202257,2,0.288209941203174,2,0.6183272006390219,6,0.524490041484824,3,0.3812773422610727,4,0.6344231299628532,2,0.4795993349376081,2,0.5591126486571466
P1234_5_6,G2,S010|S012|S013|S014,12,100.0,4,1,10585.188190772213,9.580864068411065,0,0.0,2,0.6358061564416764,0,0.0,0,0.0,4,0.6135165234362474,0,0.0,1,0.7508203032460034,1,0.8670840713570843
P1234_5_6,G3,S011,3,25.0,1,0,1279.450870860137,1.9058790476563696,0,0.0,0,0.0,1,0.4866757113547819,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0
P12356_4,G1,S001|S002|S003|S004|S005|S007|S008|S009|S010|S011|S012|S013|S014|S015,74,699.0,22,4,52063.12386026179,65.92976806813928,4,0.44718879287934055,2,0.6551866130168594,2,0.6100921091993928,6,0.48526323528959814,4,0.6400694754072436,4,0.6272564680971611,2,0.696279791098491,3,0.5395639035490332
P12356_4,G2,S006,6,59.0,2,0,2749.0492972949805,3.6367732070600898,1,0.30388010479386957,0,0.0,1,0.33090132795501387,1,0.5067853359515514,0,0.0,1,0.6687774320703714,0,0.0,0,0.0
P1235_46,G1,S001|S002|S003|S004|S005|S007|S008|S009|S010|S012|S013|S014|S015,71,674.0,21,4,50783.672989401646,64.02388902048291,4,0.44718879287934055,2,0.6551866130168594,2,0.5414887366546862,6,0.48526323528959814,4,0.6400694754072436,3,0.7423664813308286,2,0.696279791098491,3,0.5395639035490332
