partition,group,resource_type,resource_id,task,start,release,next_task,handoff_slack_seconds,physical_id,inventory_status
P12345_6,G1,A_aircraft,G1-A_aircraft-01,T005,0.0,1312.470877312685,T014_1,2691.6583742346756,U01,existing
P12345_6,G1,A_aircraft,G1-A_aircraft-01,T014_1,4004.1292515473606,5699.887356215825,,,U01,existing
P12345_6,G1,A_aircraft,G1-A_aircraft-02,T007_HARD,0.0,1712.4416357195464,T020,2209.6876158278146,U02,existing
P12345_6,G1,A_aircraft,G1-A_aircraft-02,T020,3922.129251547361,5892.33909852418,,,U02,existing
P12345_6,G1,A_aircraft,G1-A_aircraft-03,T007_SOFT,0.0,1712.4416357195464,T022,321.67000451571107,U03,existing
P12345_6,G1,A_aircraft,G1-A_aircraft-03,T022,2034.1116402352575,3725.6461264742065,T007,176.48312507315586,U03,existing
P12345_6,G1,A_aircraft,G1-A_aircraft-03,T007,3902.1292515473624,6510.170148656284,,,U03,existing
P12345_6,G1,A_aircraft,G1-A_aircraft-04,T009,0.0,1316.0142144169886,T004,688.0974258182687,U04,existing
P12345_6,G1,A_aircraft,G1-A_aircraft-04,T004,2004.1116402352573,4285.571599071649,T016,5.000100000000202,U04,existing
P12345_6,G1,A_aircraft,G1-A_aircraft-04,T016,4290.571699071649,5986.329803740114,,,U04,existing
P12345_6,G1,B_aircraft,G1-B_aircraft-01,T002_2,0.0,1500.9693925601796,T015,5.0000999999997475,U05,existing
P12345_6,G1,B_aircraft,G1-B_aircraft-01,T015,1505.9694925601793,3060.540851687861,T013,5.000100000000202,U05,existing
P12345_6,G1,B_aircraft,G1-B_aircraft-01,T013,3065.5409516878613,5023.582223174855,T019_1,5.000100000001112,U05,existing
P12345_6,G1,B_aircraft,G1-B_aircraft-01,T019_1,5028.582323174856,6547.606667586711,,,U05,existing
P12345_6,G1,B_aircraft,G1-B_aircraft-02,T011,0.0,1944.0244440219892,T008,5.000100000000202,U06,existing
P12345_6,G1,B_aircraft,G1-B_aircraft-02,T008,1949.0245440219894,3793.5634341775567,T021,19.56798758955574,U06,existing
P12345_6,G1,B_aircraft,G1-B_aircraft-02,T021,3813.1314217671124,5711.172693254107,,,U06,existing
P12345_6,G1,C_aircraft,G1-C_aircraft-01,T001,0.0,1561.4261775174655,T012,392.68546271779155,U07,existing
P12345_6,G1,C_aircraft,G1-C_aircraft-01,T012,1954.111640235257,4069.1932815137097,T018,5.000100000000202,U07,existing
P12345_6,G1,C_aircraft,G1-C_aircraft-01,T018,4074.19338151371,6761.824258884327,,,U07,existing
P12345_6,G1,C_aircraft,G1-C_aircraft-02,T003,0.0,1429.4261775174655,T010_2,5.000099999999975,U08,existing
P12345_6,G1,C_aircraft,G1-C_aircraft-02,T010_2,1434.4262775174655,2867.4613603954576,T014_2,85.14537027022652,U08,existing
P12345_6,G1,C_aircraft,G1-C_aircraft-02,T014_2,2952.606730665684,5257.790795633526,,,U08,existing
P12345_6,G1,A_batteries,G1-A_batteries-01,T005,0.0,2178.7887122874713,T020,1743.3405392598897,A01,existing
P12345_6,G1,A_batteries,G1-A_batteries-01,T020,3922.129251547361,7132.339749211256,,,A01,existing
P12345_6,G1,A_batteries,G1-A_batteries-02,T007_HARD,0.0,2761.062337358848,T014_1,1243.0669141885128,A02,existing
P12345_6,G1,A_batteries,G1-A_batteries-02,T014_1,4004.1292515473606,6815.081680695524,,,A02,existing
P12345_6,G1,A_batteries,G1-A_batteries-03,T007_SOFT,0.0,2779.9496716386757,T016,1510.6220274329735,A03,existing
P12345_6,G1,A_batteries,G1-A_batteries-03,T016,4290.571699071649,7122.3061158963155,,,A03,existing
P12345_6,G1,A_batteries,G1-A_batteries-04,T009,0.0,2194.736329391266,T007,1707.3929221560966,A04,existing
P12345_6,G1,A_batteries,G1-A_batteries-04,T007,3902.1292515473624,7963.433611739875,,,A04,existing
P12345_6,G1,A_batteries,G1-A_batteries-05,T004,2004.1116402352573,5653.515220850031,,,A05,existing
P12345_6,G1,A_batteries,G1-A_batteries-06,T022,2034.1116402352575,4901.140633153662,,,A06,existing
P12345_6,G1,B_batteries,G1-B_batteries-01,T002_2,0.0,2956.647180248775,T013,108.89377143908632,B01,existing
P12345_6,G1,B_batteries,G1-B_batteries-01,T013,3065.5409516878613,6982.827850660446,,,B01,existing
P12345_6,G1,B_batteries,G1-B_batteries-02,T011,0.0,3808.1313217671122,T021,5.000100000000202,B02,existing
P12345_6,G1,B_batteries,G1-B_batteries-02,T021,3813.1314217671124,7578.354845171716,,,B02,existing
P12345_6,G1,B_batteries,G1-B_batteries-03,T015,1505.9694925601793,4516.326993610754,T019_1,512.2553295641028,B03,existing
P12345_6,G1,B_batteries,G1-B_batteries-03,T019_1,5028.582323174856,8012.288751525202,,,B03,existing
P12345_6,G1,B_batteries,G1-B_batteries-04,T008,1949.0245440219894,5382.225397256939,,,B04,existing
P12345_6,G1,C_batteries,G1-C_batteries-01,T001,0.0,3150.0928537629516,T018,924.1005277507584,C01,existing
P12345_6,G1,C_batteries,G1-C_batteries-01,T018,4074.19338151371,9324.985225954879,,,C01,existing
P12345_6,G1,C_batteries,G1-C_batteries-02,T003,0.0,2947.606630665684,T014_2,5.000100000000202,C02,existing
P12345_6,G1,C_batteries,G1-C_batteries-02,T014_2,2952.606730665684,7764.037455028012,,,C02,existing
P12345_6,G1,C_batteries,G1-C_batteries-03,T010_2,1434.4262775174655,4330.702121185847,,,C03,existing
P12345_6,G1,C_batteries,G1-C_batteries-04,T012,1954.111640235257,6561.858998965378,,,C04,existing
P12345_6,G1,relay_aircraft,G1-relay_aircraft-01,R004,96.18236555369127,4137.266470460487,R002,5.000100116283647,R01,existing
P12345_6,G1,relay_aircraft,G1-relay_aircraft-01,R002,4142.26657057677,7037.879962031191,,,R01,existing
P12345_6,G1,relay_aircraft,G1-relay_aircraft-02,R001,190.13731902940862,1999.297638856333,R003,5.000100000000884,R02,existing
P12345_6,G1,relay_aircraft,G1-relay_aircraft-02,R003,2004.2977388563338,6244.037452916951,,,R02,existing
P12345_6,G1,relay_components,G1-relay_components-01,R004,96.18236555369127,4763.024275968738,,,RE01,existing
P12345_6,G1,relay_components,G1-relay_components-02,R001,190.13731902940862,2344.3073253046314,R002,1797.959245272139,RE02,existing
P12345_6,G1,relay_components,G1-relay_components-02,R002,4142.26657057677,7517.75318080825,,,RE02,existing
P12345_6,G1,relay_components,G1-relay_components-03,R003,2004.2977388563338,6902.075499094418,,,RE03,existing
P12345_6,G2,C_aircraft,G2-C_aircraft-01,T006,5262.790895633526,6542.241766493663,,,NEW-C_aircraft-01,procurement_required
P12345_6,G2,C_batteries,G2-C_batteries-01,T006,5262.790895633526,7891.7506752339295,,,NEW-C_batteries-01,procurement_required
P12346_5,G1,A_aircraft,G1-A_aircraft-01,T005,0.0,1312.470877312685,T014_1,2691.6583742346756,U01,existing
P12346_5,G1,A_aircraft,G1-A_aircraft-01,T014_1,4004.1292515473606,5699.887356215825,,,U01,existing
P12346_5,G1,A_aircraft,G1-A_aircraft-02,T007_HARD,0.0,1712.4416357195464,T020,2209.6876158278146,U02,existing
P12346_5,G1,A_aircraft,G1-A_aircraft-02,T020,3922.129251547361,5892.33909852418,,,U02,existing
P12346_5,G1,A_aircraft,G1-A_aircraft-03,T007_SOFT,0.0,1712.4416357195464,T022,321.67000451571107,U03,existing
P12346_5,G1,A_aircraft,G1-A_aircraft-03,T022,2034.1116402352575,3725.6461264742065,T007,176.48312507315586,U03,existing
P12346_5,G1,A_aircraft,G1-A_aircraft-03,T007,3902.1292515473624,6510.170148656284,,,U03,existing
P12346_5,G1,A_aircraft,G1-A_aircraft-04,T009,0.0,1316.0142144169886,T004,688.0974258182687,U04,existing
P12346_5,G1,A_aircraft,G1-A_aircraft-04,T004,2004.1116402352573,4285.571599071649,T016,5.000100000000202,U04,existing
P12346_5,G1,A_aircraft,G1-A_aircraft-04,T016,4290.571699071649,5986.329803740114,,,U04,existing
P12346_5,G1,B_aircraft,G1-B_aircraft-01,T013,3065.5409516878613,5023.582223174855,T019_1,5.000100000001112,U05,existing
P12346_5,G1,B_aircraft,G1-B_aircraft-01,T019_1,5028.582323174856,6547.606667586711,,,U05,existing
P12346_5,G1,B_aircraft,G1-B_aircraft-02,T021,3813.1314217671124,5711.172693254107,,,U06,existing
P12346_5,G1,C_aircraft,G1-C_aircraft-01,T001,0.0,1561.4261775174655,T012,392.68546271779155,U07,existing
P12346_5,G1,C_aircraft,G1-C_aircraft-01,T012,1954.111640235257,4069.1932815137097,T018,5.000100000000202,U07,existing
P12346_5,G1,C_aircraft,G1-C_aircraft-01,T018,4074.19338151371,6761.824258884327,,,U07,existing
P12346_5,G1,C_aircraft,G1-C_aircraft-02,T003,0.0,1429.4261775174655,T010_2,5.000099999999975,U08,existing
