id,model,drone,battery,start,return_time,battery_ready,energy_kwh,return_soc,visits
T001,C,U07,C03,0.0,1561.4261775174655,3150.0928537629516,2.788923112291026,0.6513846109636218,"[[""S001"", [""S001-FOD-01"", ""S001-FOD-02"", ""S001-FOD-03"", ""S001-HYG-01"", ""S001-WAT-06"", ""S001-WAT-07"", ""S001-WAT-08""]]]"
T007_HARD,A,U03,A06,0.0,1712.4416357195464,2761.062337358848,1.8990716595206591,0.5779840756620758,"[[""S007"", [""S007-MED-01"", ""S007-WAT-01""]]]"
T007_SOFT,A,U04,A05,0.0,1712.4416357195464,2779.9496716386757,1.9644508935662177,0.5634553569852849,"[[""S007"", [""S007-FOD-01"", ""S007-WAT-02""]]]"
T002_2,B,U05,B04,0.0,1500.9693925601796,2956.647180248775,1.82079489466599,0.5448012763335025,"[[""S013"", [""S013-MED-01"", ""S013-WAT-01"", ""S013-FOD-01""]]]"
T003,C,U08,C01,0.0,1429.4261775174655,2947.606630665684,2.52866628854727,0.6839167139315913,"[[""S001"", [""S001-HYG-02"", ""S001-WAT-02"", ""S001-WAT-03"", ""S001-WAT-04"", ""S001-WAT-05""]]]"
T004,A,U02,A04,2004.1116402352573,4285.571599071649,5653.515220850031,3.0044202292328617,0.3323510601704752,"[[""S009"", [""S009-MED-01""]], [""S002"", [""S002-MED-01"", ""S002-WAT-01""]]]"
T005,A,U01,A03,0.0,1312.470877312685,2178.7887122874713,1.2680232749127218,0.7182170500193952,"[[""S001"", [""S001-MED-01"", ""S001-MED-02"", ""S001-WAT-01""]]]"
T009,A,U02,A02,0.0,1316.0142144169886,2194.736329391266,1.3109611672186523,0.7086752961736329,"[[""S006"", [""S006-WAT-01"", ""S006-MED-01""]]]"
T011,B,U06,B03,0.0,1944.0244440219892,3808.1313217671122,2.763323564027206,0.3091691089931985,"[[""S012"", [""S012-MED-01"", ""S012-WAT-01"", ""S012-FOD-01""]]]"
T015,B,U05,B02,1505.9694925601793,3060.540851687861,4516.326993610754,1.8210449428989826,0.5447387642752544,"[[""S010"", [""S010-FOD-01"", ""S010-MED-01"", ""S010-WAT-01""]]]"
T006,C,U08,C04,5262.790895633526,6542.241766493663,7891.7506752339295,1.9058790476563696,0.7617651190429537,"[[""S011"", [""S011-FOD-01"", ""S011-MED-01"", ""S011-WAT-01""]]]"
T007,A,U03,A02,3902.1292515473624,6510.170148656284,7963.433611739875,3.299758141443201,0.26672041301262206,"[[""S003"", [""S003-MED-01"", ""S003-WAT-01""]], [""S015"", [""S015-MED-01""]]]"
T010_2,C,U08,C04,1434.4262775174655,2867.4613603954576,4330.702121185847,2.3258120398414377,0.7092734950198203,"[[""S006"", [""S006-HYG-01"", ""S006-WAT-02"", ""S006-WAT-03"", ""S006-FOD-01""]]]"
T008,B,U06,B01,1949.0245440219894,3793.5634341775567,5382.225397256939,2.127681453260112,0.468079636684972,"[[""S014"", [""S014-FOD-01"", ""S014-MED-01"", ""S014-WAT-01""]]]"
T012,C,U07,C02,1954.111640235257,4069.1932815137097,6561.858998965378,6.126765725975389,0.23415428425307638,"[[""S002"", [""S002-FOD-01"", ""S002-FOD-02"", ""S002-HYG-01"", ""S002-WAT-02"", ""S002-WAT-03"", ""S002-WAT-04""]]]"
T014_1,A,U04,A06,4004.1292515473606,5699.887356215825,6815.081680695524,2.1295188155066476,0.5267735965540783,"[[""S005"", [""S005-MED-01"", ""S005-WAT-01""]]]"
T014_2,C,U08,C01,2952.606730665684,5257.790795633526,7764.037455028012,6.1769107423796425,0.22788615720254468,"[[""S004"", [""S004-MED-01"", ""S004-FOD-01"", ""S004-HYG-01"", ""S004-WAT-01"", ""S004-WAT-02"", ""S004-WAT-03""]]]"
T016,A,U02,A05,4290.571699071649,5986.329803740114,7122.3061158963155,2.2014564651560833,0.5107874521875371,"[[""S005"", [""S005-FOD-01"", ""S005-WAT-02""]]]"
T013,B,U05,B04,3065.5409516878613,5023.582223174855,6982.827850660446,2.982874524966748,0.254281368758313,"[[""S008"", [""S008-FOD-01"", ""S008-MED-01"", ""S008-WAT-01""]]]"
T021,B,U06,B03,3813.1314217671124,5711.172693254107,7578.354845171716,2.7704203505790983,0.3073949123552254,"[[""S008"", [""S008-HYG-01"", ""S008-WAT-02""]]]"
T018,C,U07,C03,4074.19338151371,6761.824258884327,9324.985225954879,6.387055878414353,0.20161801519820588,"[[""S007"", [""S007-HYG-01""]], [""S003"", [""S003-FOD-01"", ""S003-FOD-02"", ""S003-HYG-01"", ""S003-WAT-02"", ""S003-WAT-03"", ""S003-WAT-04""]]]"
T019_1,B,U05,B02,5028.582323174856,6547.606667586711,8012.288751525202,1.8415740398580562,0.539606490035486,"[[""S005"", [""S005-HYG-01"", ""S005-WAT-03""]]]"
T022,A,U04,A01,2034.1116402352575,3725.6461264742065,4901.140633153662,2.3382502154288844,0.4803888410158035,"[[""S009"", [""S009-FOD-01"", ""S009-WAT-01""]]]"
T020,A,U01,A03,3922.129251547361,5892.33909852418,7132.339749211256,2.5615407139167994,0.4307687302407113,"[[""S015"", [""S015-FOD-01"", ""S015-WAT-01""]]]"
