id,group_count,resource_total,shortage_total,workload_cv,stock_sufficient,assignment_replay_passed,need_A_aircraft,shortage_A_aircraft,need_B_aircraft,shortage_B_aircraft,need_C_aircraft,shortage_C_aircraft,need_A_batteries,shortage_A_batteries,need_B_batteries,shortage_B_batteries,need_C_batteries,shortage_C_batteries,need_relay_aircraft,shortage_relay_aircraft,need_relay_components,shortage_relay_components
P12345_6,2,27,2,0.9654443809040746,False,True,3,0,3,1,2,0,5,0,5,1,4,0,2,0,3,0
P12346_5,2,32,5,0.5938030659622526,False,True,5,1,4,2,2,0,6,0,5,1,4,0,3,1,3,0
P1234_56,2,31,4,0.559247446866327,False,True,5,1,4,2,2,0,6,0,4,0,4,0,3,1,3,0
P1234_5_6,3,33,6,0.9736950140798433,False,True,5,1,5,3,2,0,6,0,5,1,4,0,3,1,3,0
P12356_4,2,29,2,0.9201473755903579,False,True,4,0,2,0,3,1,6,0,4,0,5,1,2,0,3,0
P1235_46,2,31,4,0.8855917564944323,False,True,4,0,3,1,3,1,6,0,5,1,5,1,2,0,3,0
P1235_4_6,3,31,4,1.2931628294406614,False,True,4,0,3,1,3,1,6,0,5,1,5,1,2,0,3,0
P1236_45,2,33,6,0.5139504415526105,False,True,4,0,4,2,3,1,6,0,5,1,5,1,3,1,3,0
P1236_4_5,3,35,8,0.9206322543464835,False,True,5,1,4,2,3,1,7,1,5,1,5,1,3,1,3,0
P123_456,2,32,5,0.4793948224566848,False,True,4,0,4,2,3,1,6,0,4,0,5,1,3,1,3,0
P123_45_6,3,34,7,0.9052819884390931,False,True,4,0,5,3,3,1,6,0,5,1,5,1,3,1,3,0
P123_46_5,3,36,9,0.8803525868005991,False,True,5,1,5,3,3,1,7,1,5,1,5,1,3,1,3,0
P123_4_56,3,34,7,0.8899079848911086,False,True,5,1,4,2,3,1,7,1,4,0,5,1,3,1,3,0
P12456_3,2,30,3,0.3171954517601132,False,True,4,0,2,0,3,1,6,0,4,0,5,1,3,1,3,0
P1245_36,2,32,5,0.28263983266418763,False,True,4,0,3,1,3,1,6,0,5,1,5,1,3,1,3,0
P1245_3_6,3,32,5,0.7644840166306588,False,True,4,0,3,1,3,1,6,0,5,1,5,1,3,1,3,0
P1246_35,2,33,6,0.0890014822776344,False,True,4,0,4,2,3,1,6,0,5,1,5,1,3,1,3,0
P1246_3_5,3,35,8,0.30960010450307857,False,True,5,1,4,2,3,1,7,1,5,1,5,1,3,1,3,0
P124_356,2,32,5,0.12355710137355981,False,True,4,0,4,2,3,1,6,0,4,0,5,1,3,1,3,0
P124_35_6,3,34,7,0.6829735392568499,False,True,4,0,5,3,3,1,6,0,5,1,5,1,3,1,3,0
P124_36_5,3,36,9,0.292942460375473,False,True,5,1,5,3,3,1,7,1,5,1,5,1,3,1,3,0
P124_3_56,3,34,7,0.2673532570546556,False,True,5,1,4,2,3,1,7,1,4,0,5,1,3,1,3,0
P1256_34,2,32,5,0.23734282735047113,False,True,5,1,2,0,3,1,6,0,4,0,6,2,3,1,3,0
P1256_3_4,3,34,7,0.709021737211477,False,True,5,1,2,0,4,2,7,1,4,0,6,2,3,1,3,0
P125_346,2,34,7,0.2027872082545456,False,True,5,1,3,1,3,1,6,0,5,1,6,2,3,1,3,0
P125_34_6,3,34,7,0.7226014403592271,False,True,5,1,3,1,3,1,6,0,5,1,6,2,3,1,3,0
P125_36_4,3,36,9,0.6897531005616806,False,True,5,1,3,1,4,2,7,1,5,1,6,2,3,1,3,0
P125_3_46,3,36,9,0.6667130373818272,False,True,5,1,3,1,4,2,7,1,5,1,6,2,3,1,3,0
P126_345,2,32,7,0.16885410668727646,False,True,3,0,4,2,3,1,5,0,5,1,6,2,3,1,3,0
P126_34_5,3,35,8,0.2794352449844752,False,True,5,1,4,2,3,1,6,0,5,1,6,2,3,1,3,0
P126_35_4,3,35,8,0.6421278100962051,False,True,4,0,4,2,4,2,6,0,5,1,6,2,3,1,3,0
P126_3_45,3,35,8,0.21201955157706023,False,True,4,0,4,2,4,2,6,0,5,1,6,2,3,1,3,0
P12_3456,2,31,6,0.20340972578320188,False,True,3,0,4,2,3,1,5,0,4,0,6,2,3,1,3,0
P12_345_6,3,33,8,0.7081508023583009,False,True,3,0,5,3,3,1,5,0,5,1,6,2,3,1,3,0
P12_346_5,3,36,9,0.2762701343626937,False,True,5,1,5,3,3,1,6,0,5,1,6,2,3,1,3,0
P12_34_56,3,34,7,0.2405174230660092,False,True,5,1,4,2,3,1,6,0,4,0,6,2,3,1,3,0
P12_356_4,3,34,7,0.6538232176870461,False,True,4,0,4,2,4,2,6,0,4,0,6,2,3,1,3,0
P12_35_46,3,36,9,0.6125170648000599,False,True,4,0,5,3,4,2,6,0,5,1,6,2,3,1,3,0
P12_36_45,3,36,9,0.19762182557303853,False,True,4,0,5,3,4,2,6,0,5,1,6,2,3,1,3,0
P12_3_456,3,34,7,0.16987024524348604,False,True,4,0,4,2,4,2,6,0,4,0,6,2,3,1,3,0
P13456_2,2,31,6,0.3254437750005809,False,True,3,0,3,1,4,2,5,0,4,0,6,2,3,1,3,0
P1345_26,2,33,8,0.2908881559046553,False,True,3,0,4,2,4,2,5,0,5,1,6,2,3,1,3,0
P1345_2_6,3,33,8,0.7693889243507595,False,True,3,0,4,2,4,2,5,0,5,1,6,2,3,1,3,0
P1346_25,2,35,8,0.0807531590371667,False,True,5,1,3,1,4,2,6,0,5,1,6,2,3,1,3,0
P1346_2_5,3,36,9,0.3142890443452673,False,True,5,1,4,2,4,2,6,0,5,1,6,2,3,1,3,0
P134_256,2,35,8,0.11530877813309225,False,True,5,1,3,1,4,2,6,0,5,1,6,2,3,1,3,0
P134_25_6,3,37,10,0.6811204223345607,False,True,5,1,4,2,4,2,6,0,6,2,6,2,3,1,3,0
P134_26_5,3,38,11,0.29645503205333984,False,True,5,1,5,3,4,2,6,0,6,2,6,2,3,1,3,0
P134_2_56,3,36,9,0.2719845655009866,False,True,5,1,4,2,4,2,6,0,5,1,6,2,3,1,3,0
P1356_24,2,32,5,0.24559115059093883,False,True,4,0,3,1,4,2,6,0,4,0,5,1,3,1,3,0
P1356_2_4,3,34,7,0.7139151858279629,False,True,4,0,3,1,5,3,6,0,4,0,6,2,3,1,3,0
P135_246,2,34,7,0.2110355314950132,False,True,4,0,4,2,4,2,6,0,5,1,5,1,3,1,3,0
P135_24_6,3,34,7,0.7264298975578523,False,True,4,0,4,2,4,2,6,0,5,1,5,1,3,1,3,0
P135_26_4,3,36,9,0.6941666447645065,False,True,4,0,4,2,5,3,6,0,5,1,6,2,3,1,3,0
P135_2_46,3,36,9,0.6715964592358861,False,True,4,0,4,2,5,3,6,0,5,1,6,2,3,1,3,0
P136_245,2,33,6,0.16060578344680881,False,True,4,0,3,1,4,2,6,0,5,1,5,1,3,1,3,0
P136_24_5,3,36,9,0.2811289455987887,False,True,5,1,4,2,4,2,7,1,5,1,5,1,3,1,3,0
P136_25_4,3,37,10,0.639718580613891,False,True,5,1,3,1,5,3,7,1,5,1,6,2,3,1,3,0
P136_2_45,3,36,9,0.2165402815909463,False,True,4,0,4,2,5,3,6,0,5,1,6,2,3,1,3,0
P13_2456,2,33,6,0.1951614025427344,False,True,4,0,3,1,4,2,6,0,5,1,5,1,3,1,3,0
