partition,group,zones,boxes,cargo_kg,transport_sorties,relay_sorties,work_seconds,energy_kwh,need_A_aircraft,occupancy_A_aircraft,need_B_aircraft,occupancy_B_aircraft,need_C_aircraft,occupancy_C_aircraft,need_A_batteries,occupancy_A_batteries,need_B_batteries,occupancy_B_batteries,need_C_batteries,occupancy_C_batteries,need_relay_aircraft,occupancy_relay_aircraft,need_relay_components,occupancy_relay_components
P12345_6,G1,S001|S002|S003|S004|S005|S006|S007|S008|S009|S010|S012|S013|S014|S015,77,733.0,26,6,67663.44292554393,80.24781881185945,3,0.5303628995694565,2,0.4639939202920662,2,0.5963697249103156,5,0.5194173775843318,4,0.4520080801190086,4,0.6099743391173069,2,0.8680899111212795,3,0.6702413060363837
P12345_6,G2,S011,3,25.0,1,0,1189.630285736439,1.077171254529726,0,0.0,1,0.5120937769095865,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0
P12346_5,G1,S001|S002|S003|S004|S005|S006|S007|S008|S009|S011|S015,68,658.0,22,4,54869.119592531046,68.27663034588409,3,0.3714884422764859,2,0.3773495136825367,2,0.5963697249103156,4,0.4558857890371936,3,0.4949546053597166,4,0.6099743391173069,2,0.6677897369141306,2,0.7704626442422187
P12346_5,G2,S010|S012|S013|S014,12,100.0,5,2,13983.953618749325,13.04835972050508,2,0.3226054631986913,2,0.18044385379501557,0,0.0,2,0.5235778365405777,2,0.3420602499861604,0,0.0,1,0.5422976235860493,1,0.635972188785973
P1234_56,G1,S001|S002|S003|S004|S005|S006|S007|S008|S009|S015,65,633.0,21,4,53679.4893067946,67.19945909135437,3,0.3714884422764859,2,0.33069835056137586,2,0.5963697249103156,4,0.4558857890371936,2,0.6513330405573453,4,0.6099743391173069,2,0.6677897369141306,2,0.7704626442422187
P1234_56,G2,S010|S011|S012|S013|S014,15,125.0,6,2,15173.583904485764,14.125530975034806,2,0.3226054631986913,2,0.24359610765168677,0,0.0,2,0.5235778365405777,2,0.4653819084483782,0,0.0,1,0.5422976235860493,1,0.635972188785973
P1234_5_6,G1,S001|S002|S003|S004|S005|S006|S007|S008|S009|S015,65,633.0,21,4,53679.4893067946,67.19945909135437,3,0.3714884422764859,2,0.33069835056137586,2,0.5963697249103156,4,0.4558857890371936,2,0.6513330405573453,4,0.6099743391173069,2,0.6677897369141306,2,0.7704626442422187
P1234_5_6,G2,S010|S012|S013|S014,12,100.0,5,2,13983.953618749325,13.04835972050508,2,0.3226054631986913,2,0.18044385379501557,0,0.0,2,0.5235778365405777,2,0.3420602499861604,0,0.0,1,0.5422976235860493,1,0.635972188785973
P1234_5_6,G3,S011,3,25.0,1,0,1189.630285736439,1.077171254529726,0,0.0,1,0.5120937769095865,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0
P12356_4,G1,S001|S002|S003|S004|S005|S007|S008|S009|S010|S011|S012|S013|S014|S015,74,699.0,25,6,66104.0239139854,77.69986857720184,3,0.4959580403328589,2,0.510645083413227,2,0.5401734812443245,5,0.4847848841565024,4,0.4975575138601235,4,0.5534891191210638,2,0.8680899111212795,3,0.6702413060363837
P12356_4,G2,S006,6,59.0,2,0,2749.0492972949805,3.625121489187333,1,0.2794659275645624,0,0.0,1,0.304316225677302,1,0.4688582811865578,0,0.0,1,0.6117622045336626,0,0.0,0,0.0
P1235_46,G1,S001|S002|S003|S004|S005|S007|S008|S009|S010|S012|S013|S014|S015,71,674.0,24,6,64914.39362824896,76.62269732267211,3,0.4959580403328589,2,0.4639939202920662,2,0.5401734812443245,5,0.4847848841565024,4,0.4520080801190086,4,0.5534891191210638,2,0.8680899111212795,3,0.6702413060363837
P1235_46,G2,S006|S011,9,84.0,3,0,3938.6795830314195,4.702292743717059,1,0.1769896311769672,1,0.15999236421828453,1,0.19272766813889838,1,0.2969344241161737,1,0.31242786269307127,1,0.3874374521860359,0,0.0,0,0.0
P1235_4_6,G1,S001|S002|S003|S004|S005|S007|S008|S009|S010|S012|S013|S014|S015,71,674.0,24,6,64914.39362824896,76.62269732267211,3,0.4959580403328589,2,0.4639939202920662,2,0.5401734812443245,5,0.4847848841565024,4,0.4520080801190086,4,0.5534891191210638,2,0.8680899111212795,3,0.6702413060363837
P1235_4_6,G2,S006,6,59.0,2,0,2749.0492972949805,3.625121489187333,1,0.2794659275645624,0,0.0,1,0.304316225677302,1,0.4688582811865578,0,0.0,1,0.6117622045336626,0,0.0,0,0.0
P1235_4_6,G3,S011,3,25.0,1,0,1189.630285736439,1.077171254529726,0,0.0,1,0.5120937769095865,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0
P1236_45,G1,S001|S002|S003|S004|S005|S007|S008|S009|S011|S015,62,599.0,20,4,52120.070295236066,64.65150885669676,2,0.5056253745598326,2,0.3773495136825367,2,0.5401734812443245,4,0.4125951722524068,3,0.4949546053597166,4,0.5534891191210638,2,0.6677897369141306,2,0.7704626442422187
P1236_45,G2,S006|S010|S012|S013|S014,18,159.0,7,2,16733.00291604431,16.67348120969241,2,0.3220868409847725,2,0.14808533660922665,1,0.1248629594556789,2,0.5258738396901544,2,0.28071949359594095,1,0.25101007733384517,1,0.44504883065926915,1,0.5219249848069857
P1236_4_5,G1,S001|S002|S003|S004|S005|S007|S008|S009|S011|S015,62,599.0,20,4,52120.070295236066,64.65150885669676,2,0.5056253745598326,2,0.3773495136825367,2,0.5401734812443245,4,0.4125951722524068,3,0.4949546053597166,4,0.5534891191210638,2,0.6677897369141306,2,0.7704626442422187
