partition,group,resource_type,resource_id,task,start,release,next_task,handoff_slack_seconds,physical_id,inventory_status
P12345_6,G1,A_aircraft,G1-A_aircraft-01,T002_1,0.0,1652.4416357195464,T011,405.67373758309304,U01,existing
P12345_6,G1,A_aircraft,G1-A_aircraft-01,T011,2058.1153733026395,4188.754462062222,T007,144.11096689424357,U01,existing
P12345_6,G1,A_aircraft,G1-A_aircraft-01,T007,4332.865428956466,6940.9063260653875,T019_1,748.4755122280048,U01,existing
P12345_6,G1,A_aircraft,G1-A_aircraft-01,T019_1,7689.381838293392,9325.139942961858,,,U01,existing
P12345_6,G1,A_aircraft,G1-A_aircraft-02,T009,0.0,1316.0142144169886,T002_2,896.854901909097,U02,existing
P12345_6,G1,A_aircraft,G1-A_aircraft-02,T002_2,2212.8691163260855,3815.461852306258,T016,542.4035766502066,U02,existing
P12345_6,G1,A_aircraft,G1-A_aircraft-02,T016,4357.865428956465,6053.623533624929,T020,887.2828924404594,U02,existing
P12345_6,G1,A_aircraft,G1-A_aircraft-02,T020,6940.906426065389,8911.116273042207,,,U02,existing
P12345_6,G1,A_aircraft,G1-A_aircraft-03,T014_1,0.0,1695.7581046684645,T023,4357.865528956465,U03,existing
P12345_6,G1,A_aircraft,G1-A_aircraft-03,T023,6053.623633624929,7689.381738293394,T017,80.07023122006649,U03,existing
P12345_6,G1,A_aircraft,G1-A_aircraft-03,T017,7769.45196951346,10113.299044225432,,,U03,existing
P12345_6,G1,B_aircraft,G1-B_aircraft-01,T005,0.0,1210.3573074816584,T008,1138.4034140657216,U05,existing
P12345_6,G1,B_aircraft,G1-B_aircraft-01,T008,2348.76072154738,4193.299611702947,T014_2,1366.428592214369,U05,existing
P12345_6,G1,B_aircraft,G1-B_aircraft-01,T014_2,5559.728203917316,7425.499213465236,,,U05,existing
P12345_6,G1,B_aircraft,G1-B_aircraft-02,T013,2.631913957884535e-07,1958.0412717501863,T015,139.07410155245316,U06,existing
P12345_6,G1,B_aircraft,G1-B_aircraft-02,T015,2097.1153733026395,3651.686732430321,T021,5.000100000001112,U06,existing
P12345_6,G1,B_aircraft,G1-B_aircraft-02,T021,3656.6868324303223,5554.728103917317,T022,4158.765374611327,U06,existing
P12345_6,G1,B_aircraft,G1-B_aircraft-02,T022,9713.493478528644,11214.272215143501,,,U06,existing
P12345_6,G1,C_aircraft,G1-C_aircraft-01,T003,0.0,1429.4261775174655,T004,5.000099999999975,U07,existing
P12345_6,G1,C_aircraft,G1-C_aircraft-01,T004,1434.4262775174655,3604.9947859277245,T012,5.000100000002021,U07,existing
P12345_6,G1,C_aircraft,G1-C_aircraft-01,T012,3609.9948859277265,5725.07652720618,T018,32.01343070994517,U07,existing
P12345_6,G1,C_aircraft,G1-C_aircraft-01,T018,5757.089957916125,8192.899478773774,,,U07,existing
P12345_6,G1,C_aircraft,G1-C_aircraft-02,T010_1,0.0,1823.224406150507,T010_2,5.000100000000202,U08,existing
P12345_6,G1,C_aircraft,G1-C_aircraft-02,T010_2,1828.2245061505073,3261.2595890284992,T001,5.000100000000202,U08,existing
P12345_6,G1,C_aircraft,G1-C_aircraft-02,T001,3266.2596890284995,4827.685866545965,T019_2,5.000099999999293,U08,existing
P12345_6,G1,C_aircraft,G1-C_aircraft-02,T019_2,4832.685966545964,7071.870031513806,,,U08,existing
P12345_6,G1,A_batteries,G1-A_batteries-01,T002_1,0.0,2667.5322461730734,T007,1665.3331827833922,A01,existing
P12345_6,G1,A_batteries,G1-A_batteries-01,T007,4332.865428956466,8394.169789148978,,,A01,existing
P12345_6,G1,A_batteries,G1-A_batteries-02,T009,0.0,2207.8690163260853,T016,2149.9964126303794,A02,existing
P12345_6,G1,A_batteries,G1-A_batteries-02,T016,4357.865428956465,7189.599845781131,T017,579.8521237323293,A02,existing
P12345_6,G1,A_batteries,G1-A_batteries-02,T017,7769.45196951346,11476.863027475007,,,A02,existing
P12345_6,G1,A_batteries,G1-A_batteries-03,T014_1,0.0,2810.952429148163,T023,3242.6712044767664,A03,existing
P12345_6,G1,A_batteries,G1-A_batteries-03,T023,6053.623633624929,8794.320358969193,,,A03,existing
P12345_6,G1,A_batteries,G1-A_batteries-04,T011,2058.1153733026395,5546.539457030654,T020,1394.3669690347342,A04,existing
P12345_6,G1,A_batteries,G1-A_batteries-04,T020,6940.906426065389,10151.116923729283,,,A04,existing
P12345_6,G1,A_batteries,G1-A_batteries-05,T002_2,2212.8691163260855,4879.929014022942,T019_1,2809.45282427045,A05,existing
P12345_6,G1,A_batteries,G1-A_batteries-05,T019_1,7689.381838293392,10409.758236602142,,,A05,existing
P12345_6,G1,B_batteries,G1-B_batteries-01,T005,0.0,2343.7606215473797,T021,1312.9262108829425,B01,existing
P12345_6,G1,B_batteries,G1-B_batteries-01,T021,3656.6868324303223,7421.910255834926,,,B01,existing
P12345_6,G1,B_batteries,G1-B_batteries-02,T013,2.631913957884535e-07,3917.286899235777,T014_2,1642.441304681539,B02,existing
P12345_6,G1,B_batteries,G1-B_batteries-02,T014_2,5559.728203917316,9106.026402123385,,,B02,existing
P12345_6,G1,B_batteries,G1-B_batteries-03,T015,2097.1153733026395,5107.472874353213,T022,4606.020604175431,B03,existing
P12345_6,G1,B_batteries,G1-B_batteries-03,T022,9713.493478528644,12750.274657105232,,,B03,existing
P12345_6,G1,B_batteries,G1-B_batteries-04,T008,2348.76072154738,5781.961574782329,,,B04,existing
P12345_6,G1,C_batteries,G1-C_batteries-01,T003,0.0,2947.606630665684,T001,318.6530583628155,C01,existing
P12345_6,G1,C_batteries,G1-C_batteries-01,T001,3266.2596890284995,6416.352542791451,,,C01,existing
P12345_6,G1,C_batteries,G1-C_batteries-02,T010_1,0.0,3563.4170832737245,T012,46.57780265400197,C02,existing
P12345_6,G1,C_batteries,G1-C_batteries-02,T012,3609.9948859277265,8217.742244657848,,,C02,existing
P12345_6,G1,C_batteries,G1-C_batteries-03,T004,1434.4262775174655,5752.089857916125,T018,5.000100000000202,C03,existing
P12345_6,G1,C_batteries,G1-C_batteries-03,T018,5757.089957916125,10691.253758748288,,,C03,existing
P12345_6,G1,C_batteries,G1-C_batteries-04,T010_2,1828.2245061505073,4709.032782226957,T019_2,123.65318431900687,C04,existing
P12345_6,G1,C_batteries,G1-C_batteries-04,T019_2,4832.685966545964,9540.547812933855,,,C04,existing
