id,group_count,resource_total,shortage_total,workload_cv,stock_sufficient,assignment_replay_passed,need_A_aircraft,shortage_A_aircraft,need_B_aircraft,shortage_B_aircraft,need_C_aircraft,shortage_C_aircraft,need_A_batteries,shortage_A_batteries,need_B_batteries,shortage_B_batteries,need_C_batteries,shortage_C_batteries,need_relay_aircraft,shortage_relay_aircraft,need_relay_components,shortage_relay_components
P1234_5,2,29,2,0.9601899092087143,False,True,4,0,2,0,3,1,6,0,4,0,5,1,2,0,3,0
P1235_4,2,30,3,0.914463380652154,False,True,5,1,2,0,3,1,6,0,4,0,5,1,2,0,3,0
P123_45,2,31,4,0.8746532898608682,False,True,5,1,2,0,3,1,6,0,4,0,6,2,2,0,3,0
P123_4_5,3,32,5,1.2815692471822713,False,True,5,1,2,0,4,2,6,0,4,0,6,2,2,0,3,0
P1245_3,2,33,6,0.25903799569057223,False,True,5,1,2,0,3,1,8,2,4,0,5,1,3,1,3,0
P124_35,2,35,8,0.21922790489928645,False,True,5,1,2,0,4,2,8,2,4,0,6,2,3,1,3,0
P124_3_5,3,35,8,0.7265291903517151,False,True,5,1,2,0,4,2,8,2,4,0,6,2,3,1,3,0
P125_34,2,33,6,0.17350137634272622,False,True,5,1,2,0,3,1,7,1,4,0,6,2,3,1,3,0
P125_3_4,3,36,9,0.6708837559655783,False,True,6,2,2,0,4,2,8,2,4,0,6,2,3,1,3,0
P12_345,2,35,8,0.13369128555144022,False,True,5,1,2,0,4,2,7,1,4,0,7,3,3,1,3,0
P12_34_5,3,35,8,0.6909815930099671,False,True,5,1,2,0,4,2,7,1,4,0,7,3,3,1,3,0
P12_35_4,3,38,11,0.6531715942266015,False,True,6,2,2,0,5,3,8,2,4,0,7,3,3,1,3,0
P12_3_45,3,37,10,0.6224904138869684,False,True,6,2,2,0,4,2,8,2,4,0,7,3,3,1,3,0
P1345_2,2,30,3,0.00020653927776754334,False,True,4,0,2,0,3,1,6,0,4,0,5,1,3,1,3,0
P134_25,2,28,1,0.039603551513518215,False,True,4,0,2,0,2,0,6,0,4,0,4,0,3,1,3,0
P134_2_5,3,30,3,0.6653193663744481,False,True,4,0,2,0,3,1,6,0,4,0,5,1,3,1,3,0
P135_24,2,33,6,0.08533008007007846,False,True,5,1,2,0,4,2,7,1,4,0,5,1,3,1,3,0
P135_2_4,3,33,6,0.6185817689139846,False,True,5,1,2,0,4,2,7,1,4,0,5,1,3,1,3,0
P13_245,2,32,5,0.1251401708613643,False,True,5,1,2,0,3,1,7,1,4,0,5,1,3,1,3,0
P13_24_5,3,34,7,0.6772587836312367,False,True,5,1,2,0,4,2,7,1,4,0,6,2,3,1,3,0
P13_25_4,3,32,5,0.6245829277662784,False,True,5,1,2,0,3,1,7,1,4,0,5,1,3,1,3,0
P13_2_45,3,33,6,0.5792312680308215,False,True,5,1,2,0,3,1,7,1,4,0,6,2,3,1,3,0
P145_23,2,29,2,0.7407554650316602,False,True,5,1,2,0,2,0,6,0,4,0,5,1,2,0,3,0
P145_2_3,3,33,6,0.4602874521786359,False,True,5,1,2,0,3,1,8,2,4,0,5,1,3,1,3,0
P14_235,2,30,3,0.780565555822946,False,True,5,1,2,0,3,1,6,0,4,0,5,1,2,0,3,0
P14_23_5,3,31,4,1.1445411441897888,False,True,5,1,2,0,3,1,6,0,4,0,6,2,2,0,3,0
P14_25_3,3,33,6,0.5083933354999779,False,True,5,1,2,0,3,1,8,2,4,0,5,1,3,1,3,0
P14_2_35,3,35,8,0.4929580386925863,False,True,5,1,2,0,4,2,8,2,4,0,6,2,3,1,3,0
P15_234,2,30,3,0.8262920843795063,False,True,5,1,2,0,3,1,6,0,4,0,5,1,2,0,3,0
P15_23_4,3,32,5,1.1405219886864084,False,True,6,2,2,0,3,1,6,0,4,0,6,2,2,0,3,0
P15_24_3,3,36,9,0.5637866492417926,False,True,6,2,2,0,4,2,8,2,4,0,6,2,3,1,3,0
P15_2_34,3,33,6,0.5335222902744008,False,True,5,1,2,0,3,1,7,1,4,0,6,2,3,1,3,0
P1_2345,2,31,4,0.866102175170792,False,True,5,1,2,0,3,1,6,0,4,0,6,2,2,0,3,0
P1_234_5,3,32,5,1.2313172565255204,False,True,5,1,2,0,4,2,6,0,4,0,6,2,2,0,3,0
P1_235_4,3,33,6,1.1818392993528757,False,True,6,2,2,0,4,2,6,0,4,0,6,2,2,0,3,0
P1_23_45,3,33,6,1.1392552438789634,False,True,6,2,2,0,3,1,6,0,4,0,7,3,2,0,3,0
P1_245_3,3,36,9,0.612103171497774,False,True,6,2,2,0,4,2,8,2,4,0,6,2,3,1,3,0
P1_24_35,3,38,11,0.595068320460059,False,True,6,2,2,0,5,3,8,2,4,0,7,3,3,1,3,0
P1_25_34,3,33,6,0.5799595762125678,False,True,5,1,2,0,3,1,7,1,4,0,6,2,3,1,3,0
P1_2_345,3,35,8,0.5709682874248232,False,True,5,1,2,0,4,2,7,1,4,0,7,3,3,1,3,0
