partition,group,zones,boxes,cargo_kg,transport_sorties,relay_sorties,work_seconds,energy_kwh,need_A_aircraft,occupancy_A_aircraft,need_B_aircraft,occupancy_B_aircraft,need_C_aircraft,occupancy_C_aircraft,need_A_batteries,occupancy_A_batteries,need_B_batteries,occupancy_B_batteries,need_C_batteries,occupancy_C_batteries,need_relay_aircraft,occupancy_relay_aircraft,need_relay_components,occupancy_relay_components
P1234_5,G1,S001|S002|S003|S004|S005|S006|S007|S008|S009|S010|S012|S013|S014|S015,77,733.0,26,4,62998.26593053942,76.46752362000157,4,0.42328917314322484,2,0.6322200252001584,2,0.5669114417537233,6,0.4609893983916197,4,0.611686840099636,4,0.5825075598021612,2,0.7458993964840926,3,0.5733934421675592
P1234_5,G2,S011,3,25.0,1,0,1279.450870860137,1.9058790476563696,0,0.0,0,0.0,1,0.4866757113547819,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0
P1235_4,G1,S001|S002|S003|S004|S005|S007|S008|S009|S010|S011|S012|S013|S014|S015,74,699.0,25,4,61528.667504104575,74.7482811784706,4,0.3946762710044844,2,0.6322200252001584,2,0.5602329576152077,5,0.5147843250275058,4,0.611686840099636,4,0.5770318466187361,2,0.7458993964840926,3,0.5733934421675592
P1235_4,G2,S006,6,59.0,2,0,2749.0492972949805,3.625121489187333,1,0.3880260157754234,0,0.0,1,0.42252954989691377,1,0.6509888786714572,0,0.0,1,0.849404622938684,0,0.0,0,0.0
P123_45,G1,S001|S002|S003|S004|S005|S007|S008|S009|S010|S012|S013|S014|S015,71,674.0,24,4,60249.21663324443,72.84240213081424,4,0.3946762710044844,2,0.6322200252001584,2,0.5045970804974738,5,0.5147843250275058,4,0.611686840099636,4,0.5198727611952436,2,0.7458993964840926,3,0.5733934421675592
P123_45,G2,S006|S011,9,84.0,3,0,4028.5001681551175,5.5310005368437025,1,0.27946592756456246,0,0.0,1,0.5760176408148432,1,0.4688582811865578,0,0.0,2,0.5850212039797288,0,0.0,0,0.0
P123_4_5,G1,S001|S002|S003|S004|S005|S007|S008|S009|S010|S012|S013|S014|S015,71,674.0,24,4,60249.21663324443,72.84240213081424,4,0.3946762710044844,2,0.6322200252001584,2,0.5045970804974738,5,0.5147843250275058,4,0.611686840099636,4,0.5198727611952436,2,0.7458993964840926,3,0.5733934421675592
P123_4_5,G2,S006,6,59.0,2,0,2749.0492972949805,3.625121489187333,1,0.3880260157754234,0,0.0,1,0.42252954989691377,1,0.6509888786714572,0,0.0,1,0.849404622938684,0,0.0,0,0.0
P123_4_5,G3,S011,3,25.0,1,0,1279.450870860137,1.9058790476563696,0,0.0,0,0.0,1,0.4866757113547819,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0
P1245_3,G1,S001|S002|S004|S006|S008|S009|S010|S011|S012|S013|S014,58,548.0,18,2,40464.04386460016,50.957343637798324,2,0.3582338801426074,2,0.7921597703028884,2,0.5479871731935866,4,0.2931593090790055,4,0.7664320765499629,4,0.5699954811804863,2,0.5389879655532389,2,0.6198352357582508
