partition,group,resource_type,resource_id,task,start,release,next_task,handoff_slack_seconds,physical_id,inventory_status
P1234_5,G1,A_aircraft,G1-A_aircraft-01,T002_2,0.0,1602.5927359801724,T017,5.00010000000043,U01,existing
P1234_5,G1,A_aircraft,G1-A_aircraft-01,T017,1607.5928359801728,3951.4399106921446,T023,1478.9944606267254,U01,existing
P1234_5,G1,A_aircraft,G1-A_aircraft-01,T023,5430.43437131887,7066.192475987335,,,U01,existing
P1234_5,G1,A_aircraft,G1-A_aircraft-02,T005,0.0,1312.470877312685,T009,5.000099999999975,U02,existing
P1234_5,G1,A_aircraft,G1-A_aircraft-02,T009,1317.470977312685,2633.4851917296737,T007,1076.1909749207325,U02,existing
P1234_5,G1,A_aircraft,G1-A_aircraft-02,T007,3709.6761666504062,6317.717063759328,,,U02,existing
P1234_5,G1,A_aircraft,G1-A_aircraft-03,T014_1,0.0,1695.7581046684645,T016,2038.9180619819408,U03,existing
P1234_5,G1,A_aircraft,G1-A_aircraft-03,T016,3734.6761666504053,5430.43427131887,T019_1,1140.976412156203,U03,existing
P1234_5,G1,A_aircraft,G1-A_aircraft-03,T019_1,6571.410683475073,8207.168788143537,,,U03,existing
P1234_5,G1,A_aircraft,G1-A_aircraft-04,T002_1,1.3642420526593924e-12,1652.4416357195478,T020,2136.234530930858,U04,existing
P1234_5,G1,A_aircraft,G1-A_aircraft-04,T020,3788.676166650406,5758.886013627225,,,U04,existing
P1234_5,G1,B_aircraft,G1-B_aircraft-01,T008,0.0,1844.5388901555675,T004,246.57275007968929,U05,existing
P1234_5,G1,B_aircraft,G1-B_aircraft-01,T004,2091.111640235257,4124.424541549162,T014_2,5.000100000000202,U05,existing
P1234_5,G1,B_aircraft,G1-B_aircraft-01,T014_2,4129.4246415491625,5995.195651097082,T022,5.000100000000202,U05,existing
P1234_5,G1,B_aircraft,G1-B_aircraft-01,T022,6000.195751097082,7500.974487711939,,,U05,existing
P1234_5,G1,B_aircraft,G1-B_aircraft-02,T015,0.0,1554.5713591276817,T011,5.000100000000202,U06,existing
P1234_5,G1,B_aircraft,G1-B_aircraft-02,T011,1559.571459127682,3443.5959031496714,T013,5.000100000001112,U06,existing
P1234_5,G1,B_aircraft,G1-B_aircraft-02,T013,3448.5960031496725,5406.637274636667,T021,5.000100000000202,U06,existing
P1234_5,G1,B_aircraft,G1-B_aircraft-02,T021,5411.637374636667,7309.678646123662,,,U06,existing
P1234_5,G1,C_aircraft,G1-C_aircraft-01,T010_1,0.0,1823.224406150507,T010_2,5.000100000000202,U07,existing
P1234_5,G1,C_aircraft,G1-C_aircraft-01,T010_2,1828.2245061505073,3261.2595890284992,T003,302.1575942452255,U07,existing
P1234_5,G1,C_aircraft,G1-C_aircraft-01,T003,3563.4171832737247,4992.84336079119,T001,5.000100000000202,U07,existing
