id,group_count,resource_total,shortage_total,workload_cv,stock_sufficient,assignment_replay_passed,need_A_aircraft,shortage_A_aircraft,need_B_aircraft,shortage_B_aircraft,need_C_aircraft,shortage_C_aircraft,need_A_batteries,shortage_A_batteries,need_B_batteries,shortage_B_batteries,need_C_batteries,shortage_C_batteries,need_relay_aircraft,shortage_relay_aircraft,need_relay_components,shortage_relay_components
P12345_6,2,29,2,0.9626632950156226,False,True,4,0,3,1,2,0,6,0,5,1,4,0,2,0,3,0
P12346_5,2,35,8,0.6251178423456178,False,True,7,3,3,1,3,1,8,2,4,0,4,0,3,1,3,0
P1234_56,2,36,9,0.5877811373612405,False,True,7,3,3,1,3,1,8,2,5,1,4,0,3,1,3,0
P1234_5_6,3,37,10,0.9986163935015976,False,True,7,3,4,2,3,1,8,2,5,1,4,0,3,1,3,0
P12356_4,2,31,4,0.9137207216130404,False,True,5,1,2,0,3,1,7,1,4,0,5,1,2,0,3,0
P1235_46,2,33,6,0.8763840166286632,False,True,5,1,3,1,3,1,7,1,5,1,5,1,2,0,3,0
P1235_4_6,3,33,6,1.283449002087027,False,True,5,1,3,1,3,1,7,1,5,1,5,1,2,0,3,0
P1236_45,2,38,11,0.5388385639586581,False,True,8,4,3,1,3,1,9,3,4,0,5,1,3,1,3,0
P1236_4_5,3,39,12,0.9418087140973447,False,True,8,4,3,1,4,2,9,3,4,0,5,1,3,1,3,0
P123_456,2,39,12,0.5015018589742808,False,True,8,4,3,1,3,1,9,3,5,1,5,1,3,1,3,0
P123_45_6,3,40,13,0.9227289954805354,False,True,8,4,4,2,3,1,9,3,5,1,5,1,3,1,3,0
P123_46_5,3,41,14,0.8987458105503283,False,True,8,4,4,2,4,2,9,3,5,1,5,1,3,1,3,0
P123_4_56,3,40,13,0.9076933693836489,False,True,8,4,3,1,4,2,9,3,5,1,5,1,3,1,3,0
P12456_3,2,36,9,0.3257470626355597,False,True,7,3,3,1,3,1,9,3,4,0,4,0,3,1,3,0
P1245_36,2,38,11,0.2884103576511824,False,True,7,3,4,2,3,1,9,3,5,1,4,0,3,1,3,0
P1245_3_6,3,38,11,0.7661652740041703,False,True,7,3,4,2,3,1,9,3,5,1,4,0,3,1,3,0
P1246_35,2,27,0,0.04913509501882253,True,True,4,0,2,0,2,0,6,0,4,0,4,0,2,0,3,0
P1246_3_5,3,36,9,0.35280772723649834,False,True,7,3,3,1,3,1,9,3,4,0,4,0,3,1,3,0
P124_356,2,29,2,0.08647180000319984,False,True,4,0,3,1,2,0,6,0,5,1,4,0,2,0,3,0
P124_35_6,3,29,2,0.6726508656030098,False,True,4,0,3,1,2,0,6,0,5,1,4,0,2,0,3,0
P124_36_5,3,38,11,0.33327566301987566,False,True,7,3,4,2,3,1,9,3,5,1,4,0,3,1,3,0
P124_3_56,3,37,10,0.30709345456533516,False,True,7,3,3,1,3,1,9,3,5,1,4,0,3,1,3,0
P1256_34,2,37,10,0.23946778424860016,False,True,7,3,3,1,4,2,8,2,4,0,5,1,3,1,3,0
P1256_3_4,3,39,12,0.7062266946315918,False,True,8,4,3,1,4,2,9,3,4,0,5,1,3,1,3,0
P125_346,2,39,12,0.20213107926422277,False,True,7,3,4,2,4,2,8,2,5,1,5,1,3,1,3,0
P125_34_6,3,39,12,0.7202026168730867,False,True,7,3,4,2,4,2,8,2,5,1,5,1,3,1,3,0
P125_36_4,3,41,14,0.684976129899826,False,True,8,4,4,2,4,2,9,3,5,1,5,1,3,1,3,0
P125_3_46,3,41,14,0.66050193032784,False,True,8,4,4,2,4,2,9,3,5,1,5,1,3,1,3,0
P126_345,2,31,4,0.1354143734057822,False,True,5,1,2,0,3,1,7,1,4,0,5,1,2,0,3,0
P126_34_5,3,38,11,0.3159756980805509,False,True,7,3,3,1,4,2,9,3,4,0,5,1,3,1,3,0
P126_35_4,3,31,4,0.6258814986835235,False,True,5,1,2,0,3,1,7,1,4,0,5,1,2,0,3,0
P126_3_45,3,39,12,0.24717685877161635,False,True,8,4,3,1,3,1,10,4,4,0,5,1,3,1,3,0
P12_3456,2,33,6,0.1727510783901594,False,True,5,1,3,1,3,1,7,1,5,1,5,1,2,0,3,0
P12_345_6,3,33,6,0.6936681161658899,False,True,5,1,3,1,3,1,7,1,5,1,5,1,2,0,3,0
P12_346_5,3,40,13,0.3100067238484391,False,True,7,3,4,2,4,2,9,3,5,1,5,1,3,1,3,0
P12_34_56,3,39,12,0.2729575336232321,False,True,7,3,3,1,4,2,9,3,5,1,5,1,3,1,3,0
