partition,group,zones,boxes,cargo_kg,transport_sorties,relay_sorties,work_seconds,energy_kwh,need_A_aircraft,occupancy_A_aircraft,need_B_aircraft,occupancy_B_aircraft,need_C_aircraft,occupancy_C_aircraft,need_A_batteries,occupancy_A_batteries,need_B_batteries,occupancy_B_batteries,need_C_batteries,occupancy_C_batteries,need_relay_aircraft,occupancy_relay_aircraft,need_relay_components,occupancy_relay_components
P12345_6,G1,S001|S002|S003|S004|S005|S006|S007|S008|S009|S010|S012|S013|S014|S015,77,733.0,26,4,62534.80850628937,78.16479246051355,4,0.46688502592750764,2,0.5129122574663842,2,0.6504277734809794,6,0.5124160269018643,4,0.4885904563370752,4,0.6671579882711728,2,0.721974823889882,3,0.5557113381132054
P12345_6,G2,S011,3,25.0,1,0,1189.630285736439,1.077171254529726,0,0.0,1,0.5120937769095864,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0
P12346_5,G1,S001|S002|S003|S004|S005|S006|S007|S008|S009|S011|S015,68,658.0,22,3,51779.86123719118,65.3512586432294,4,0.3324859290781635,2,0.48394468063905816,2,0.5766540789782812,5,0.4403990544770086,3,0.6187188223254914,3,0.7900242981078629,2,0.6045376100678503,2,0.6960616221666726
P12346_5,G2,S010|S012|S013|S014,12,100.0,5,1,11944.577554834625,13.890705071813889,3,0.537118053522068,1,0.4890845526534951,1,0.44224831998133557,3,0.871724569204727,1,0.910322635340259,1,0.8948802350374185,1,0.7039963345496129,1,0.8242982260268862
P1234_56,G1,S001|S002|S003|S004|S005|S006|S007|S008|S009|S015,65,633.0,21,3,50590.230951454745,64.27408738869967,4,0.3324859290781635,2,0.43132557246785125,2,0.5766540789782812,5,0.4403990544770086,3,0.5502169052368471,3,0.7900242981078629,2,0.6045376100678503,2,0.6960616221666726
P1234_56,G2,S010|S011|S012|S013|S014,15,125.0,6,1,13134.207840571064,14.967876326343616,3,0.3519561573864528,1,0.527174918250798,1,0.289791077195379,3,0.5712130278712577,2,0.500064771196778,1,0.5863861897390408,1,0.4613061190132746,1,0.5401360730113178
P1234_5_6,G1,S001|S002|S003|S004|S005|S006|S007|S008|S009|S015,65,633.0,21,3,50590.230951454745,64.27408738869967,4,0.3324859290781635,2,0.43132557246785125,2,0.5766540789782812,5,0.4403990544770086,3,0.5502169052368471,3,0.7900242981078629,2,0.6045376100678503,2,0.6960616221666726
P1234_5_6,G2,S010|S012|S013|S014,12,100.0,5,1,11944.577554834625,13.890705071813889,3,0.537118053522068,1,0.4890845526534951,1,0.44224831998133557,3,0.871724569204727,1,0.910322635340259,1,0.8948802350374185,1,0.7039963345496129,1,0.8242982260268862
P1234_5_6,G3,S011,3,25.0,1,0,1189.630285736439,1.077171254529726,0,0.0,1,0.5120937769095864,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0
P12356_4,G1,S001|S002|S003|S004|S005|S007|S008|S009|S010|S011|S012|S013|S014|S015,74,699.0,25,4,60975.38949473083,75.61684222585595,4,0.43778039773607513,2,0.5655313656375911,2,0.5870425108971404,6,0.4798635888346598,4,0.5399668941535586,4,0.6034467814715174,2,0.721974823889882,3,0.5557113381132054
P12356_4,G2,S006,6,59.0,2,0,2749.0492972949805,3.625121489187333,1,0.37330136009339365,0,0.0,1,0.40649556793495195,1,0.6262854136934397,0,0.0,1,0.8171717568446353,0,0.0,0,0.0
P1235_46,G1,S001|S002|S003|S004|S005|S007|S008|S009|S010|S012|S013|S014|S015,71,674.0,24,4,59785.75920899439,74.53967097132623,4,0.43778039773607513,2,0.5129122574663842,2,0.5870425108971404,6,0.4798635888346598,4,0.4885904563370752,4,0.6034467814715174,2,0.721974823889882,3,0.5557113381132054
P1235_46,G2,S006|S011,9,84.0,3,0,3938.6795830314195,4.702292743717059,1,0.37330136009339365,1,0.3374512211256343,1,0.40649556793495195,1,0.6262854136934397,1,0.6589637217661671,1,0.8171717568446353,0,0.0,0,0.0
P1235_4_6,G1,S001|S002|S003|S004|S005|S007|S008|S009|S010|S012|S013|S014|S015,71,674.0,24,4,59785.75920899439,74.53967097132623,4,0.43778039773607513,2,0.5129122574663842,2,0.5870425108971404,6,0.4798635888346598,4,0.4885904563370752,4,0.6034467814715174,2,0.721974823889882,3,0.5557113381132054
P1235_4_6,G2,S006,6,59.0,2,0,2749.0492972949805,3.625121489187333,1,0.37330136009339365,0,0.0,1,0.40649556793495195,1,0.6262854136934397,0,0.0,1,0.8171717568446353,0,0.0,0,0.0
P1235_4_6,G3,S011,3,25.0,1,0,1189.630285736439,1.077171254529726,0,0.0,1,0.5120937769095864,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0
P1236_45,G1,S001|S002|S003|S004|S005|S007|S008|S009|S011|S015,62,599.0,20,3,49030.8119398962,61.726137154042064,4,0.30338130088673093,2,0.48394468063905816,2,0.5132688163944423,5,0.4013361287963633,3,0.6187188223254914,3,0.7050760223749891,2,0.6045376100678503,2,0.6960616221666726
P1236_45,G2,S006|S010|S012|S013|S014,18,159.0,7,1,14693.626852129608,17.515826561001223,4,0.3211301868804396,1,0.3204813516511674,1,0.538775266564001,4,0.5243119026499363,1,0.5965050971854982,2,0.5434576284860992,1,0.4613061190132746,1,0.5401360730113178
P1236_4_5,G1,S001|S002|S003|S004|S005|S007|S008|S009|S011|S015,62,599.0,20,3,49030.8119398962,61.726137154042064,4,0.30338130088673093,2,0.48394468063905816,2,0.5132688163944423,5,0.4013361287963633,3,0.6187188223254914,3,0.7050760223749891,2,0.6045376100678503,2,0.6960616221666726
P1236_4_5,G2,S006,6,59.0,2,0,2749.0492972949805,3.625121489187333,1,0.37330136009339365,0,0.0,1,0.40649556793495195,1,0.6262854136934397,0,0.0,1,0.8171717568446353,0,0.0,0,0.0
P1236_4_5,G3,S010|S012|S013|S014,12,100.0,5,1,11944.577554834625,13.890705071813889,3,0.537118053522068,1,0.4890845526534951,1,0.44224831998133557,3,0.871724569204727,1,0.910322635340259,1,0.8948802350374185,1,0.7039963345496129,1,0.8242982260268862
P123_456,G1,S001|S002|S003|S004|S005|S007|S008|S009|S015,59,574.0,19,3,47841.18165415976,60.64896589951233,4,0.30338130088673093,2,0.43132557246785125,2,0.5132688163944423,5,0.4013361287963633,3,0.5502169052368471,3,0.7050760223749891,2,0.6045376100678503,2,0.6960616221666726
P123_456,G2,S006|S010|S011|S012|S013|S014,21,184.0,8,1,15883.257137866047,18.59299781553095,4,0.3211301868804396,1,0.527174918250798,1,0.538775266564001,4,0.5243119026499363,2,0.500064771196778,2,0.5434576284860992,1,0.4613061190132746,1,0.5401360730113178
P123_45_6,G1,S001|S002|S003|S004|S005|S007|S008|S009|S015,59,574.0,19,3,47841.18165415976,60.64896589951233,4,0.30338130088673093,2,0.43132557246785125,2,0.5132688163944423,5,0.4013361287963633,3,0.5502169052368471,3,0.7050760223749891,2,0.6045376100678503,2,0.6960616221666726
P123_45_6,G2,S006|S010|S012|S013|S014,18,159.0,7,1,14693.626852129608,17.515826561001223,4,0.3211301868804396,1,0.3204813516511674,1,0.538775266564001,4,0.5243119026499363,1,0.5965050971854982,2,0.5434576284860992,1,0.4613061190132746,1,0.5401360730113178
P123_45_6,G3,S011,3,25.0,1,0,1189.630285736439,1.077171254529726,0,0.0,1,0.5120937769095864,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0
