partition,group,resource_type,resource_id,task,start,release,next_task,handoff_slack_seconds,physical_id,inventory_status
P12345_6,G1,A_aircraft,G1-A_aircraft-01,T002_1,0.0,1652.4416357195464,T002_2,395.6737375830976,U01,existing
P12345_6,G1,A_aircraft,G1-A_aircraft-01,T002_2,2048.115373302644,3650.7081092828166,T016,909.5119714289131,U01,existing
P12345_6,G1,A_aircraft,G1-A_aircraft-01,T016,4560.22008071173,6255.978185380194,T019_1,5.000099999998383,U01,existing
P12345_6,G1,A_aircraft,G1-A_aircraft-01,T019_1,6260.978285380193,7896.736390048657,,,U01,existing
P12345_6,G1,A_aircraft,G1-A_aircraft-02,T005,0.0,1312.470877312685,T009,5.000099999999975,U02,existing
P12345_6,G1,A_aircraft,G1-A_aircraft-02,T009,1317.470977312685,2633.4851917296737,T014_2,5.0000999999997475,U02,existing
P12345_6,G1,A_aircraft,G1-A_aircraft-02,T014_2,2638.4852917296735,4762.444692702658,T022,5.000099999999293,U02,existing
P12345_6,G1,A_aircraft,G1-A_aircraft-02,T022,4767.444792702658,6458.979278941607,,,U02,existing
P12345_6,G1,A_aircraft,G1-A_aircraft-03,T017,2048.115373302644,4391.962448014616,T020,328.2576326971148,U03,existing
P12345_6,G1,A_aircraft,G1-A_aircraft-03,T020,4720.220080711731,6690.4299276885495,,,U03,existing
P12345_6,G1,A_aircraft,G1-A_aircraft-04,T011,2058.1153733026445,4188.754462062227,T023,1362.7850949684325,U04,existing
P12345_6,G1,A_aircraft,G1-A_aircraft-04,T023,5551.539557030659,7187.297661699124,,,U04,existing
P12345_6,G1,B_aircraft,G1-B_aircraft-01,T014_1,4.16673174186144e-07,1519.0243448285282,T008,465.0910284741158,U05,existing
P12345_6,G1,B_aircraft,G1-B_aircraft-01,T008,1984.115373302644,3828.6542634582115,T007,767.5658172535191,U05,existing
P12345_6,G1,B_aircraft,G1-B_aircraft-01,T007,4596.220080711731,6939.352187396264,,,U05,existing
P12345_6,G1,B_aircraft,G1-B_aircraft-02,T004,1194.630385736439,3227.943287050344,T013,5.000100000000202,U06,existing
P12345_6,G1,B_aircraft,G1-B_aircraft-02,T013,3232.9433870503444,5190.984658537339,T021,5.000100000000202,U06,existing
P12345_6,G1,B_aircraft,G1-B_aircraft-02,T021,5195.984758537339,7094.0260300243335,,,U06,existing
