box_id,sortie,zone,time
S001-FOD-01,T001,S001,1248.8980887587327
S001-FOD-02,T001,S001,1248.8980887587327
S001-FOD-03,T001,S001,1248.8980887587327
S001-HYG-01,T001,S001,1248.8980887587327
S001-WAT-06,T001,S001,1248.8980887587327
S001-WAT-07,T001,S001,1248.8980887587327
S001-WAT-08,T001,S001,1248.8980887587327
S013-MED-01,T002,S013,2458.8297013234196
S013-WAT-01,T002,S013,2458.8297013234196
S007-MED-01,T002,S007,3369.547372825075
S001-HYG-02,T003,S001,1116.8980887587327
S001-WAT-02,T003,S001,1116.8980887587327
S001-WAT-03,T003,S001,1116.8980887587327
S001-WAT-04,T003,S001,1116.8980887587327
S001-WAT-05,T003,S001,1116.8980887587327
S009-MED-01,T004,S009,2586.9793683074286
S002-MED-01,T004,S002,2988.6484271102254
S002-WAT-01,T004,S002,2988.6484271102254
S001-MED-01,T005,S001,969.3587719896758
S001-MED-02,T005,S001,969.3587719896758
S001-WAT-01,T005,S001,969.3587719896758
S006-FOD-01,T009,S006,2788.7532919679675
S006-MED-01,T009,S006,2788.7532919679675
S006-WAT-01,T009,S006,2788.7532919679675
S012-MED-01,T011,S012,1345.2495443797914
S012-WAT-01,T011,S012,1345.2495443797914
S010-FOD-01,T015,S010,1084.8223462305075
S010-MED-01,T015,S010,1084.8223462305075
S010-WAT-01,T015,S010,1084.8223462305075
S011-FOD-01,T006,S011,8739.001809534886
S011-MED-01,T006,S011,8739.001809534886
S011-WAT-01,T006,S011,8739.001809534886
S003-MED-01,T007,S003,4907.0940707315585
S003-WAT-01,T007,S003,4907.0940707315585
S015-MED-01,T007,S015,5320.785610439378
S006-HYG-01,T010,S006,2879.162541438996
S006-WAT-02,T010,S006,2879.162541438996
S006-WAT-03,T010,S006,2879.162541438996
S007-FOD-01,T010,S007,3599.9456798350275
S007-HYG-01,T010,S007,3599.9456798350275
S007-WAT-01,T010,S007,3599.9456798350275
S007-WAT-02,T010,S007,3599.9456798350275
S014-FOD-01,T008,S014,1229.8261117444504
S014-MED-01,T008,S014,1229.8261117444504
S014-WAT-01,T008,S014,1229.8261117444504
S002-FOD-01,T012,S002,2920.9508206392265
S002-FOD-02,T012,S002,2920.9508206392265
S002-HYG-01,T012,S002,2920.9508206392265
S002-WAT-02,T012,S002,2920.9508206392265
S002-WAT-03,T012,S002,2920.9508206392265
S002-WAT-04,T012,S002,2920.9508206392265
S005-MED-01,T014,S005,5412.6357190008985
S005-WAT-01,T014,S005,5412.6357190008985
S004-MED-01,T014,S004,5922.616381120692
S005-FOD-01,T016,S005,4157.268838872595
S005-WAT-02,T016,S005,4157.268838872595
S008-FOD-01,T013,S008,5924.247302410164
S008-MED-01,T013,S008,5924.247302410164
S008-WAT-01,T013,S008,5924.247302410164
S008-HYG-01,T021,S008,7162.247302410164
S008-WAT-02,T021,S008,7162.247302410164
S013-FOD-01,T017,S013,1066.8297013234196
S012-FOD-01,T017,S012,1576.45753033218
S003-FOD-01,T018,S003,5191.364760428824
S003-FOD-02,T018,S003,5191.364760428824
S003-HYG-01,T018,S003,5191.364760428824
S003-WAT-02,T018,S003,5191.364760428824
S003-WAT-03,T018,S003,5191.364760428824
S003-WAT-04,T018,S003,5191.364760428824
S004-FOD-01,T019,S004,6152.56203248392
S004-HYG-01,T019,S004,6152.56203248392
S004-WAT-01,T019,S004,6152.56203248392
S004-WAT-02,T019,S004,6152.56203248392
S004-WAT-03,T019,S004,6152.56203248392
S009-FOD-01,T022,S009,7625.979368307429
S009-WAT-01,T022,S009,7625.979368307429
S015-FOD-01,T020,S015,10622.226496245155
S015-WAT-01,T020,S015,10622.226496245155
S005-HYG-01,T023,S005,10673.268838872595
S005-WAT-03,T023,S005,10673.268838872595
