kind,task,resource,energy_component,start,service_start,service_end,return_time,resource_ready,component_ready,energy_kwh
transport,T001,U07,C03,0.0,0.0,1561.4261775174655,1561.4261775174655,1561.4261775174655,3150.0928537629516,2.788923112291026
transport,T002,U04,A06,1350.0,1350.0,3948.128190684848,3948.128190684848,3948.128190684848,5444.080232101528,3.4475262972115845
transport,T003,U08,C04,0.0,0.0,1429.4261775174655,1429.4261775174655,1429.4261775174655,2947.606630665684,2.52866628854727
transport,T004,U06,B04,1555.0,1555.0,3588.312901313905,3588.312901313905,3588.312901313905,5354.499614211823,2.537353952841351
transport,T005,U03,A04,0.0,0.0,1312.470877312685,1312.470877312685,1312.470877312685,2178.7887122874713,1.2680232749127218
transport,T009,U05,B02,1845.0,1845.0,3114.9799172692683,3114.9799172692683,3114.9799172692683,4311.992001224441,1.223874039896552
transport,T011,U01,A03,0.0,0.0,2130.6390887595826,2130.6390887595826,2130.6390887595826,3488.424083728015,2.9692557518138036
transport,T015,U06,B01,0.0,0.0,1554.5713591276817,1554.5713591276817,1554.5713591276817,3010.3575010505742,1.8210449428989826
transport,T006,U06,B03,7832.0,7832.0,9021.630285736439,9021.630285736439,9021.630285736439,10155.07116269932,1.077171254529726
transport,T007,U06,B03,3589.0,3589.0,5932.132106684533,5932.132106684533,5932.132106684533,7809.929491921515,2.794917042854574
transport,T010,U07,C02,1746.0,1746.0,4150.5978829102805,4150.5978829102805,4150.5978829102805,6232.472794610201,4.609999673968939
transport,T008,U05,B03,0.0,0.0,1844.5388901555675,1844.5388901555675,1844.5388901555675,3433.200853234949,2.127681453260112
transport,T012,U08,C01,1430.0,1430.0,3545.081641278453,3545.081641278453,3545.081641278453,6037.747358730121,6.126765725975389
transport,T014,U01,A01,4252.0,4252.0,6732.949414940517,6732.949414940517,6732.949414940517,8140.865329852893,3.142785859312073
transport,T016,U05,B01,3115.0,3115.0,4634.024344411855,4634.024344411855,4634.024344411855,6120.358573849458,1.8915405294713898
transport,T013,U05,B02,4635.0,4635.0,6593.041271486994,6593.041271486994,6593.041271486994,8552.286898972585,2.982874524966748
transport,T021,U06,B04,5933.0,5933.0,7831.041271486994,7831.041271486994,7831.041271486994,9698.223423404605,2.7704203505790983
transport,T017,U02,A01,18.0,18.0,2361.847074711972,2361.847074711972,2361.847074711972,3725.4110579615462,2.9892599420177586
transport,T018,U08,C03,3546.0,3546.0,5981.809520857649,5981.809520857649,5981.809520857649,8480.163800832162,6.1477696491366665
transport,T019,U07,C04,4633.0,4633.0,6872.184064967842,6872.184064967842,6872.184064967842,9340.86184638789,6.038194885243257
transport,T022,U05,B01,6594.0,6594.0,8094.778736614857,8094.778736614857,8094.778736614857,9630.781178576588,2.00615948145015
transport,T020,U05,B02,9464.0,9464.0,11233.57299249031,11233.57299249031,11233.57299249031,12856.413796367908,2.206555701255996
transport,T023,U06,B01,9631.0,9631.0,11150.024344411855,11150.024344411855,11150.024344411855,12614.706428350346,1.8415740398580562
relay,R001,R02,RE06,2494.1374190294086,3072.0,5579.0,5998.297538856334,6298.297538856334,6890.95042964491,0.9665301927103422
relay,R002,R02,RE05,9644.137419029408,10222.0,10806.0,11225.297538856334,11525.297538856334,11879.244700478244,0.37894685937700884
relay,R003,R01,RE05,907.4908374434992,1626.0,3144.0,3687.5346533808824,3987.5346533808824,4499.587903650432,0.7681310775865832
relay,R004,R01,RE01,4860.490837443499,5579.0,7791.0,8334.534653380882,8634.534653380882,9232.735473094875,0.9801866331421387
relay,R005,R02,RE04,2.0421667087841797,731.0,1626.0,2190.20132134867,2490.20132134867,2924.106500450297,0.5757665947116988
