partition,group,resource_type,resource_id,task,start,release,next_task,handoff_slack_seconds,physical_id,inventory_status
P3,G1,A_aircraft,G1-A_aircraft-01,T005,0.0,1312.470877312685,T002,37.529122687315066,U01,existing
P3,G1,A_aircraft,G1-A_aircraft-01,T002,1350.0,3948.128190684848,,,U01,existing
P3,G1,A_aircraft,G1-A_aircraft-02,T011,0.0,2130.6390887595826,T014,2121.3609112404174,U02,existing
P3,G1,A_aircraft,G1-A_aircraft-02,T014,4252.0,6732.949414940517,,,U02,existing
P3,G1,A_aircraft,G1-A_aircraft-03,T017,18.0,2361.847074711972,,,U03,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T008,0.0,1844.5388901555675,T009,0.46110984443248526,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T009,1845.0,3114.9799172692683,T016,0.020082730731701304,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T016,3115.0,4634.024344411855,T013,0.9756555881449458,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T013,4635.0,6593.041271486994,T022,0.9587285130055534,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T022,6594.0,8094.778736614857,T020,1369.2212633851432,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T020,9464.0,11233.57299249031,,,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-02,T015,0.0,1554.5713591276817,T004,0.4286408723182831,U06,existing
P3,G1,B_aircraft,G1-B_aircraft-02,T004,1555.0,3588.312901313905,T007,0.6870986860949415,U06,existing
P3,G1,B_aircraft,G1-B_aircraft-02,T007,3589.0,5932.132106684533,T021,0.8678933154669721,U06,existing
P3,G1,B_aircraft,G1-B_aircraft-02,T021,5933.0,7831.041271486994,T023,1799.9587285130056,U06,existing
P3,G1,B_aircraft,G1-B_aircraft-02,T023,9631.0,11150.024344411855,,,U06,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T001,0.0,1561.4261775174655,T010,184.57382248253452,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T010,1746.0,4150.5978829102805,T019,482.40211708971947,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T019,4633.0,6872.184064967842,,,U07,existing
