sortie,phase,phase_index,start,end,mode,relay_sortie,margin_lower_db,proof,status
T001,climb,0,480.0,538.1426440429688,direct,,29.982830377148545,obstruction_upper_bound,PASS
T001,cruise,1,538.1426440429688,742.3697837050219,direct,,2.2142767659980365,obstruction_upper_bound,PASS
T001,descent,2,742.3697837050219,751.0,direct,,2.2142767659980365,obstruction_upper_bound,PASS
T001,descent,2,751.0,786.8980887587328,direct,,2.2161387601295726,obstruction_upper_bound,PASS
T001,handoff,3,786.8980887587328,1182.8980887587327,direct,,2.2209329737202967,obstruction_upper_bound,PASS
T001,climb,4,1182.8980887587327,1218.5207328017013,direct,,2.2142767659980365,obstruction_upper_bound,PASS
T001,cruise,5,1218.5207328017013,1422.7478724637544,direct,,2.2142767659980365,obstruction_upper_bound,PASS
T001,descent,6,1422.7478724637544,1495.4261775174655,direct,,29.982830377148545,obstruction_upper_bound,PASS
T002,climb,0,1945.0,2025.2384989420573,direct,,25.06911862942026,obstruction_upper_bound,PASS
T002,cruise,1,2025.2384989420573,2237.3070932374985,direct,,1.8735394127871192,obstruction_upper_bound,PASS
T002,descent,2,2237.3070932374985,2258.7532919679675,direct,,1.8735394127871192,obstruction_upper_bound,PASS
T002,handoff,3,2258.7532919679675,2498.7532919679675,direct,,1.882429799933238,obstruction_upper_bound,PASS
T002,climb,4,2498.7532919679675,2516.625124243358,direct,,1.8735394127871192,obstruction_upper_bound,PASS
T002,cruise,5,2516.625124243358,2728.693718538799,direct,,1.8735394127871192,obstruction_upper_bound,PASS
T002,descent,6,2728.693718538799,2824.979917269268,direct,,25.06911862942026,obstruction_upper_bound,PASS
T003,climb,0,360.0,448.3506103515625,direct,,24.16061612661366,obstruction_upper_bound,PASS
T003,cruise,1,448.3506103515625,751.0,direct,,0.7230969903117614,obstruction_upper_bound,PASS
T003,cruise,1,751.0,852.4089689015445,relay,R004,0.7188306771577473,independent_swept_cells,PASS
T003,descent,2,852.4089689015445,868.8297013234195,relay,R004,0.7188306771577473,independent_swept_cells,PASS
T003,handoff,3,868.8297013234195,1078.8297013234196,relay,R004,0.7188306771577473,independent_swept_cells,PASS
T003,climb,4,1078.8297013234196,1092.5136450083155,relay,R004,0.7188306771577473,independent_swept_cells,PASS
T003,cruise,5,1092.5136450083155,1496.5720035582974,relay,R004,0.7188306771577473,independent_swept_cells,PASS
T003,descent,6,1496.5720035582974,1571.0,direct,,24.16061612661366,obstruction_upper_bound,PASS
