box_id,sortie,zone,time
S001-FOD-01,T001,S001,1182.8980887587327
S001-FOD-02,T001,S001,1182.8980887587327
S001-FOD-03,T001,S001,1182.8980887587327
S001-WAT-06,T001,S001,1182.8980887587327
S001-WAT-07,T001,S001,1182.8980887587327
S001-WAT-08,T001,S001,1182.8980887587327
S006-FOD-01,T002,S006,2498.7532919679675
S006-MED-01,T002,S006,2498.7532919679675
S006-WAT-01,T002,S006,2498.7532919679675
S013-MED-01,T003,S013,1078.8297013234196
S013-WAT-01,T003,S013,1078.8297013234196
S001-HYG-01,T004,S001,1182.8980887587327
S001-HYG-02,T004,S001,1182.8980887587327
S001-WAT-02,T004,S001,1182.8980887587327
S001-WAT-03,T004,S001,1182.8980887587327
S001-WAT-04,T004,S001,1182.8980887587327
S001-WAT-05,T004,S001,1182.8980887587327
S009-MED-01,T005,S009,2440.3572431194743
S002-MED-01,T005,S002,2870.874347160894
S002-WAT-01,T005,S002,2870.874347160894
S001-MED-01,T007,S001,969.3587719896758
S001-MED-02,T007,S001,969.3587719896758
S001-WAT-01,T007,S001,969.3587719896758
S010-FOD-01,T008,S010,1084.8223462305075
S010-MED-01,T008,S010,1084.8223462305075
S010-WAT-01,T008,S010,1084.8223462305075
S003-MED-01,T009,S003,4107.111829747456
S003-WAT-01,T009,S003,4107.111829747456
S015-MED-01,T009,S015,4564.375973620512
S011-FOD-01,T024,S011,3918.001809534886
S011-MED-01,T024,S011,3918.001809534886
S011-WAT-01,T024,S011,3918.001809534886
S007-MED-01,T010,S007,3344.8608178597733
S007-WAT-01,T010,S007,3344.8608178597733
S006-HYG-01,T012,S006,2800.162541438996
S006-WAT-02,T012,S006,2800.162541438996
S006-WAT-03,T012,S006,2800.162541438996
S007-FOD-01,T012,S007,3484.9456798350275
S007-HYG-01,T012,S007,3484.9456798350275
S007-WAT-02,T012,S007,3484.9456798350275
S002-FOD-01,T013,S002,2986.9508206392265
S002-FOD-02,T013,S002,2986.9508206392265
S002-HYG-01,T013,S002,2986.9508206392265
S002-WAT-02,T013,S002,2986.9508206392265
S002-WAT-03,T013,S002,2986.9508206392265
S002-WAT-04,T013,S002,2986.9508206392265
S014-FOD-01,T011,S014,1229.8261117444504
S014-MED-01,T011,S014,1229.8261117444504
S014-WAT-01,T011,S014,1229.8261117444504
S012-MED-01,T006,S012,1345.2495443797914
S012-WAT-01,T006,S012,1345.2495443797914
S005-MED-01,T014,S005,4649.6357190008985
S005-WAT-01,T014,S005,4649.6357190008985
S004-MED-01,T014,S004,5159.616381120692
S008-FOD-01,T015,S008,3134.247302410164
S008-MED-01,T015,S008,3134.247302410164
S008-WAT-01,T015,S008,3134.247302410164
S009-FOD-01,T022,S009,2730.3572431194743
S009-WAT-01,T022,S009,2730.3572431194743
S008-HYG-01,T021,S008,5033.247302410164
S008-WAT-02,T021,S008,5033.247302410164
S003-FOD-01,T018,S003,5257.364760428824
S003-FOD-02,T018,S003,5257.364760428824
S003-HYG-01,T018,S003,5257.364760428824
S003-WAT-02,T018,S003,5257.364760428824
S003-WAT-03,T018,S003,5257.364760428824
S003-WAT-04,T018,S003,5257.364760428824
S013-FOD-01,T016,S013,1048.8297013234196
S012-FOD-01,T016,S012,1558.45753033218
S004-FOD-01,T023,S004,5555.56203248392
S004-HYG-01,T023,S004,5555.56203248392
S004-WAT-01,T023,S004,5555.56203248392
S004-WAT-02,T023,S004,5555.56203248392
S004-WAT-03,T023,S004,5555.56203248392
S015-FOD-01,T020,S015,4966.54492348841
S015-WAT-01,T020,S015,4966.54492348841
S005-FOD-01,T019,S005,5601.6357190008985
S005-WAT-02,T019,S005,5601.6357190008985
S005-HYG-01,T017,S005,5243.268838872595
S005-WAT-03,T017,S005,5243.268838872595
