kind,task,resource,energy_component,start,service_start,service_end,return_time,resource_ready,component_ready,energy_kwh
transport,T001,U07,C04,0.0,0.0,1495.4261775174655,1495.4261775174655,1495.4261775174655,3038.637095537719,2.6210864665363207
transport,T002,U06,B03,1555.0,1555.0,2824.9799172692683,2824.9799172692683,2824.9799172692683,4021.992001224441,1.223874039896552
transport,T003,U01,A06,0.0,0.0,1602.5927359801724,1602.5927359801724,1602.5927359801724,2667.0598976968568,1.953924790557753
transport,T004,U08,C03,0.0,0.0,1495.4261775174655,1495.4261775174655,1495.4261775174655,3052.6165531873967,2.6727029255505155
transport,T005,U04,A05,1313.0,1313.0,3594.4599588363917,3594.4599588363917,3594.4599588363917,4962.403580614774,3.0044202292328617
transport,T007,U04,A04,0.0,0.0,1312.470877312685,1312.470877312685,1312.470877312685,2178.7887122874713,1.2680232749127218
transport,T008,U06,B04,0.0,0.0,1554.5713591276817,1554.5713591276817,1554.5713591276817,3010.3575010505742,1.8210449428989826
transport,T009,U03,A06,2668.0,2668.0,5276.040897108922,5276.040897108922,5276.040897108922,6729.304360192513,3.299758141443201
transport,T024,U06,B04,3011.0,3011.0,4200.630285736439,4200.630285736439,4200.630285736439,5334.07116269932,1.077171254529726
transport,T010,U02,A04,2211.0,2211.0,3923.4416357195464,3923.4416357195464,3923.4416357195464,4972.062337358848,1.8990716595206591
transport,T012,U07,C02,1697.0,1697.0,4035.597882910281,4035.597882910281,4035.597882910281,5972.741784683477,4.0756082527010316
transport,T013,U08,C01,1496.0,1496.0,3611.081641278453,3611.081641278453,3611.081641278453,6103.747358730121,6.126765725975389
transport,T011,U05,B02,0.0,0.0,1844.5388901555675,1844.5388901555675,1844.5388901555675,3433.200853234949,2.127681453260112
transport,T006,U02,A01,0.0,0.0,2130.6390887595826,2130.6390887595826,2130.6390887595826,3488.424083728015,2.9692557518138036
transport,T014,U01,A01,3489.0,3489.0,5969.949414940517,5969.949414940517,5969.949414940517,7377.865329852893,3.142785859312073
transport,T015,U05,B01,1845.0,1845.0,3803.041271486995,3803.041271486995,3803.041271486995,5762.286898972586,2.982874524966748
transport,T022,U01,A02,1603.0,1603.0,3294.5344862389493,3294.5344862389493,3294.5344862389493,4470.028992918405,2.3382502154288844
transport,T021,U05,B02,3804.0,3804.0,5702.041271486994,5702.041271486994,5702.041271486994,7569.223423404604,2.7704203505790983
transport,T018,U08,C03,3612.0,3612.0,6047.809520857649,6047.809520857649,6047.809520857649,8546.163800832162,6.1477696491366665
transport,T016,U03,A03,0.0,0.0,2343.847074711972,2343.847074711972,2343.847074711972,3707.4110579615462,2.9892599420177586
transport,T023,U07,C04,4036.0,4036.0,6275.184064967842,6275.184064967842,6275.184064967842,8743.86184638789,6.038194885243257
transport,T020,U04,A03,3708.0,3708.0,5678.209846976819,5678.209846976819,5678.209846976819,6918.210497663895,2.5615407139167994
transport,T019,U02,A02,4471.0,4471.0,6166.7581046684645,6166.7581046684645,6166.7581046684645,7302.734416824666,2.2014564651560833
transport,T017,U06,B03,4201.0,4201.0,5720.024344411855,5720.024344411855,5720.024344411855,7184.706428350346,1.8415740398580562
relay,R001,R02,RE06,2436.1374190294086,3014.0,5802.0,6221.297538856334,6521.297538856334,7148.831506033799,1.0523913038214532
relay,R002,R01,RE05,852.4908374434992,1571.0,3192.0,3735.5346533808824,4035.5346533808824,4560.373493928209,0.7996032998088054
relay,R003,R01,RE01,4040.490837443499,4759.0,5705.0,6248.534653380882,6548.534653380882,6989.584431428209,0.5933532998088054
relay,R004,R02,RE04,22.04216670878418,751.0,1571.0,2135.20132134867,2435.20132134867,2859.796604616964,0.5528499280450321
