partition,group,resource_type,resource_id,task,start,release,next_task,handoff_slack_seconds,physical_id,inventory_status
P3,G1,A_aircraft,G1-A_aircraft-01,T003,0.0,1602.5927359801724,T022,0.4072640198276076,U01,existing
P3,G1,A_aircraft,G1-A_aircraft-01,T022,1603.0,3294.5344862389493,T014,194.46551376105072,U01,existing
P3,G1,A_aircraft,G1-A_aircraft-01,T014,3489.0,5969.949414940517,,,U01,existing
P3,G1,A_aircraft,G1-A_aircraft-02,T006,0.0,2130.6390887595826,T010,80.36091124041741,U02,existing
P3,G1,A_aircraft,G1-A_aircraft-02,T010,2211.0,3923.4416357195464,T019,547.5583642804536,U02,existing
P3,G1,A_aircraft,G1-A_aircraft-02,T019,4471.0,6166.7581046684645,,,U02,existing
P3,G1,A_aircraft,G1-A_aircraft-03,T007,0.0,1312.470877312685,T005,0.5291226873150663,U03,existing
P3,G1,A_aircraft,G1-A_aircraft-03,T005,1313.0,3594.4599588363917,T020,113.5400411636083,U03,existing
P3,G1,A_aircraft,G1-A_aircraft-03,T020,3708.0,5678.209846976819,,,U03,existing
P3,G1,A_aircraft,G1-A_aircraft-04,T016,0.0,2343.847074711972,T009,324.1529252880282,U04,existing
P3,G1,A_aircraft,G1-A_aircraft-04,T009,2668.0,5276.040897108922,,,U04,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T008,0.0,1554.5713591276817,T002,0.4286408723182831,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T002,1555.0,2824.9799172692683,T017,1376.0200827307317,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T017,4201.0,5720.024344411855,,,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-02,T011,0.0,1844.5388901555675,T015,0.46110984443248526,U06,existing
P3,G1,B_aircraft,G1-B_aircraft-02,T015,1845.0,3803.041271486995,T021,0.9587285130050986,U06,existing
P3,G1,B_aircraft,G1-B_aircraft-02,T021,3804.0,5702.041271486994,,,U06,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T001,0.0,1495.4261775174655,T012,201.57382248253452,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T012,1697.0,4035.597882910281,T023,0.40211708971901317,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T023,4036.0,6275.184064967842,,,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-02,T004,0.0,1495.4261775174655,T013,0.5738224825345242,U08,existing
P3,G1,C_aircraft,G1-C_aircraft-02,T013,1496.0,3611.081641278453,T018,0.9183587215470652,U08,existing
P3,G1,C_aircraft,G1-C_aircraft-02,T018,3612.0,6047.809520857649,,,U08,existing
P3,G1,A_batteries,G1-A_batteries-01,T003,0.0,2667.0598976968568,T009,0.9401023031432487,A01,existing
P3,G1,A_batteries,G1-A_batteries-01,T009,2668.0,6729.304360192513,,,A01,existing
P3,G1,A_batteries,G1-A_batteries-02,T006,0.0,3488.424083728015,T014,0.5759162719850792,A02,existing
P3,G1,A_batteries,G1-A_batteries-02,T014,3489.0,7377.865329852893,,,A02,existing
P3,G1,A_batteries,G1-A_batteries-03,T007,0.0,2178.7887122874713,T010,32.2112877125287,A03,existing
P3,G1,A_batteries,G1-A_batteries-03,T010,2211.0,4972.062337358848,,,A03,existing
P3,G1,A_batteries,G1-A_batteries-04,T016,0.0,3707.4110579615462,T020,0.5889420384537516,A04,existing
P3,G1,A_batteries,G1-A_batteries-04,T020,3708.0,6918.210497663895,,,A04,existing
P3,G1,A_batteries,G1-A_batteries-05,T005,1313.0,4962.403580614774,,,A05,existing
P3,G1,A_batteries,G1-A_batteries-06,T022,1603.0,4470.028992918405,T019,0.9710070815954168,A06,existing
P3,G1,A_batteries,G1-A_batteries-06,T019,4471.0,7302.734416824666,,,A06,existing
P3,G1,B_batteries,G1-B_batteries-01,T008,0.0,3010.3575010505742,T021,793.6424989494258,B01,existing
P3,G1,B_batteries,G1-B_batteries-01,T021,3804.0,7569.223423404604,,,B01,existing
P3,G1,B_batteries,G1-B_batteries-02,T011,0.0,3433.200853234949,T017,767.7991467650509,B02,existing
P3,G1,B_batteries,G1-B_batteries-02,T017,4201.0,7184.706428350346,,,B02,existing
P3,G1,B_batteries,G1-B_batteries-03,T002,1555.0,4021.992001224441,,,B03,existing
P3,G1,B_batteries,G1-B_batteries-04,T015,1845.0,5762.286898972586,,,B04,existing
P3,G1,C_batteries,G1-C_batteries-01,T001,0.0,3038.637095537719,T018,573.3629044622812,C01,existing
P3,G1,C_batteries,G1-C_batteries-01,T018,3612.0,8546.163800832162,,,C01,existing
P3,G1,C_batteries,G1-C_batteries-02,T004,0.0,3052.6165531873967,T023,983.3834468126033,C02,existing
P3,G1,C_batteries,G1-C_batteries-02,T023,4036.0,8743.86184638789,,,C02,existing
P3,G1,C_batteries,G1-C_batteries-03,T013,1496.0,6103.747358730121,,,C03,existing
P3,G1,C_batteries,G1-C_batteries-04,T012,1697.0,5972.741784683477,,,C04,existing
P3,G1,relay_aircraft,G1-relay_aircraft-01,R004,22.04216670878418,2435.20132134867,R001,0.9360976807388397,R01,existing
P3,G1,relay_aircraft,G1-relay_aircraft-01,R001,2436.1374190294086,6521.297538856334,,,R01,existing
P3,G1,relay_aircraft,G1-relay_aircraft-02,R002,852.4908374434992,4035.5346533808824,R003,4.956184062616558,R02,existing
P3,G1,relay_aircraft,G1-relay_aircraft-02,R003,4040.490837443499,6548.534653380882,,,R02,existing
P3,G1,relay_components,G1-relay_components-01,R004,22.04216670878418,2859.796604616964,R003,1180.694232826535,RE01,existing
P3,G1,relay_components,G1-relay_components-01,R003,4040.490837443499,6989.584431428209,,,RE01,existing
P3,G1,relay_components,G1-relay_components-02,R002,852.4908374434992,4560.373493928209,,,RE02,existing
P3,G1,relay_components,G1-relay_components-03,R001,2436.1374190294086,7148.831506033799,,,RE03,existing
P3,G2,B_aircraft,G2-B_aircraft-01,T024,3011.0,4200.630285736439,,,NEW-B_aircraft-01,procurement_required
P3,G2,B_batteries,G2-B_batteries-01,T024,3011.0,5334.07116269932,,,NEW-B_batteries-01,procurement_required
P2,G1,A_aircraft,G1-A_aircraft-01,T007,0.0,1312.470877312685,,,U01,existing
P2,G1,B_aircraft,G1-B_aircraft-01,T024,3011.0,4200.630285736439,,,U05,existing
P2,G1,C_aircraft,G1-C_aircraft-01,T001,0.0,1495.4261775174655,,,U07,existing
P2,G1,C_aircraft,G1-C_aircraft-02,T004,0.0,1495.4261775174655,,,U08,existing
P2,G1,A_batteries,G1-A_batteries-01,T007,0.0,2178.7887122874713,,,A01,existing
P2,G1,B_batteries,G1-B_batteries-01,T024,3011.0,5334.07116269932,,,B01,existing
P2,G1,C_batteries,G1-C_batteries-01,T001,0.0,3038.637095537719,,,C01,existing
P2,G1,C_batteries,G1-C_batteries-02,T004,0.0,3052.6165531873967,,,C02,existing
P2,G2,A_aircraft,G2-A_aircraft-01,T003,0.0,1602.5927359801724,T022,0.4072640198276076,U02,existing
P2,G2,A_aircraft,G2-A_aircraft-01,T022,1603.0,3294.5344862389493,T014,194.46551376105072,U02,existing
P2,G2,A_aircraft,G2-A_aircraft-01,T014,3489.0,5969.949414940517,,,U02,existing
P2,G2,A_aircraft,G2-A_aircraft-02,T006,0.0,2130.6390887595826,T010,80.36091124041741,U03,existing
P2,G2,A_aircraft,G2-A_aircraft-02,T010,2211.0,3923.4416357195464,T019,547.5583642804536,U03,existing
P2,G2,A_aircraft,G2-A_aircraft-02,T019,4471.0,6166.7581046684645,,,U03,existing
P2,G2,A_aircraft,G2-A_aircraft-03,T016,0.0,2343.847074711972,T009,324.1529252880282,U04,existing
P2,G2,A_aircraft,G2-A_aircraft-03,T009,2668.0,5276.040897108922,,,U04,existing
P2,G2,A_aircraft,G2-A_aircraft-04,T005,1313.0,3594.4599588363917,T020,113.5400411636083,NEW-A_aircraft-01,procurement_required
P2,G2,A_aircraft,G2-A_aircraft-04,T020,3708.0,5678.209846976819,,,NEW-A_aircraft-01,procurement_required
P2,G2,B_aircraft,G2-B_aircraft-01,T008,0.0,1554.5713591276817,T002,0.4286408723182831,U06,existing
P2,G2,B_aircraft,G2-B_aircraft-01,T002,1555.0,2824.9799172692683,T017,1376.0200827307317,U06,existing
P2,G2,B_aircraft,G2-B_aircraft-01,T017,4201.0,5720.024344411855,,,U06,existing
P2,G2,B_aircraft,G2-B_aircraft-02,T011,0.0,1844.5388901555675,T015,0.46110984443248526,NEW-B_aircraft-01,procurement_required
P2,G2,B_aircraft,G2-B_aircraft-02,T015,1845.0,3803.041271486995,T021,0.9587285130050986,NEW-B_aircraft-01,procurement_required
P2,G2,B_aircraft,G2-B_aircraft-02,T021,3804.0,5702.041271486994,,,NEW-B_aircraft-01,procurement_required
P2,G2,C_aircraft,G2-C_aircraft-01,T013,1496.0,3611.081641278453,T018,0.9183587215470652,NEW-C_aircraft-01,procurement_required
P2,G2,C_aircraft,G2-C_aircraft-01,T018,3612.0,6047.809520857649,,,NEW-C_aircraft-01,procurement_required
P2,G2,C_aircraft,G2-C_aircraft-02,T012,1697.0,4035.597882910281,T023,0.40211708971901317,NEW-C_aircraft-02,procurement_required
P2,G2,C_aircraft,G2-C_aircraft-02,T023,4036.0,6275.184064967842,,,NEW-C_aircraft-02,procurement_required
P2,G2,A_batteries,G2-A_batteries-01,T003,0.0,2667.0598976968568,T009,0.9401023031432487,A02,existing
P2,G2,A_batteries,G2-A_batteries-01,T009,2668.0,6729.304360192513,,,A02,existing
P2,G2,A_batteries,G2-A_batteries-02,T006,0.0,3488.424083728015,T014,0.5759162719850792,A03,existing
P2,G2,A_batteries,G2-A_batteries-02,T014,3489.0,7377.865329852893,,,A03,existing
P2,G2,A_batteries,G2-A_batteries-03,T016,0.0,3707.4110579615462,T020,0.5889420384537516,A04,existing
P2,G2,A_batteries,G2-A_batteries-03,T020,3708.0,6918.210497663895,,,A04,existing
P2,G2,A_batteries,G2-A_batteries-04,T005,1313.0,4962.403580614774,,,A05,existing
P2,G2,A_batteries,G2-A_batteries-05,T022,1603.0,4470.028992918405,T019,0.9710070815954168,A06,existing
P2,G2,A_batteries,G2-A_batteries-05,T019,4471.0,7302.734416824666,,,A06,existing
