partition,group,resource_type,resource_id,task,start,release,next_task,handoff_slack_seconds,physical_id,inventory_status
P3,G1,A_aircraft,G1-A_aircraft-01,T005,0.0,1312.470877312685,T007,828.5291226873151,U01,existing
P3,G1,A_aircraft,G1-A_aircraft-01,T007,2141.0,4749.040897108922,,,U01,existing
P3,G1,A_aircraft,G1-A_aircraft-02,T011,0.0,2130.6390887595826,T014,169.3609112404174,U02,existing
P3,G1,A_aircraft,G1-A_aircraft-02,T014,2300.0,4780.949414940517,,,U02,existing
P3,G1,A_aircraft,G1-A_aircraft-03,T004,8.0,2289.4599588363917,T016,1490.5400411636083,U03,existing
P3,G1,A_aircraft,G1-A_aircraft-03,T016,3780.0,5475.7581046684645,,,U03,existing
P3,G1,A_aircraft,G1-A_aircraft-04,T002,1171.0,3769.128190684848,T017,1329.871809315152,U04,existing
P3,G1,A_aircraft,G1-A_aircraft-04,T017,5099.0,7442.847074711972,,,U04,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T008,0.0,1844.5388901555675,T022,10.461109844432485,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T022,1855.0,3355.7787366148573,T023,10.22126338514272,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T023,3366.0,4885.024344411855,T021,16.975655588144946,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T021,4902.0,6800.041271486994,,,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-02,T015,1.0,1555.5713591276817,T013,10.428640872318283,U06,existing
P3,G1,B_aircraft,G1-B_aircraft-02,T013,1566.0,3524.041271486995,T020,10.958728513005099,U06,existing
P3,G1,B_aircraft,G1-B_aircraft-02,T020,3535.0,5304.57299249031,,,U06,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T001,0.0,1561.4261775174655,T003,10.573822482534524,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T003,1572.0,3001.4261775174655,T019,980.5738224825345,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T019,3982.0,6221.184064967842,T012,10.81593503215845,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T012,6232.0,8347.081641278453,,,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-02,T009,0.0,1367.0350828779922,T010,199.96491712200782,U08,existing
P3,G1,C_aircraft,G1-C_aircraft-02,T010,1567.0,3971.597882910281,T018,4728.4021170897195,U08,existing
P3,G1,C_aircraft,G1-C_aircraft-02,T018,8700.0,11135.809520857649,,,U08,existing
P3,G1,A_batteries,G1-A_batteries-01,T005,0.0,2178.7887122874713,T014,121.2112877125287,A01,existing
P3,G1,A_batteries,G1-A_batteries-01,T014,2300.0,6188.865329852893,,,A01,existing
P3,G1,A_batteries,G1-A_batteries-02,T011,0.0,3488.424083728015,T017,1610.575916271985,A02,existing
P3,G1,A_batteries,G1-A_batteries-02,T017,5099.0,8806.411057961546,,,A02,existing
P3,G1,A_batteries,G1-A_batteries-03,T004,8.0,3657.403580614774,T016,122.596419385226,A03,existing
P3,G1,A_batteries,G1-A_batteries-03,T016,3780.0,6611.734416824666,,,A03,existing
P3,G1,A_batteries,G1-A_batteries-04,T002,1171.0,5265.080232101528,,,A04,existing
P3,G1,A_batteries,G1-A_batteries-05,T007,2141.0,6202.304360192513,,,A05,existing
P3,G1,B_batteries,G1-B_batteries-01,T008,0.0,3433.200853234949,T020,101.79914676505086,B01,existing
P3,G1,B_batteries,G1-B_batteries-01,T020,3535.0,6927.413796367908,,,B01,existing
P3,G1,B_batteries,G1-B_batteries-02,T015,1.0,3011.3575010505742,T023,354.64249894942577,B02,existing
P3,G1,B_batteries,G1-B_batteries-02,T023,3366.0,6349.706428350346,,,B02,existing
P3,G1,B_batteries,G1-B_batteries-03,T013,1566.0,5483.286898972586,,,B03,existing
P3,G1,B_batteries,G1-B_batteries-04,T022,1855.0,4891.781178576589,T021,10.2188214234111,B04,existing
P3,G1,B_batteries,G1-B_batteries-04,T021,4902.0,8667.223423404605,,,B04,existing
P3,G1,C_batteries,G1-C_batteries-01,T001,0.0,3150.0928537629516,T018,5549.907146237048,C01,existing
P3,G1,C_batteries,G1-C_batteries-01,T018,8700.0,13634.163800832162,,,C01,existing
P3,G1,C_batteries,G1-C_batteries-02,T009,0.0,2785.3215723100757,T019,1196.6784276899243,C02,existing
P3,G1,C_batteries,G1-C_batteries-02,T019,3982.0,8689.86184638789,,,C02,existing
P3,G1,C_batteries,G1-C_batteries-03,T010,1567.0,6053.472794610202,,,C03,existing
P3,G1,C_batteries,G1-C_batteries-04,T003,1572.0,4519.606630665684,T012,1712.393369334316,C04,existing
P3,G1,C_batteries,G1-C_batteries-04,T012,6232.0,10839.747358730121,,,C04,existing
P3,G1,relay_aircraft,G1-relay_aircraft-01,R004,3.0421667087841797,2304.2013213486703,R001,10.936097680738385,R01,existing
P3,G1,relay_aircraft,G1-relay_aircraft-01,R001,2315.1374190294086,5674.297538856334,R005,10.744627852450321,R01,existing
P3,G1,relay_aircraft,G1-relay_aircraft-01,R005,5685.042166708784,7571.20132134867,R002,1445.9360976807384,R01,existing
P3,G1,relay_aircraft,G1-relay_aircraft-01,R002,9017.137419029408,11396.297538856334,,,R01,existing
P3,G1,relay_aircraft,G1-relay_aircraft-02,R003,91.49083744349923,8851.534653380882,,,R02,existing
P3,G1,relay_components,G1-relay_components-01,R004,3.0421667087841797,2714.8938268391867,R005,2970.1483398695973,RE01,existing
P3,G1,relay_components,G1-relay_components-01,R005,5685.042166708784,7930.379069894741,,,RE01,existing
P3,G1,relay_components,G1-relay_components-02,R003,91.49083744349923,10068.657348094875,,,RE02,existing
P3,G1,relay_components,G1-relay_components-03,R001,2315.1374190294086,6211.711714367132,R002,2805.425704662276,RE03,existing
P3,G1,relay_components,G1-relay_components-03,R002,9017.137419029408,11812.062408811576,,,RE03,existing
P3,G2,C_aircraft,G2-C_aircraft-01,T006,3161.0,4440.450870860137,,,NEW-C_aircraft-01,procurement_required
P3,G2,C_batteries,G2-C_batteries-01,T006,3161.0,5789.959779600404,,,NEW-C_batteries-01,procurement_required
P2,G1,A_aircraft,G1-A_aircraft-01,T005,0.0,1312.470877312685,,,U01,existing
P2,G1,C_aircraft,G1-C_aircraft-01,T001,0.0,1561.4261775174655,T003,10.573822482534524,U07,existing
P2,G1,C_aircraft,G1-C_aircraft-01,T003,1572.0,3001.4261775174655,T006,159.57382248253452,U07,existing
P2,G1,C_aircraft,G1-C_aircraft-01,T006,3161.0,4440.450870860137,,,U07,existing
P2,G1,A_batteries,G1-A_batteries-01,T005,0.0,2178.7887122874713,,,A01,existing
P2,G1,C_batteries,G1-C_batteries-01,T001,0.0,3150.0928537629516,T006,10.907146237048437,C01,existing
P2,G1,C_batteries,G1-C_batteries-01,T006,3161.0,5789.959779600404,,,C01,existing
P2,G1,C_batteries,G1-C_batteries-02,T003,1572.0,4519.606630665684,,,C02,existing
P2,G2,A_aircraft,G2-A_aircraft-01,T011,0.0,2130.6390887595826,T007,10.360911240417408,U02,existing
P2,G2,A_aircraft,G2-A_aircraft-01,T007,2141.0,4749.040897108922,T017,349.95910289107815,U02,existing
P2,G2,A_aircraft,G2-A_aircraft-01,T017,5099.0,7442.847074711972,,,U02,existing
P2,G2,A_aircraft,G2-A_aircraft-02,T004,8.0,2289.4599588363917,T014,10.540041163608294,U03,existing
P2,G2,A_aircraft,G2-A_aircraft-02,T014,2300.0,4780.949414940517,,,U03,existing
P2,G2,A_aircraft,G2-A_aircraft-03,T002,1171.0,3769.128190684848,T016,10.87180931515195,U04,existing
P2,G2,A_aircraft,G2-A_aircraft-03,T016,3780.0,5475.7581046684645,,,U04,existing
P2,G2,B_aircraft,G2-B_aircraft-01,T008,0.0,1844.5388901555675,T022,10.461109844432485,U05,existing
P2,G2,B_aircraft,G2-B_aircraft-01,T022,1855.0,3355.7787366148573,T023,10.22126338514272,U05,existing
P2,G2,B_aircraft,G2-B_aircraft-01,T023,3366.0,4885.024344411855,T021,16.975655588144946,U05,existing
P2,G2,B_aircraft,G2-B_aircraft-01,T021,4902.0,6800.041271486994,,,U05,existing
P2,G2,B_aircraft,G2-B_aircraft-02,T015,1.0,1555.5713591276817,T013,10.428640872318283,U06,existing
P2,G2,B_aircraft,G2-B_aircraft-02,T013,1566.0,3524.041271486995,T020,10.958728513005099,U06,existing
P2,G2,B_aircraft,G2-B_aircraft-02,T020,3535.0,5304.57299249031,,,U06,existing
P2,G2,C_aircraft,G2-C_aircraft-01,T009,0.0,1367.0350828779922,T010,199.96491712200782,U08,existing
P2,G2,C_aircraft,G2-C_aircraft-01,T010,1567.0,3971.597882910281,T019,10.402117089719013,U08,existing
P2,G2,C_aircraft,G2-C_aircraft-01,T019,3982.0,6221.184064967842,T012,10.81593503215845,U08,existing
P2,G2,C_aircraft,G2-C_aircraft-01,T012,6232.0,8347.081641278453,T018,352.9183587215466,U08,existing
P2,G2,C_aircraft,G2-C_aircraft-01,T018,8700.0,11135.809520857649,,,U08,existing
P2,G2,A_batteries,G2-A_batteries-01,T011,0.0,3488.424083728015,T016,291.5759162719851,A02,existing
P2,G2,A_batteries,G2-A_batteries-01,T016,3780.0,6611.734416824666,,,A02,existing
P2,G2,A_batteries,G2-A_batteries-02,T004,8.0,3657.403580614774,T017,1441.596419385226,A03,existing
P2,G2,A_batteries,G2-A_batteries-02,T017,5099.0,8806.411057961546,,,A03,existing
P2,G2,A_batteries,G2-A_batteries-03,T002,1171.0,5265.080232101528,,,A04,existing
P2,G2,A_batteries,G2-A_batteries-04,T007,2141.0,6202.304360192513,,,A05,existing
P2,G2,A_batteries,G2-A_batteries-05,T014,2300.0,6188.865329852893,,,A06,existing
P2,G2,B_batteries,G2-B_batteries-01,T008,0.0,3433.200853234949,T020,101.79914676505086,B01,existing
P2,G2,B_batteries,G2-B_batteries-01,T020,3535.0,6927.413796367908,,,B01,existing
P2,G2,B_batteries,G2-B_batteries-02,T015,1.0,3011.3575010505742,T023,354.64249894942577,B02,existing
P2,G2,B_batteries,G2-B_batteries-02,T023,3366.0,6349.706428350346,,,B02,existing
