partition,group,resource_type,resource_id,task,start,release,next_task,handoff_slack_seconds,physical_id,inventory_status
P3,G1,A_aircraft,G1-A_aircraft-01,T005,0.0,1312.470877312685,T002,21.529122687315066,U01,existing
P3,G1,A_aircraft,G1-A_aircraft-01,T002,1334.0,3932.128190684848,T020,5.87180931515195,U01,existing
P3,G1,A_aircraft,G1-A_aircraft-01,T020,3938.0,5908.209846976819,,,U01,existing
P3,G1,A_aircraft,G1-A_aircraft-02,T011,0.0,2130.6390887595826,T014,27.36091124041741,U02,existing
P3,G1,A_aircraft,G1-A_aircraft-02,T014,2158.0,4638.949414940517,T016,5.050585059482728,U02,existing
P3,G1,A_aircraft,G1-A_aircraft-02,T016,4644.0,6339.7581046684645,,,U02,existing
P3,G1,A_aircraft,G1-A_aircraft-03,T017,0.0,2343.847074711972,T022,1150.1529252880282,U03,existing
P3,G1,A_aircraft,G1-A_aircraft-03,T022,3494.0,5185.534486238949,,,U03,existing
P3,G1,A_aircraft,G1-A_aircraft-04,T004,13.0,2294.4599588363917,T007,5.540041163608294,U04,existing
P3,G1,A_aircraft,G1-A_aircraft-04,T007,2300.0,4908.040897108922,,,U04,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T008,0.0,1844.5388901555675,T013,5.461109844432485,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T013,1850.0,3808.041271486995,T021,5.958728513005099,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T021,3814.0,5712.041271486994,,,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-02,T015,2.0,1556.5713591276817,T009,5.428640872318283,U06,existing
P3,G1,B_aircraft,G1-B_aircraft-02,T009,1562.0,2831.9799172692683,T023,1381.0200827307317,U06,existing
P3,G1,B_aircraft,G1-B_aircraft-02,T023,4213.0,5732.024344411855,,,U06,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T001,0.0,1561.4261775174655,T010,168.57382248253452,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T010,1730.0,4134.5978829102805,T019,5.402117089719468,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T019,4140.0,6379.184064967842,,,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-02,T003,0.0,1429.4261775174655,T012,5.573822482534524,U08,existing
P3,G1,C_aircraft,G1-C_aircraft-02,T012,1435.0,3550.081641278453,T018,5.918358721547065,U08,existing
P3,G1,C_aircraft,G1-C_aircraft-02,T018,3556.0,5991.809520857649,,,U08,existing
P3,G1,A_batteries,G1-A_batteries-01,T005,0.0,2178.7887122874713,T007,121.2112877125287,A01,existing
P3,G1,A_batteries,G1-A_batteries-01,T007,2300.0,6361.304360192513,,,A01,existing
P3,G1,A_batteries,G1-A_batteries-02,T011,0.0,3488.424083728015,T022,5.575916271985079,A02,existing
P3,G1,A_batteries,G1-A_batteries-02,T022,3494.0,6361.028992918405,,,A02,existing
P3,G1,A_batteries,G1-A_batteries-03,T017,0.0,3707.4110579615462,T020,230.58894203845375,A03,existing
P3,G1,A_batteries,G1-A_batteries-03,T020,3938.0,7148.210497663895,,,A03,existing
P3,G1,A_batteries,G1-A_batteries-04,T004,13.0,3662.403580614774,T016,981.596419385226,A04,existing
P3,G1,A_batteries,G1-A_batteries-04,T016,4644.0,7475.734416824666,,,A04,existing
P3,G1,A_batteries,G1-A_batteries-05,T002,1334.0,5428.080232101528,,,A05,existing
P3,G1,A_batteries,G1-A_batteries-06,T014,2158.0,6046.865329852893,,,A06,existing
P3,G1,B_batteries,G1-B_batteries-01,T008,0.0,3433.200853234949,T023,779.7991467650509,B01,existing
P3,G1,B_batteries,G1-B_batteries-01,T023,4213.0,7196.706428350346,,,B01,existing
P3,G1,B_batteries,G1-B_batteries-02,T015,2.0,3012.3575010505742,T021,801.6424989494258,B02,existing
P3,G1,B_batteries,G1-B_batteries-02,T021,3814.0,7579.223423404604,,,B02,existing
P3,G1,B_batteries,G1-B_batteries-03,T009,1562.0,4028.992001224441,,,B03,existing
P3,G1,B_batteries,G1-B_batteries-04,T013,1850.0,5767.286898972586,,,B04,existing
P3,G1,C_batteries,G1-C_batteries-01,T001,0.0,3150.0928537629516,T019,989.9071462370484,C01,existing
