partition,group,resource_type,resource_id,task,start,release,next_task,handoff_slack_seconds,physical_id,inventory_status
P3,G1,A_aircraft,G1-A_aircraft-01,T005,0.0,1312.470877312685,T022,5.529122687315066,U01,existing
P3,G1,A_aircraft,G1-A_aircraft-01,T022,1318.0,3009.5344862389493,T020,484.4655137610507,U01,existing
P3,G1,A_aircraft,G1-A_aircraft-01,T020,3494.0,5464.209846976819,,,U01,existing
P3,G1,A_aircraft,G1-A_aircraft-02,T009,0.0,1316.0142144169886,T002,17.98578558301142,U02,existing
P3,G1,A_aircraft,G1-A_aircraft-02,T002,1334.0,3932.128190684848,T016,5.87180931515195,U02,existing
P3,G1,A_aircraft,G1-A_aircraft-02,T016,3938.0,5633.7581046684645,,,U02,existing
P3,G1,A_aircraft,G1-A_aircraft-03,T011,0.0,2130.6390887595826,T014,53.36091124041741,U03,existing
P3,G1,A_aircraft,G1-A_aircraft-03,T014,2184.0,4664.949414940517,T023,5.050585059482728,U03,existing
P3,G1,A_aircraft,G1-A_aircraft-03,T023,4670.0,6305.7581046684645,,,U03,existing
P3,G1,A_aircraft,G1-A_aircraft-04,T017,0.0,2343.847074711972,T007,5.1529252880282,U04,existing
P3,G1,A_aircraft,G1-A_aircraft-04,T007,2349.0,4957.040897108922,,,U04,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T008,0.0,1844.5388901555675,T013,1200.4611098444325,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T013,3045.0,5003.041271486994,,,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-02,T015,0.0,1554.5713591276817,T004,5.428640872318283,U06,existing
P3,G1,B_aircraft,G1-B_aircraft-02,T004,1560.0,3593.312901313905,T021,5.6870986860949415,U06,existing
P3,G1,B_aircraft,G1-B_aircraft-02,T021,3599.0,5497.041271486994,,,U06,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T001,0.0,1561.4261775174655,T010,102.57382248253452,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T010,1664.0,4134.5978829102805,T019,5.402117089719468,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T019,4140.0,6725.7892774358115,,,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-02,T003,0.0,1429.4261775174655,T012,5.573822482534524,U08,existing
P3,G1,C_aircraft,G1-C_aircraft-02,T012,1435.0,3550.081641278453,T018,5.918358721547065,U08,existing
P3,G1,C_aircraft,G1-C_aircraft-02,T018,3556.0,5991.809520857649,,,U08,existing
P3,G1,A_batteries,G1-A_batteries-01,T005,0.0,2178.7887122874713,T014,5.211287712528701,A01,existing
P3,G1,A_batteries,G1-A_batteries-01,T014,2184.0,6072.865329852893,,,A01,existing
P3,G1,A_batteries,G1-A_batteries-02,T009,0.0,2207.8690163260853,T007,141.13098367391467,A02,existing
P3,G1,A_batteries,G1-A_batteries-02,T007,2349.0,6410.304360192513,,,A02,existing
P3,G1,A_batteries,G1-A_batteries-03,T011,0.0,3488.424083728015,T020,5.575916271985079,A03,existing
P3,G1,A_batteries,G1-A_batteries-03,T020,3494.0,6704.210497663895,,,A03,existing
P3,G1,A_batteries,G1-A_batteries-04,T017,0.0,3707.4110579615462,T016,230.58894203845375,A04,existing
P3,G1,A_batteries,G1-A_batteries-04,T016,3938.0,6769.734416824666,,,A04,existing
P3,G1,A_batteries,G1-A_batteries-05,T022,1318.0,4185.028992918405,T023,484.9710070815954,A05,existing
P3,G1,A_batteries,G1-A_batteries-05,T023,4670.0,7410.6967253442635,,,A05,existing
P3,G1,A_batteries,G1-A_batteries-06,T002,1334.0,5428.080232101528,,,A06,existing
P3,G1,B_batteries,G1-B_batteries-01,T008,0.0,3433.200853234949,T021,165.79914676505086,B01,existing
