partition,group,resource_type,resource_id,task,start,release,next_task,handoff_slack_seconds,physical_id,inventory_status
P3,G1,A_aircraft,G1-A_aircraft-01,T005,0.0,1312.470877312685,T004,5.529122687315066,U01,existing
P3,G1,A_aircraft,G1-A_aircraft-01,T004,1318.0,3599.4599588363917,T016,5.540041163608294,U01,existing
P3,G1,A_aircraft,G1-A_aircraft-01,T016,3605.0,5300.7581046684645,,,U01,existing
P3,G1,A_aircraft,G1-A_aircraft-02,T009,0.0,1316.0142144169886,T002,17.98578558301142,U02,existing
P3,G1,A_aircraft,G1-A_aircraft-02,T002,1334.0,3932.128190684848,T020,5.87180931515195,U02,existing
P3,G1,A_aircraft,G1-A_aircraft-02,T020,3938.0,5908.209846976819,,,U02,existing
P3,G1,A_aircraft,G1-A_aircraft-03,T011,0.0,2130.6390887595826,T014,53.36091124041741,U03,existing
P3,G1,A_aircraft,G1-A_aircraft-03,T014,2184.0,4664.949414940517,T023,769.0505850594827,U03,existing
P3,G1,A_aircraft,G1-A_aircraft-03,T023,5434.0,7069.7581046684645,,,U03,existing
P3,G1,A_aircraft,G1-A_aircraft-04,T017,0.0,2343.847074711972,T007,5.1529252880282,U04,existing
P3,G1,A_aircraft,G1-A_aircraft-04,T007,2349.0,4957.040897108922,T022,15.959102891078146,U04,existing
P3,G1,A_aircraft,G1-A_aircraft-04,T022,4973.0,6664.534486238949,,,U04,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T008,0.0,1844.5388901555675,T013,5.461109844432485,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T013,1850.0,3808.041271486995,T021,5.958728513005099,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T021,3814.0,5712.041271486994,,,U05,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T003,0.0,1429.4261775174655,T001,5.573822482534524,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T001,1435.0,2996.4261775174655,T012,5.573822482534524,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T012,3002.0,5117.081641278453,T019,5.9183587215466105,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T019,5123.0,7708.7892774358115,,,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-02,T015,0.0,1667.9002043425255,T010,5.099795657474488,U08,existing
P3,G1,C_aircraft,G1-C_aircraft-02,T010,1673.0,4143.5978829102805,T018,5.402117089719468,U08,existing
P3,G1,C_aircraft,G1-C_aircraft-02,T018,4149.0,6584.809520857649,,,U08,existing
P3,G1,A_batteries,G1-A_batteries-01,T005,0.0,2178.7887122874713,T014,5.211287712528701,A01,existing
P3,G1,A_batteries,G1-A_batteries-01,T014,2184.0,6072.865329852893,,,A01,existing
P3,G1,A_batteries,G1-A_batteries-02,T009,0.0,2207.8690163260853,T007,141.13098367391467,A02,existing
P3,G1,A_batteries,G1-A_batteries-02,T007,2349.0,6410.304360192513,,,A02,existing
P3,G1,A_batteries,G1-A_batteries-03,T011,0.0,3488.424083728015,T016,116.57591627198508,A03,existing
P3,G1,A_batteries,G1-A_batteries-03,T016,3605.0,6436.734416824666,,,A03,existing
P3,G1,A_batteries,G1-A_batteries-04,T017,0.0,3707.4110579615462,T020,230.58894203845375,A04,existing
P3,G1,A_batteries,G1-A_batteries-04,T020,3938.0,7148.210497663895,,,A04,existing
P3,G1,A_batteries,G1-A_batteries-05,T004,1318.0,4967.403580614774,T022,5.596419385226,A05,existing
P3,G1,A_batteries,G1-A_batteries-05,T022,4973.0,7840.028992918405,,,A05,existing
P3,G1,A_batteries,G1-A_batteries-06,T002,1334.0,5428.080232101528,T023,5.919767898471946,A06,existing
P3,G1,A_batteries,G1-A_batteries-06,T023,5434.0,8174.6967253442635,,,A06,existing
P3,G1,B_batteries,G1-B_batteries-01,T008,0.0,3433.200853234949,T021,380.79914676505086,B01,existing
P3,G1,B_batteries,G1-B_batteries-01,T021,3814.0,7579.223423404604,,,B01,existing
P3,G1,B_batteries,G1-B_batteries-02,T013,1850.0,5767.286898972586,,,B02,existing
P3,G1,C_batteries,G1-C_batteries-01,T003,0.0,2947.606630665684,T012,54.39336933431605,C01,existing
P3,G1,C_batteries,G1-C_batteries-01,T012,3002.0,7609.747358730121,,,C01,existing
P3,G1,C_batteries,G1-C_batteries-02,T015,0.0,3374.9612139713486,T018,774.0387860286514,C02,existing
P3,G1,C_batteries,G1-C_batteries-02,T018,4149.0,9083.163800832162,,,C02,existing
P3,G1,C_batteries,G1-C_batteries-03,T001,1435.0,4585.092853762952,T019,537.9071462370484,C03,existing
P3,G1,C_batteries,G1-C_batteries-03,T019,5123.0,10265.566549544745,,,C03,existing
P3,G1,C_batteries,G1-C_batteries-04,T010,1673.0,6259.631724435727,,,C04,existing
P3,G1,relay_aircraft,G1-relay_aircraft-01,R003,22.04216670878418,2472.20132134867,R001,5.93609768073884,R01,existing
P3,G1,relay_aircraft,G1-relay_aircraft-01,R001,2478.1374190294086,7970.297538856334,,,R01,existing
P3,G1,relay_aircraft,G1-relay_aircraft-02,R002,829.4908374434992,8030.534653380882,,,R02,existing
P3,G1,relay_components,G1-relay_components-01,R003,22.04216670878418,2901.3894865614084,,,RE01,existing
P3,G1,relay_components,G1-relay_components-02,R002,829.4908374434992,9054.135646705987,,,RE02,existing
P3,G1,relay_components,G1-relay_components-03,R001,2478.1374190294086,8772.485151867133,,,RE03,existing
P3,G2,B_aircraft,G2-B_aircraft-01,T006,0.0,1189.630285736439,,,U06,existing
P3,G2,B_batteries,G2-B_batteries-01,T006,0.0,2323.07116269932,,,B03,existing
P2,G1,A_aircraft,G1-A_aircraft-01,T005,0.0,1312.470877312685,,,U01,existing
P2,G1,B_aircraft,G1-B_aircraft-01,T006,0.0,1189.630285736439,,,U05,existing
P2,G1,C_aircraft,G1-C_aircraft-01,T003,0.0,1429.4261775174655,T001,5.573822482534524,U07,existing
P2,G1,C_aircraft,G1-C_aircraft-01,T001,1435.0,2996.4261775174655,,,U07,existing
P2,G1,A_batteries,G1-A_batteries-01,T005,0.0,2178.7887122874713,,,A01,existing
P2,G1,B_batteries,G1-B_batteries-01,T006,0.0,2323.07116269932,,,B01,existing
P2,G1,C_batteries,G1-C_batteries-01,T003,0.0,2947.606630665684,,,C01,existing
P2,G1,C_batteries,G1-C_batteries-02,T001,1435.0,4585.092853762952,,,C02,existing
P2,G2,A_aircraft,G2-A_aircraft-01,T009,0.0,1316.0142144169886,T002,17.98578558301142,U02,existing
P2,G2,A_aircraft,G2-A_aircraft-01,T002,1334.0,3932.128190684848,T020,5.87180931515195,U02,existing
P2,G2,A_aircraft,G2-A_aircraft-01,T020,3938.0,5908.209846976819,,,U02,existing
P2,G2,A_aircraft,G2-A_aircraft-02,T011,0.0,2130.6390887595826,T014,53.36091124041741,U03,existing
P2,G2,A_aircraft,G2-A_aircraft-02,T014,2184.0,4664.949414940517,T023,769.0505850594827,U03,existing
P2,G2,A_aircraft,G2-A_aircraft-02,T023,5434.0,7069.7581046684645,,,U03,existing
P2,G2,A_aircraft,G2-A_aircraft-03,T017,0.0,2343.847074711972,T007,5.1529252880282,U04,existing
P2,G2,A_aircraft,G2-A_aircraft-03,T007,2349.0,4957.040897108922,T022,15.959102891078146,U04,existing
P2,G2,A_aircraft,G2-A_aircraft-03,T022,4973.0,6664.534486238949,,,U04,existing
P2,G2,A_aircraft,G2-A_aircraft-04,T004,1318.0,3599.4599588363917,T016,5.540041163608294,NEW-A_aircraft-01,procurement_required
P2,G2,A_aircraft,G2-A_aircraft-04,T016,3605.0,5300.7581046684645,,,NEW-A_aircraft-01,procurement_required
P2,G2,B_aircraft,G2-B_aircraft-01,T008,0.0,1844.5388901555675,T013,5.461109844432485,U06,existing
P2,G2,B_aircraft,G2-B_aircraft-01,T013,1850.0,3808.041271486995,T021,5.958728513005099,U06,existing
P2,G2,B_aircraft,G2-B_aircraft-01,T021,3814.0,5712.041271486994,,,U06,existing
P2,G2,C_aircraft,G2-C_aircraft-01,T015,0.0,1667.9002043425255,T012,1334.0997956574745,U08,existing
P2,G2,C_aircraft,G2-C_aircraft-01,T012,3002.0,5117.081641278453,T019,5.9183587215466105,U08,existing
P2,G2,C_aircraft,G2-C_aircraft-01,T019,5123.0,7708.7892774358115,,,U08,existing
P2,G2,C_aircraft,G2-C_aircraft-02,T010,1673.0,4143.5978829102805,T018,5.402117089719468,NEW-C_aircraft-01,procurement_required
P2,G2,C_aircraft,G2-C_aircraft-02,T018,4149.0,6584.809520857649,,,NEW-C_aircraft-01,procurement_required
P2,G2,A_batteries,G2-A_batteries-01,T009,0.0,2207.8690163260853,T007,141.13098367391467,A02,existing
P2,G2,A_batteries,G2-A_batteries-01,T007,2349.0,6410.304360192513,,,A02,existing
P2,G2,A_batteries,G2-A_batteries-02,T011,0.0,3488.424083728015,T016,116.57591627198508,A03,existing
P2,G2,A_batteries,G2-A_batteries-02,T016,3605.0,6436.734416824666,,,A03,existing
P2,G2,A_batteries,G2-A_batteries-03,T017,0.0,3707.4110579615462,T020,230.58894203845375,A04,existing
P2,G2,A_batteries,G2-A_batteries-03,T020,3938.0,7148.210497663895,,,A04,existing
P2,G2,A_batteries,G2-A_batteries-04,T004,1318.0,4967.403580614774,T022,5.596419385226,A05,existing
P2,G2,A_batteries,G2-A_batteries-04,T022,4973.0,7840.028992918405,,,A05,existing
P2,G2,A_batteries,G2-A_batteries-05,T002,1334.0,5428.080232101528,T023,5.919767898471946,A06,existing
P2,G2,A_batteries,G2-A_batteries-05,T023,5434.0,8174.6967253442635,,,A06,existing
P2,G2,A_batteries,G2-A_batteries-06,T014,2184.0,6072.865329852893,,,NEW-A_batteries-01,procurement_required
P2,G2,B_batteries,G2-B_batteries-01,T008,0.0,3433.200853234949,T021,380.79914676505086,B02,existing
P2,G2,B_batteries,G2-B_batteries-01,T021,3814.0,7579.223423404604,,,B02,existing
P2,G2,B_batteries,G2-B_batteries-02,T013,1850.0,5767.286898972586,,,B03,existing
P2,G2,C_batteries,G2-C_batteries-01,T015,0.0,3374.9612139713486,T019,1748.0387860286514,C03,existing
P2,G2,C_batteries,G2-C_batteries-01,T019,5123.0,10265.566549544745,,,C03,existing
P2,G2,C_batteries,G2-C_batteries-02,T010,1673.0,6259.631724435727,,,C04,existing
P2,G2,C_batteries,G2-C_batteries-03,T012,3002.0,7609.747358730121,,,NEW-C_batteries-01,procurement_required
P2,G2,C_batteries,G2-C_batteries-04,T018,4149.0,9083.163800832162,,,NEW-C_batteries-02,procurement_required
P2,G2,relay_aircraft,G2-relay_aircraft-01,R003,22.04216670878418,2472.20132134867,R001,5.93609768073884,R01,existing
P2,G2,relay_aircraft,G2-relay_aircraft-01,R001,2478.1374190294086,7970.297538856334,,,R01,existing
P2,G2,relay_aircraft,G2-relay_aircraft-02,R002,829.4908374434992,8030.534653380882,,,R02,existing
P2,G2,relay_components,G2-relay_components-01,R003,22.04216670878418,2901.3894865614084,,,RE01,existing
P2,G2,relay_components,G2-relay_components-02,R002,829.4908374434992,9054.135646705987,,,RE02,existing
P2,G2,relay_components,G2-relay_components-03,R001,2478.1374190294086,8772.485151867133,,,RE03,existing
P1,G1,A_aircraft,G1-A_aircraft-01,T005,0.0,1312.470877312685,,,U01,existing
P1,G1,C_aircraft,G1-C_aircraft-01,T003,0.0,1429.4261775174655,T001,5.573822482534524,U07,existing
P1,G1,C_aircraft,G1-C_aircraft-01,T001,1435.0,2996.4261775174655,,,U07,existing
P1,G1,A_batteries,G1-A_batteries-01,T005,0.0,2178.7887122874713,,,A01,existing
P1,G1,C_batteries,G1-C_batteries-01,T003,0.0,2947.606630665684,,,C01,existing
P1,G1,C_batteries,G1-C_batteries-02,T001,1435.0,4585.092853762952,,,C02,existing
P1,G2,A_aircraft,G2-A_aircraft-01,T009,0.0,1316.0142144169886,T002,17.98578558301142,U02,existing
P1,G2,A_aircraft,G2-A_aircraft-01,T002,1334.0,3932.128190684848,T020,5.87180931515195,U02,existing
P1,G2,A_aircraft,G2-A_aircraft-01,T020,3938.0,5908.209846976819,,,U02,existing
P1,G2,A_aircraft,G2-A_aircraft-02,T011,0.0,2130.6390887595826,T014,53.36091124041741,U03,existing
P1,G2,A_aircraft,G2-A_aircraft-02,T014,2184.0,4664.949414940517,T023,769.0505850594827,U03,existing
P1,G2,A_aircraft,G2-A_aircraft-02,T023,5434.0,7069.7581046684645,,,U03,existing
P1,G2,A_aircraft,G2-A_aircraft-03,T017,0.0,2343.847074711972,T007,5.1529252880282,U04,existing
P1,G2,A_aircraft,G2-A_aircraft-03,T007,2349.0,4957.040897108922,T022,15.959102891078146,U04,existing
P1,G2,A_aircraft,G2-A_aircraft-03,T022,4973.0,6664.534486238949,,,U04,existing
P1,G2,A_aircraft,G2-A_aircraft-04,T004,1318.0,3599.4599588363917,T016,5.540041163608294,NEW-A_aircraft-01,procurement_required
P1,G2,A_aircraft,G2-A_aircraft-04,T016,3605.0,5300.7581046684645,,,NEW-A_aircraft-01,procurement_required
P1,G2,B_aircraft,G2-B_aircraft-01,T006,0.0,1189.630285736439,T013,660.369714263561,U05,existing
P1,G2,B_aircraft,G2-B_aircraft-01,T013,1850.0,3808.041271486995,,,U05,existing
P1,G2,B_aircraft,G2-B_aircraft-02,T008,0.0,1844.5388901555675,T021,1969.4611098444325,U06,existing
P1,G2,B_aircraft,G2-B_aircraft-02,T021,3814.0,5712.041271486994,,,U06,existing
P1,G2,C_aircraft,G2-C_aircraft-01,T015,0.0,1667.9002043425255,T012,1334.0997956574745,U08,existing
P1,G2,C_aircraft,G2-C_aircraft-01,T012,3002.0,5117.081641278453,T019,5.9183587215466105,U08,existing
P1,G2,C_aircraft,G2-C_aircraft-01,T019,5123.0,7708.7892774358115,,,U08,existing
P1,G2,C_aircraft,G2-C_aircraft-02,T010,1673.0,4143.5978829102805,T018,5.402117089719468,NEW-C_aircraft-01,procurement_required
P1,G2,C_aircraft,G2-C_aircraft-02,T018,4149.0,6584.809520857649,,,NEW-C_aircraft-01,procurement_required
P1,G2,A_batteries,G2-A_batteries-01,T009,0.0,2207.8690163260853,T007,141.13098367391467,A02,existing
P1,G2,A_batteries,G2-A_batteries-01,T007,2349.0,6410.304360192513,,,A02,existing
P1,G2,A_batteries,G2-A_batteries-02,T011,0.0,3488.424083728015,T016,116.57591627198508,A03,existing
P1,G2,A_batteries,G2-A_batteries-02,T016,3605.0,6436.734416824666,,,A03,existing
P1,G2,A_batteries,G2-A_batteries-03,T017,0.0,3707.4110579615462,T020,230.58894203845375,A04,existing
P1,G2,A_batteries,G2-A_batteries-03,T020,3938.0,7148.210497663895,,,A04,existing
P1,G2,A_batteries,G2-A_batteries-04,T004,1318.0,4967.403580614774,T022,5.596419385226,A05,existing
P1,G2,A_batteries,G2-A_batteries-04,T022,4973.0,7840.028992918405,,,A05,existing
P1,G2,A_batteries,G2-A_batteries-05,T002,1334.0,5428.080232101528,T023,5.919767898471946,A06,existing
P1,G2,A_batteries,G2-A_batteries-05,T023,5434.0,8174.6967253442635,,,A06,existing
P1,G2,A_batteries,G2-A_batteries-06,T014,2184.0,6072.865329852893,,,NEW-A_batteries-01,procurement_required
P1,G2,B_batteries,G2-B_batteries-01,T006,0.0,2323.07116269932,T021,1490.9288373006798,B01,existing
P1,G2,B_batteries,G2-B_batteries-01,T021,3814.0,7579.223423404604,,,B01,existing
P1,G2,B_batteries,G2-B_batteries-02,T008,0.0,3433.200853234949,,,B02,existing
P1,G2,B_batteries,G2-B_batteries-03,T013,1850.0,5767.286898972586,,,B03,existing
P1,G2,C_batteries,G2-C_batteries-01,T015,0.0,3374.9612139713486,T019,1748.0387860286514,C03,existing
P1,G2,C_batteries,G2-C_batteries-01,T019,5123.0,10265.566549544745,,,C03,existing
P1,G2,C_batteries,G2-C_batteries-02,T010,1673.0,6259.631724435727,,,C04,existing
P1,G2,C_batteries,G2-C_batteries-03,T012,3002.0,7609.747358730121,,,NEW-C_batteries-01,procurement_required
