case,resource_type,release_extension_seconds,minimum_slack_seconds,status
baseline,aircraft,0,0.050585059482727956,PASS
baseline,battery,0,0.5759162719850792,PASS
baseline,relay,0,0.9360976807388397,PASS
baseline,component,0,,NO_REUSE
baseline,aircraft,1,0.050585059482727956,FAIL
baseline,battery,1,0.5759162719850792,FAIL
baseline,relay,1,0.9360976807388397,FAIL
baseline,component,1,,NO_REUSE
baseline,aircraft,5,0.050585059482727956,FAIL
baseline,battery,5,0.5759162719850792,FAIL
baseline,relay,5,0.9360976807388397,FAIL
baseline,component,5,,NO_REUSE
baseline,aircraft,10,0.050585059482727956,FAIL
baseline,battery,10,0.5759162719850792,FAIL
baseline,relay,10,0.9360976807388397,FAIL
baseline,component,10,,NO_REUSE
baseline,aircraft,30,0.050585059482727956,FAIL
baseline,battery,30,0.5759162719850792,FAIL
baseline,relay,30,0.9360976807388397,FAIL
baseline,component,30,,NO_REUSE
baseline,aircraft,60,0.050585059482727956,FAIL
baseline,battery,60,0.5759162719850792,FAIL
baseline,relay,60,0.9360976807388397,FAIL
baseline,component,60,,NO_REUSE
buffer5,aircraft,0,5.050585059482728,PASS
buffer5,battery,0,5.575916271985079,PASS
buffer5,relay,0,5.93609768073884,PASS
buffer5,component,0,,NO_REUSE
buffer5,aircraft,1,5.050585059482728,PASS
buffer5,battery,1,5.575916271985079,PASS
buffer5,relay,1,5.93609768073884,PASS
buffer5,component,1,,NO_REUSE
buffer5,aircraft,5,5.050585059482728,PASS
buffer5,battery,5,5.575916271985079,PASS
buffer5,relay,5,5.93609768073884,PASS
buffer5,component,5,,NO_REUSE
buffer5,aircraft,10,5.050585059482728,FAIL
buffer5,battery,10,5.575916271985079,FAIL
buffer5,relay,10,5.93609768073884,FAIL
buffer5,component,10,,NO_REUSE
buffer5,aircraft,30,5.050585059482728,FAIL
buffer5,battery,30,5.575916271985079,FAIL
buffer5,relay,30,5.93609768073884,FAIL
buffer5,component,30,,NO_REUSE
buffer5,aircraft,60,5.050585059482728,FAIL
buffer5,battery,60,5.575916271985079,FAIL
buffer5,relay,60,5.93609768073884,FAIL
buffer5,component,60,,NO_REUSE
buffer10,aircraft,0,10.050585059482728,PASS
buffer10,battery,0,10.57591627198508,PASS
buffer10,relay,0,10.93609768073884,PASS
buffer10,component,0,,NO_REUSE
buffer10,aircraft,1,10.050585059482728,PASS
buffer10,battery,1,10.57591627198508,PASS
buffer10,relay,1,10.93609768073884,PASS
buffer10,component,1,,NO_REUSE
buffer10,aircraft,5,10.050585059482728,PASS
buffer10,battery,5,10.57591627198508,PASS
buffer10,relay,5,10.93609768073884,PASS
buffer10,component,5,,NO_REUSE
buffer10,aircraft,10,10.050585059482728,PASS
buffer10,battery,10,10.57591627198508,PASS
buffer10,relay,10,10.93609768073884,PASS
buffer10,component,10,,NO_REUSE
buffer10,aircraft,30,10.050585059482728,FAIL
buffer10,battery,30,10.57591627198508,FAIL
buffer10,relay,30,10.93609768073884,FAIL
buffer10,component,30,,NO_REUSE
buffer10,aircraft,60,10.050585059482728,FAIL
buffer10,battery,60,10.57591627198508,FAIL
buffer10,relay,60,10.93609768073884,FAIL
buffer10,component,60,,NO_REUSE
rebatch,aircraft,0,5.050585059482728,PASS
rebatch,battery,0,5.211287712528701,PASS
rebatch,relay,0,5.93609768073884,PASS
rebatch,component,0,,NO_REUSE
rebatch,aircraft,1,5.050585059482728,PASS
rebatch,battery,1,5.211287712528701,PASS
rebatch,relay,1,5.93609768073884,PASS
rebatch,component,1,,NO_REUSE
rebatch,aircraft,5,5.050585059482728,PASS
rebatch,battery,5,5.211287712528701,PASS
rebatch,relay,5,5.93609768073884,PASS
